tl,hanzi,frequency,poj,tl_num,poj_num,tl_notone,poj_notone,tl_abbrev,poj_abbrev
thiap-phîng-tsuí,貼秤水,16,thiap-phêng-chúi,thiap1phing5tsui2,thiap1pheng5chui2,thiapphingtsui,thiapphengchui,tpt,tpc
thiap-tshìn-thâu,貼秤頭,16,thiap-chhìn-thâu,thiap1tshin3thau5,thiap1chhin3thau5,thiaptshinthau,thiapchhinthau,ttt,tct
thiap-kha-ê,貼腳的,16,thiap-kha-ê,thiap1kha1e5,thiap1kha1e5,thiapkhae,thiapkhae,tke,tke
ba̍uh--lâi,貿--來,16,bau̍h--lâi,bauh8lai5,bauh8lai5,bauhlai,bauhlai,bl,bl
ba̍uh-thôo-thâu,貿土頭,16,bau̍h-thô͘-thâu,bauh8thoo5thau5,bauh8thoo5thau5,bauhthoothau,bauhthoothau,btt,btt
hō-hí-sū,賀喜事,16,hō-hí-sū,ho7hi2su7,ho7hi2su7,hohisu,hohisu,hhs,hhs
tsu-sán-ka,資產家,16,chu-sán-ka,tsu1san2ka1,chu1san2ka1,tsusanka,chusanka,tsk,csk
tsha̍t-á-tshiū,賊仔樹,16,chha̍t-á-chhiū,tshat8a2tshiu7,chhat8a2chhiu7,tshatatshiu,chhatachhiu,tat,cac
tsha̍t-á-phiah,賊仔癖,16,chha̍t-á-phiah,tshat8a2phiah1,chhat8a2phiah1,tshataphiah,chhataphiah,tap,cap
tsha̍t-á-pe̍h,賊仔白,16,chha̍t-á-pe̍h,tshat8a2peh8,chhat8a2peh8,tshatapeh,chhatapeh,tap,cap
tsha̍t-á-ba̍k,賊仔目,16,chha̍t-á-ba̍k,tshat8a2bak8,chhat8a2bak8,tshatabak,chhatabak,tab,cab
tsha̍t-á-phe,賊仔胚,16,chha̍t-á-phe,tshat8a2phe1,chhat8a2phe1,tshataphe,chhataphe,tap,cap
tsha̍t-á-hè,賊仔貨,16,chha̍t-á-hè,tshat8a2he3,chhat8a2he3,tshatahe,chhatahe,tah,cah
tsha̍t-á-bīn,賊仔面,16,chha̍t-á-bīn,tshat8a2bin7,chhat8a2bin7,tshatabin,chhatabin,tab,cab
