tl,hanzi,frequency,poj,tl_num,poj_num,tl_notone,poj_notone
buē-tiâu-tiánn,袂牢鼎,16,bōe-tiâu-tiáⁿ,bue7tiau5tiann2,boe7tiau5tiann2,buetiautiann,boetiautiann
bē-hiàn-sī,袂現示,16,bē-hiàn-sī,be7hian3si7,be7hian3si7,behiansi,behiansi
bē-hiān-sī,袂現示,16,bē-hiān-sī,be7hian7si7,be7hian7si7,behiansi,behiansi
bē-īng-tit,袂用得,16,bē-ēng-tit,be7ing7tit,be7eng7tit,beingtit,beengtit
bē-tàng-bô,袂當無,16,bē-tàng-bô,be7tang3bo5,be7tang3bo5,betangbo,betangbo
bē-tàng-ti̍t,袂當直,16,bē-tàng-ti̍t,be7tang3tit8,be7tang3tit8,betangtit,betangtit
bē-tàng-lāu,袂當老,16,bē-tàng-lāu,be7tang3lau7,be7tang3lau7,betanglau,betanglau
buē-khuànn-kháu,袂看口,16,bōe-khòaⁿ-kháu,bue7khuann3khau2,boe7khoann3khau2,buekhuannkhau,boekhoannkhau
bē-khuànn-tit,袂看得,16,bē-khòaⁿ-tit,be7khuann3tit,be7khoann3tit,bekhuanntit,bekhoanntit
bē-kóo-kán,袂苟簡,16,bē-kó͘-kán,be7koo2kan2,be7koo2kan2,bekookan,bekookan
bē-tio̍h-tit,袂著得,16,bē-tio̍h-tit,be7tioh8tit,be7tioh8tit,betiohtit,betiohtit
bē-po-tit,袂褒得,16,bē-po-tit,be7potit,be7potit,bepotit,bepotit
buē-iàu-kín,袂要緊,16,bōe-iàu-kín,bue7iau3kin2,boe7iau3kin2,bueiaukin,boeiaukin
bē-iàu-kín,袂要緊,16,bē-iàu-kín,be7iau3kin2,be7iau3kin2,beiaukin,beiaukin
buē-kiàn-siàu,袂見笑,16,bōe-kiàn-siàu,bue7kian3siau3,boe7kian3siau3,buekiansiau,boekiansiau
bē-kiàn-siàu,袂見笑,16,bē-kiàn-siàu,be7kian3siau3,be7kian3siau3,bekiansiau,bekiansiau
bē-piàn-khiàu,袂變竅,16,bē-piàn-khiàu,be7pian3khiau3,be7pian3khiau3,bepiankhiau,bepiankhiau
