tl,hanzi,frequency,poj,tl_num,poj_num
bo̍k,牧,3402,bo̍k,bok8,bok8
tsō,造,3400,chō,tso7,cho7
huán,反,3397,hoán,huan2,hoan2
ti̍k,特,3397,te̍k,tik8,tek8
pīnn,病,3392,pīⁿ,pinn7,pinn7
su,輸,3390,su,su,su
kù,句,3378,kù,ku3,ku3
sann,衫,3376,saⁿ,sann,sann
tuann,單,3371,toaⁿ,tuann,toann
sio,燒,3369,sio,sio,sio
niû,娘,3365,niû,niu5,niu5
tsuē,罪,3360,chōe,tsue7,choe7
tok,督,3324,tok,tok,tok
kè,價,3323,kè,ke3,ke3
kiānn,件,3307,kiāⁿ,kiann7,kiann7
too,都,3302,to͘,too,too
tò,到,3301,tò,to3,to3
tsún,準,3291,chún,tsun2,chun2
tiâu,條,3286,tiâu,tiau5,tiau5
phuà,破,3280,phòa,phua3,phoa3
tsûn,船,3270,chûn,tsun5,chun5
tshiánn,請,3261,chhiáⁿ,tshiann2,chhiann2
sìng,聖,3249,sèng,sing3,seng3
tāng,重,3234,tāng,tang7,tang7
sàng,送,3230,sàng,sang3,sang3
tiunn,張,3222,tiuⁿ,tiunn,tiunn
bōng,望,3218,bōng,bong7,bong7
khan,牽,3217,khan,khan,khan
bī,味,3212,bī,bi7,bi7
ing,英,3210,eng,ing,eng
tíng,等,3203,téng,ting2,teng2
kiàn,建,3201,kiàn,kian3,kian3
kánn,敢,3179,káⁿ,kann2,kann2
tshinn,生,3163,chhiⁿ,tshinn,chhinn
khuì,氣,3144,khùi,khui3,khui3
tsuá,紙,3134,chóa,tsua2,choa2
tsuan,專,3129,choan,tsuan,choan
ti,豬,3126,ti,ti,ti
tu,豬,3126,tu,tu,tu
kuá,寡,3125,kóa,kua2,koa2
su,思,3123,su,su,su
uán,遠,3116,oán,uan2,oan2
tiōng,重,3114,tiōng,tiong7,tiong7
tshàu,臭,3108,chhàu,tshau3,chhau3
tsing,精,3107,cheng,tsing,cheng
to̍k,獨,3095,to̍k,tok8,tok8
pái,擺,3083,pái,pai2,pai2
hiáu,曉,3083,hiáu,hiau2,hiau2
suî,隨,3082,sûi,sui5,sui5
kiông,強,3049,kiông,kiong5,kiong5
pa̍t,別,3043,pa̍t,pat8,pat8
siā,謝,3028,siā,sia7,sia7
īnn,院,3016,īⁿ,inn7,inn7
guān,願,3016,goān,guan7,goan7
siàu,少,3010,siàu,siau3,siau3
khó,考,3008,khó,kho2,kho2
jīn,認,3005,jīn,jin7,jin7
tāu,豆,3000,tāu,tau7,tau7
ná,那,2994,ná,na2,na2
tīn,陣,2992,tīn,tin7,tin7
tsiah,隻,2989,chiah,tsiah,chiah
kai,該,2986,kai,kai,kai
pîng,朋,2984,pêng,ping5,peng5
su,書,2980,su,su,su
sái,使,2966,sái,sai2,sai2
lâu,流,2954,lâu,lau5,lau5
tsí,只,2950,chí,tsi2,chi2
pâi,排,2950,pâi,pai5,pai5
tìn,鎮,2950,tìn,tin3,tin3
kuí,鬼,2941,kúi,kui2,kui2
phín,品,2932,phín,phin2,phin2
pâng,房,2928,pâng,pang5,pang5
pòo,布,2924,pò͘,poo3,poo3
làu,落,2916,làu,lau3,lau3
hiông,雄,2901,hiông,hiong5,hiong5
khin,輕,2882,khin,khin,khin
kun,軍,2876,kun,kun,kun
nâ,林,2875,nâ,na5,na5
hì,戲,2869,hì,hi3,hi3
tsóo,祖,2864,chó͘,tsoo2,choo2
hú,府,2856,hú,hu2,hu2
kiám,檢,2838,kiám,kiam2,kiam2
tó,倒,2836,tó,to2,to2
uá,倚,2834,óa,ua2,oa2
gī,議,2834,gī,gi7,gi7
sòo,數,2832,sò͘,soo3,soo3
tha̍k,讀,2820,tha̍k,thak8,thak8
siang,雙,2816,siang,siang,siang
sio̍k,俗,2810,sio̍k,siok8,siok8
siau,消,2810,siau,siau,siau
thó,討,2800,thó,tho2,tho2
tôo,徒,2797,tô͘,too5,too5
sian,仙,2792,sian,sian,sian
kiû,球,2784,kiû,kiu5,kiu5
tián,展,2778,tián,tian2,tian2
liāu,料,2775,liāu,liau7,liau7
liōng,量,2765,liōng,liong7,liong7
kng,光,2761,kng,kng,kng
kè,計,2759,kè,ke3,ke3
thàn,趁,2759,thàn,than3,than3
kíng,景,2750,kéng,king2,keng2
uānn,換,2747,ōaⁿ,uann7,oann7
tsha,差,2740,chha,tsha,chha
piān,便,2736,piān,pian7,pian7
tsè,制,2722,chè,tse3,che3
tóng,黨,2708,tóng,tong2,tong2
li̍k,歷,2707,le̍k,lik8,lek8
tsu,資,2706,chu,tsu,chu
íng,永,2703,éng,ing2,eng2
phiò,票,2693,phiò,phio3,phio3
kuài,怪,2686,koài,kuai3,koai3
toh,桌,2677,toh,toh,toh
lióng,兩,2654,lióng,liong2,liong2
kuán,管,2652,koán,kuan2,koan2
ián,演,2640,ián,ian2,ian2
pī,備,2639,pī,pi7,pi7
phik,拍,2637,phek,phik,phek
huì,費,2631,hùi,hui3,hui3
tsi̍p,集,2628,chi̍p,tsip8,chip8
sūn,順,2626,sūn,sun7,sun7
ho̍k,服,2625,ho̍k,hok8,hok8
thih,鐵,2613,thih,thih,thih
tik,德,2594,tek,tik,tek
kūn,近,2586,kūn,kun7,kun7
phê,皮,2583,phê,phe5,phe5
hōo,護,2583,hō͘,hoo7,hoo7
lîm,林,2578,lîm,lim5,lim5
tán,等,2562,tán,tan2,tan2
tshíng,請,2562,chhéng,tshing2,chheng2
tshun,春,2561,chhun,tshun,chhun
bū,務,2544,bū,bu7,bu7
thàu,透,2543,thàu,thau3,thau3
kiōng,共,2539,kiōng,kiong7,kiong7
ki̍p,及,2526,ki̍p,kip8,kip8
gōo,五,2521,gō͘,goo7,goo7
