tl,hanzi,frequency,poj,tl_num,poj_num
khòng-iô,焢窯,25,khòng-iô,khong3io5,khong3io5
khòng-bah,焢肉,25,khòng-bah,khong3bah,khong3bah
tsau-luān,焦亂,25,chau-loān,tsauluan7,chauloan7
tsiau-sim,焦心,25,chiau-sim,tsiausim,chiausim
tsiau-tso,焦慒,25,chiau-cho,tsiautso,chiaucho
tsiau-huân,焦煩,25,chiau-hoân,tsiauhuan5,chiauhoan5
tsau-bîn,焦眠,25,chau-bîn,tsaubin5,chaubin5
tsau-láu,焦老,25,chau-láu,tsaulau2,chaulau2
tsau-sik,焦色,25,chau-sek,tsausik,chausek
tsiau-sò,焦躁,25,chiau-sò,tsiauso3,chiauso3
tsau-tsiú,焦酒,25,chau-chiú,tsautsiu2,chauchiu2
tsiau-tiám,焦點,25,chiau-tiám,tsiautiam2,chiautiam2
khiàn-lóo,焮滷,25,khiàn-ló͘,khian3loo2,khian3loo2
iām-hué,焰火,25,iām-hóe,iam7hue2,iam7hoe2
jiân-āu,然後,25,jiân-āu,jian5au7,jian5au7
liân-āu,然後,25,liân-āu,lian5au7,lian5au7
liān-tan,煉丹,25,liān-tan,lian7tan,lian7tan
liān-sian,煉仙,25,liān-sian,lian7sian,lian7sian
liān-ga̍k,煉獄,25,liān-ga̍k,lian7gak8,lian7gak8
liān-gi̍k,煉獄,25,liān-ge̍k,lian7gik8,lian7gek8
liān-tsè,煉製,25,liān-chè,lian7tse3,lian7che3
liān-kim,煉金,25,liān-kim,lian7kim,lian7kim
liān-kǹg,煉鋼,25,liān-kǹg,lian7kng3,lian7kng3
liān-lîng,煉靈,25,liān-lêng,lian7ling5,lian7leng5
tsian-sî,煎匙,25,chian-sî,tsiansi5,chiansi5
tsìnn-iû,煎油,25,chìⁿ-iû,tsinn3iu5,chinn3iu5
tsian-ngâu,煎熬,25,chian-ngâu,tsianngau5,chianngau5
tsian-puânn,煎盤,25,chian-pôaⁿ,tsianpuann5,chianpoann5
tsuann-tê,煎茶,25,choaⁿ-tê,tsuannte5,choannte5
tsuann-io̍h,煎藥,25,choaⁿ-io̍h,tsuannioh8,choannioh8
ian-á,煙仔,25,ian-á,iana2,iana2
ian-thûn,煙塵,25,ian-thûn,ianthun5,ianthun5
ian-tun,煙墩,25,ian-tun,iantun,iantun
ian-sái,煙屎,25,ian-sái,iansai2,iansai2
ian-táu,煙斗,25,ian-táu,iantau2,iantau2
ian-n̄g,煙暈,25,ian-n̄g,ianng7,ianng7
ian-to̍k,煙毒,25,ian-to̍k,iantok8,iantok8
ian-hué,煙火,25,ian-hóe,ianhue2,ianhoe2
hun-kâu,煙猴,25,hun-kâu,hunkau5,hunkau5
ian-tâng,煙筒,25,ian-tâng,iantang5,iantang5
ian-bah,煙肉,25,ian-bah,ianbah,ianbah
ian-tshiâng,煙腸,25,ian-chhiâng,iantshiang5,ianchhiang5
ian-thuí,煙腿,25,ian-thúi,ianthui2,ianthui2
ian-hua,煙花,25,ian-hoa,ianhua,ianhoa
ian-tsháu,煙草,25,ian-chháu,iantshau2,ianchhau2
ian-bū,煙霧,25,ian-bū,ianbu7,ianbu7
suah-liáu,煞了,25,soah-liáu,suahliau2,soahliau2
suah-khì,煞去,25,soah-khì,suahkhi3,soahkhi3
suah-tiûnn,煞場,25,soah-tiûⁿ,suahtiunn5,soahtiunn5
suah-hó,煞好,25,soah-hó,suahho2,soahho2
suah-bué,煞尾,25,soah-bóe,suahbue2,soahboe2
suah-kio̍k,煞局,25,soah-kio̍k,suahkiok8,soahkiok8
suah-kang,煞工,25,soah-kang,suahkang,soahkang
suah-sim,煞心,25,soah-sim,suahsim,soahsim
suah-hì,煞戲,25,soah-hì,suahhi3,soahhi3
suah-tshiú,煞手,25,soah-chhiú,suahtshiu2,soahchhiu2
suah-kánn,煞敢,25,soah-káⁿ,suahkann2,soahkann2
suah-sī,煞是,25,soah-sī,suahsi7,soahsi7
suah-ū,煞有,25,soah-ū,suahu7,soahu7
suah-khì,煞氣,25,soah-khì,suahkhi3,soahkhi3
suah-bô,煞無,25,soah-bô,suahbo5,soahbo5
suah-tsiūnn,煞癢,25,soah-chiūⁿ,suahtsiunn7,soahchiunn7
suah-tánn,煞膽,25,soah-táⁿ,suahtann2,soahtann2
suah-tio̍h,煞著,25,soah-tio̍h,suahtioh8,soahtioh8
