tl,hanzi,frequency,poj,tl_num,poj_num,tl_notone,poj_notone,tl_abbrev,poj_abbrev,kautian,is_variant
lia,遮,5007,lia,lia1,lia1,lia,lia,,,True,False
hok,福,5005,hok,hok4,hok4,hok,hok,,,True,False
siu,收,5000,siu,siu1,siu1,siu,siu,,,True,False
gû,牛,5000,gû,gu5,gu5,gu,gu,,,True,False
tiúnn,長,4989,tiúⁿ,tiunn2,tiunn2,tiunn,tiunn,,,True,False
iâ,耶,4930,iâ,ia5,ia5,ia,ia,,,True,False
kui,規,4915,kui,kui1,kui1,kui,kui,,,True,False
mn̄g,問,4872,mn̄g,mng7,mng7,mng,mng,,,True,False
bián,免,4861,bián,bian2,bian2,bian,bian,,,True,False
sǹg,算,4853,sǹg,sng3,sng3,sng,sng,,,True,False
ko,高,4846,ko,ko1,ko1,ko,ko,,,True,False
suah,煞,4845,soah,suah4,soah4,suah,soah,,,True,False
jī,二,4841,jī,ji7,ji7,ji,ji,,,True,False
lī,二,4841,lī,li7,li7,li,li,,,True,False
ta̍k,逐,4796,ta̍k,tak8,tak8,tak,tak,,,True,False
thóo,土,4794,thó͘,thoo2,thoo2,thoo,thoo,,,True,False
suán,選,4775,soán,suan2,soan2,suan,soan,,,True,False
hā,下,4750,hā,ha7,ha7,ha,ha,,,True,False
ē,下,4750,ē,e7,e7,e,e,,,True,False
san,山,4739,san,san1,san1,san,san,,,True,False
iû,油,4709,iû,iu5,iu5,iu,iu,,,True,False
pōo,步,4691,pō͘,poo7,poo7,poo,poo,,,True,False
kī,己,4680,kī,ki7,ki7,ki,ki,,,True,False
piáu,表,4675,piáu,piau2,piau2,piau,piau,,,True,False
tsháu,草,4667,chháu,tshau2,chhau2,tshau,chhau,,,True,False
sì,四,4665,sì,si3,si3,si,si,,,True,False
tsí,子,4660,chí,tsi2,chi2,tsi,chi,,,True,False
iú,友,4656,iú,iu2,iu2,iu,iu,,,True,False
thiànn,疼,4635,thiàⁿ,thiann3,thiann3,thiann,thiann,,,True,False
sam,三,4626,sam,sam1,sam1,sam,sam,,,True,False
pîng,平,4615,pêng,ping5,peng5,ping,peng,,,True,False
bah,肉,4608,bah,bah4,bah4,bah,bah,,,True,False
tsio̍h,石,4571,chio̍h,tsioh8,chioh8,tsioh,chioh,,,True,False
tàng,當,4562,tàng,tang3,tang3,tang,tang,,,True,False
suè,細,4559,sòe,sue3,soe3,sue,soe,,,True,False
sè,細,4559,sè,se3,se3,se,se,,,True,False
kak,覺,4559,kak,kak4,kak4,kak,kak,,,True,False
kāng,仝,4552,kāng,kang7,kang7,kang,kang,,,True,False
ah,矣,4548,ah,ah4,ah4,ah,ah,,,True,False
gia̍p,業,4524,gia̍p,giap8,giap8,giap,giap,,,True,False
pàng,放,4507,pàng,pang3,pang3,pang,pang,,,True,False
pau,包,4485,pau,pau1,pau1,pau,pau,,,True,False
tsiú,酒,4471,chiú,tsiu2,chiu2,tsiu,chiu,,,True,False
sio̍k,續,4468,sio̍k,siok8,siok8,siok,siok,,,True,False
kuí,幾,4460,kúi,kui2,kui2,kui,kui,,,True,False
bí,米,4425,bí,bi2,bi2,bi,bi,,,True,False
tn̂g,長,4422,tn̂g,tng5,tng5,tng,tng,,,True,False
má,媽,4398,má,ma2,ma2,ma,ma,,,True,False
būn,問,4385,būn,bun7,bun7,bun,bun,,,True,False
tik,竹,4383,tek,tik4,tek4,tik,tek,,,True,False
tshiūnn,像,4377,chhiūⁿ,tshiunn7,chhiunn7,tshiunn,chhiunn,,,True,False
