tl,hanzi,frequency,poj,tl_num,poj_num
tuā-hông-tsháu,大黃草,16,tōa-hông-chháu,tua7hong5tshau2,toa7hong5chhau2
tuā-tiám-ú,大點雨,16,tōa-tiám-ú,tua7tiam2u2,toa7tiam2u2
tuā-kóo-tshe,大鼓吹,16,tōa-kó͘-chhe,tua7koo2tshe1,toa7koo2chhe1
tuā-kóo-tīn,大鼓陣,16,tōa-kó͘-tīn,tua7koo2tin7,toa7koo2tin7
tuā-phīnn-sai,大鼻獅,16,tōa-phīⁿ-sai,tua7phinn7sai1,toa7phinn7sai1
tuā-tshut-hì,大齣戲,16,tōa-chhut-hì,tua7tshut1hi3,toa7chhut1hi3
tuā-tshut-thâu,大齣頭,16,tōa-chhut-thâu,tua7tshut1thau5,toa7chhut1thau5
thian-put-iông,天不容,16,thian-put-iông,thian1put1iong5,thian1put1iong5
thian-put-tsua̍t,天不絕,16,thian-put-choa̍t,thian1put1tsuat8,thian1put1choat8
thian-tiong-tsiat,天中節,16,thian-tiong-chiat,thian1tiong1tsiat1,thian1tiong1chiat1
thian-sian-kó,天仙果,16,thian-sian-kó,thian1sian1ko2,thian1sian1ko2
thian-lâi-tsá,天來早,16,thian-lâi-chá,thian1lai5tsa2,thian1lai5cha2
thinn-kng-báu,天光卯,16,thiⁿ-kng-báu,thinn1kng1bau2,thinn1kng1bau2
thinn-kong-pò,天公報,16,thiⁿ-kong-pò,thinn1kong1po3,thinn1kong1po3
thinn-kong-tuânn,天公壇,16,thiⁿ-kong-tôaⁿ,thinn1kong1tuann5,thinn1kong1toann5
thinn-kong-lôo,天公爐,16,thiⁿ-kong-lô͘,thinn1kong1loo5,thinn1kong1loo5
thinn-kong-sinn,天公生,16,thiⁿ-kong-siⁿ,thinn1kong1sinn1,thinn1kong1sinn1
thian-kong-phuà,天公破,16,thian-kong-phòa,thian1kong1phua3,thian1kong1phoa3
thian-kong-khiàu,天公翹,16,thian-kong-khiàu,thian1kong1khiau3,thian1kong1khiau3
thinn-kong-tsiò,天公醮,16,thiⁿ-kong-chiò,thinn1kong1tsio3,thinn1kong1chio3
thinn-kong-tsai,天公齋,16,thiⁿ-kong-chai,thinn1kong1tsai1,thinn1kong1chai1
phian-phiann-ji̍t,天兵日,16,phian-phiaⁿ-ji̍t,phian1phiann1jit8,phian1phiann1jit8
phin-phiann-ji̍t,天兵日,16,phin-phiaⁿ-ji̍t,phin1phiann1jit8,phin1phiann1jit8
phian-phiann-sî,天兵時,16,phian-phiaⁿ-sî,phian1phiann1si5,phian1phiann1si5
phin-phiann-sî,天兵時,16,phin-phiaⁿ-sî,phin1phiann1si5,phin1phiann1si5
phian-phiann-sîn,天兵神,16,phian-phiaⁿ-sîn,phian1phiann1sin5,phian1phiann1sin5
thian-lâm-sing,天南星,16,thian-lâm-seng,thian1lam5sing1,thian1lam5seng1
thian-thai-tsong,天台宗,16,thian-thai-chong,thian1thai1tsong1,thian1thai1chong1
thinn-a̍p-a̍p,天合合,16,thiⁿ-a̍p-a̍p,thinn1ap8ap8,thinn1ap8ap8
thian-bîng-tsing,天名精,16,thian-bêng-cheng,thian1bing5tsing1,thian1beng5cheng1
thian-hōo-kiong,天后宮,16,thian-hō͘-kiong,thian1hoo7kiong1,thian1hoo7kiong1
thian-hōo-biō,天后廟,16,thian-hō͘-biō,thian1hoo7bio7,thian1hoo7bio7
thinn--ah,天啊,16,thiⁿ--ah,thinn1ah1,thinn1ah1
thian-tē-phàu,天地炮,16,thian-tē-phàu,thian1te7phau3,thian1te7phau3
thian-tē-puânn,天地盤,16,thian-tē-pôaⁿ,thian1te7puann5,thian1te7poann5
thian-tē-phuē,天地被,16,thian-tē-phōe,thian1te7phue7,thian1te7phoe7
thian-tē-kak,天地角,16,thian-tē-kak,thian1te7kak1,thian1te7kak1
thian-kuan-siú,天官首,16,thian-koan-siú,thian1kuan1siu2,thian1koan1siu2
thinn-tshua̍h-tuē,天差地,16,thiⁿ-chhoa̍h-tōe,thinn1tshuah8tue7,thinn1chhoah8toe7
thian-tik-hng,天德方,16,thian-tek-hng,thian1tik1hng1,thian1tek1hng1
thinn-thiah-ha̍h,天拆籜,16,thiⁿ-thiah-ha̍h,thinn1thiah1hah8,thinn1thiah1hah8
thian-phau-tsí,天拋子,16,thian-phau-chí,thian1phau1tsi2,thian1phau1chi2
thinn-ū-ba̍k,天有目,16,thiⁿ-ū-ba̍k,thinn1u7bak8,thinn1u7bak8
thinn-bē-kng,天未光,16,thiⁿ-bē-kng,thinn1be7kng1,thinn1be7kng1
thian-hô-tsínn,天河井,16,thian-hô-chíⁿ,thian1ho5tsinn2,thian1ho5chinn2
thian-hô-pán,天河板,16,thian-hô-pán,thian1ho5pan2,thian1ho5pan2
thian-tin-lâi,天津梨,16,thian-tin-lâi,thian1tin1lai5,thian1tin1lai5
thian-tshing-tshing,天清清,16,thian-chheng-chheng,thian1tshing1tshing1,thian1chheng1chheng1
thinn-oo-oo,天烏烏,16,thiⁿ-o͘-o͘,thinn1oo1oo1,thinn1oo1oo1
thian-jiân-tōo,天然痘,16,thian-jiân-tō͘,thian1jian5too7,thian1jian5too7
thian-ông-tshinn,天王星,16,thian-ông-chhiⁿ,thian1ong5tshinn1,thian1ong5chhinn1
thian-lí-kàu,天理教,16,thian-lí-kàu,thian1li2kau3,thian1li2kau3
thian-kuì-suí,天癸水,16,thian-kùi-súi,thian1kui3sui2,thian1kui3sui2
thian-pîng-uánn,天秤碗,16,thian-pêng-óaⁿ,thian1ping5uann2,thian1peng5oann2
thian-kong-tshinn,天罡星,16,thian-kong-chhiⁿ,thian1kong1tshinn1,thian1kong1chhinn1
thian-kong-sîn,天罡神,16,thian-kong-sîn,thian1kong1sin5,thian1kong1sin5
thian-lô-pán,天羅板,16,thian-lô-pán,thian1lo5pan2,thian1lo5pan2
thinn-kha-ē,天腳下,16,thiⁿ-kha-ē,thinn1kha1e7,thinn1kha1e7
thinn-kuà-tshài,天芥菜,16,thiⁿ-kòa-chhài,thinn1kua3tshai3,thinn1koa3chhai3
thian-hua-pán,天花板,16,thian-hoa-pán,thian1hua1pan2,thian1hoa1pan2
