hanzi,tl,frequency,poj,tl_num,poj_num
粗胚,tshoo-phue,25,chho͘-phoe,tshoophue,chhoophoe
粗針,tshoo-tsiam,25,chho͘-chiam,tshootsiam,chhoochiam
粟耙,tshik-pê,25,chhek-pê,tshikpe5,chhekpe5
粿印,kué-ìn,25,kóe-ìn,kue2in3,koe2in3
糊仔,kôo-á,25,kô͘-á,koo5a2,koo5a2
紅花,âng-hue,25,âng-hoe,ang5hue,ang5hoe
紙喙,tsuá-tshuì,25,chóa-chhùi,tsua2tshui3,choa2chhui3
紙尺,tsuá-tshioh,25,chóa-chhioh,tsua2tshioh,choa2chhioh
紙枋,tsuá-pang,25,chóa-pang,tsua2pang,choa2pang
素坯,sòo-phue,25,sò͘-phoe,soo3phue,soo3phoe
紩線,thīnn-suànn,25,thīⁿ-sòaⁿ,thinn7suann3,thinn7soann3
紩蒼,thīnn-tshong,25,thīⁿ-chhong,thinn7tshong,thinn7chhong
絞車,ká-tshia,25,ká-chhia,ka2tshia,ka2chhia
絳衣,kàng-i,25,kàng-i,kang3i,kang3i
線屎,suànn-sái,25,sòaⁿ-sái,suann3sai2,soann3sai2
線板,suànn-pán,25,sòaⁿ-pán,suann3pan2,soann3pan2
線眼,suànn-gán,25,sòaⁿ-gán,suann3gan2,soann3gan2
線車,suànn-tshia,25,sòaⁿ-chhia,suann3tshia,soann3chhia
線鋸,suànn-kù,25,sòaⁿ-kù,suann3ku3,soann3ku3
緞仔,tuān-á,25,toān-á,tuan7a2,toan7a2
繡剪,siù-tsián,25,siù-chián,siu3tsian2,siu3chian2
繡花,siù-hue,25,siù-hoe,siu3hue,siu3hoe
繡規,siù-kui,25,siù-kui,siu3kui,siu3kui
羊皮,iûnn-phuê,25,iûⁿ-phôe,iunn5phue5,iunn5phoe5
翡翠,huí-tshuì,25,húi-chhùi,hui2tshui3,hui2chhui3
翼股,si̍t-kóo,25,si̍t-kó͘,sit8koo2,sit8koo2
老生,lāu-sing,25,lāu-seng,lau7sing,lau7seng
耳鉤,hīnn-kau,25,hīⁿ-kau,hinn7kau,hinn7kau
肖楠,siau-lâm,25,siau-lâm,siaulam5,siaulam5
股線,kóo-suànn,25,kó͘-sòaⁿ,koo2suann3,koo2soann3
脫模,thuat-bôo,25,thoat-bô͘,thuatboo5,thoatboo5
腰帶,io-tuà,25,io-tòa,iotua3,iotoa3
腰裒,io-pôo,25,io-pô͘,iopoo5,iopoo5
膨剾,phòng-khau,25,phòng-khau,phong3khau,phong3khau
色漆,sik-tshat,25,sek-chhat,siktshat,sekchhat
色粉,sik-hún,25,sek-hún,sikhun2,sekhun2
花心,hue-sim,25,hoe-sim,huesim,hoesim
花板,hue-pán,25,hoe-pán,huepan2,hoepan2
花鳥,hue-tsiáu,25,hoe-chiáu,huetsiau2,hoechiau2
茄苳,ka-tang,25,ka-tang,katang,katang
