hanzi,tl,frequency,poj,tl_num,poj_num,tl_notone,poj_notone
椅條,í-liâu,25,í-liâu,i2liau5,i2liau5,iliau,iliau
植眉,ti̍t-bâi,25,ti̍t-bâi,tit8bai5,tit8bai5,titbai,titbai
楊梅,iûnn-muî,25,iûⁿ-mûi,iunn5mui5,iunn5mui5,iunnmui,iunnmui
槐花,huâi-hue,25,hoâi-hoe,huai5hue1,hoai5hoe1,huaihue,hoaihoe
樹木,tshiū-bo̍k,25,chhiū-bo̍k,tshiu7bok8,chhiu7bok8,tshiubok,chhiubok
橫頭,huâinn-thâu,25,hoâiⁿ-thâu,huainn5thau5,hoainn5thau5,huainnthau,hoainnthau
武將,bú-tsiòng,25,bú-chiòng,bu2tsiong3,bu2chiong3,butsiong,buchiong
武胸,bú-hing,25,bú-heng,bu2hing1,bu2heng1,buhing,buheng
武轎,bú-kiō,25,bú-kiō,bu2kio7,bu2kio7,bukio,bukio
比仔,pí-á,25,pí-á,pi2a2,pi2a2,pia,pia
毡仔,tsám-á,25,chám-á,tsam2a2,cham2a2,tsama,chama
水族,tsuí-tso̍k,25,chúi-cho̍k,tsui2tsok8,chui2chok8,tsuitsok,chuichok
水晶,tsuí-tsinn,25,chúi-chiⁿ,tsui2tsinn1,chui2chinn1,tsuitsinn,chuichinn
水油,tsuí-iû,25,chúi-iû,tsui2iu5,chui2iu5,tsuiiu,chuiiu
水波,tsuí-pho,25,chúi-pho,tsui2pho1,chui2pho1,tsuipho,chuipho
水秤,tsuí-tshìn,25,chúi-chhìn,tsui2tshin3,chui2chhin3,tsuitshin,chuichhin
水管,tsuí-kóng,25,chúi-kóng,tsui2kong2,chui2kong2,tsuikong,chuikong
水膠,tsuí-ka,25,chúi-ka,tsui2ka1,chui2ka1,tsuika,chuika
沖仔,tshong-á,25,chhong-á,tshong1a2,chhong1a2,tshonga,chhonga
油桶,iû-tháng,25,iû-tháng,iu5thang2,iu5thang2,iuthang,iuthang
油燈,iû-ting,25,iû-teng,iu5ting1,iu5teng1,iuting,iuteng
洋漆,iûnn-tshat,25,iûⁿ-chhat,iunn5tshat1,iunn5chhat1,iunntshat,iunnchhat
洞簫,tōng-siau,25,tōng-siau,tong7siau1,tong7siau1,tongsiau,tongsiau
浮花,phû-hue,25,phû-hoe,phu5hue1,phu5hoe1,phuhue,phuhoe
涼傘,niû-suànn,25,niû-sòaⁿ,niu5suann3,niu5soann3,niusuann,niusoann
淋搪,lâm-thn̄g,25,lâm-thn̄g,lam5thng7,lam5thng7,lamthng,lamthng
深刻,tshim-khik,25,chhim-khek,tshim1khik1,chhim1khek1,tshimkhik,chhimkhek
湯匙,thng-sî,25,thng-sî,thng1si5,thng1si5,thngsi,thngsi
滾桶,kún-tháng,25,kún-tháng,kun2thang2,kun2thang2,kunthang,kunthang
滾花,kún-hue,25,kún-hoe,kun2hue1,kun2hoe1,kunhue,kunhoe
滾邊,kún-pinn,25,kún-piⁿ,kun2pinn1,kun2pinn1,kunpinn,kunpinn
漆畫,tshat-uē,25,chhat-ōe,tshat1ue7,chhat1oe7,tshatue,chhatoe
漆盤,tshat-puânn,25,chhat-pôaⁿ,tshat1puann5,chhat1poann5,tshatpuann,chhatpoann
漆碗,tshat-uánn,25,chhat-óaⁿ,tshat1uann2,chhat1oann2,tshatuann,chhatoann
漆筅,tshat-tshíng,25,chhat-chhéng,tshat1tshing2,chhat1chheng2,tshattshing,chhatchheng
灌漿,kuàn-tsiunn,25,koàn-chiuⁿ,kuan3tsiunn1,koan3chiunn1,kuantsiunn,koanchiunn
火喙,hué-tshuì,25,hóe-chhùi,hue2tshui3,hoe2chhui3,huetshui,hoechhui
火炭,hué-thuànn,25,hóe-thòaⁿ,hue2thuann3,hoe2thoann3,huethuann,hoethoann
火焰,hué-iām,25,hóe-iām,hue2iam7,hoe2iam7,hueiam,hoeiam
火爐,hué-lôo,25,hóe-lô͘,hue2loo5,hoe2loo5,hueloo,hoeloo
火籠,hué-lang,25,hóe-lang,hue2lang1,hoe2lang1,huelang,hoelang
火銃,hué-tshìng,25,hóe-chhèng,hue2tshing3,hoe2chheng3,huetshing,hoechheng
炊仔,tshue-á,25,chhoe-á,tshue1a2,chhoe1a2,tshuea,chhoea
炭枋,thuànn-pang,25,thòaⁿ-pang,thuann3pang1,thoann3pang1,thuannpang,thoannpang
烏枋,oo-pang,25,o͘-pang,oo1pang1,oo1pang1,oopang,oopang
烏漆,oo-tshat,25,o͘-chhat,oo1tshat1,oo1chhat1,ootshat,oochhat
烘爐,hang-lôo,25,hang-lô͘,hang1loo5,hang1loo5,hangloo,hangloo
煎匙,tsian-sî,25,chian-sî,tsian1si5,chian1si5,tsiansi,chiansi
煏蔥,piak-tshong,25,piak-chhong,piak1tshong1,piak1chhong1,piaktshong,piakchhong
熟皮,si̍k-phuê,25,se̍k-phôe,sik8phue5,sek8phoe5,sikphue,sekphoe
燭台,tsik-tâi,25,chek-tâi,tsik1tai5,chek1tai5,tsiktai,chektai
牌匾,pâi-pián,25,pâi-pián,pai5pian2,pai5pian2,paipian,paipian
牛樟,gû-tsiunn,25,gû-chiuⁿ,gu5tsiunn1,gu5chiunn1,gutsiunn,guchiunn
牛角,gû-kak,25,gû-kak,gu5kak1,gu5kak1,gukak,gukak
牡丹,bóo-tan,25,bó͘-tan,boo2tan1,boo2tan1,bootan,bootan
獅頭,sai-thâu,25,sai-thâu,sai1thau5,sai1thau5,saithau,saithau
玉蘭,gio̍k-lân,25,gio̍k-lân,giok8lan5,giok8lan5,gioklan,gioklan
