漢字,異用字,TL
伸跤,伸骹,tshun-kha
伸跤,伸腳,tshun-kha
作弊,做弊,tsok-pè
免數想,免賬想,bián siàu-siūnn
克虧,喫虧,khik-khui
串講,闖講,tshuàn-kóng
作穡,做穡,tsoh-sit
作穡人,作穡儂,tsoh-sit-lâng
作穡人,做穡人,tsoh-sit-lâng
作穡人,做穡儂,tsoh-sit-lâng
含,唅,
吵,訬,
吼,哮,háu
別人,別儂,pa̍t-lâng
吵抐,訬抐,tshá-lā
吵抐,訬撓,tshá-lā
吵家抐宅,訬家抐宅,tshá-ke-lā-the̍h
吵家抐計,訬家抐計,tshá-ke-lā-kè
吭跤翹,吭骹翹,khōng-kha-khiàu
吭跤翹,吭腳翹,khōng-kha-khiàu
吵鬧,訬鬧,tshá-nāu
呃,噎,eh
呆,獃,tai
囤,躉,tún
坑崁,坑坎,khenn-khàm/khinn-khàm
坉塗,坉土,thūn-thôo
坉塗,填土,thūn-thôo
坉塗,填塗,thūn-thôo
坐數,坐賬,tshē-siàu
妝,粧,
尪仔,翁仔,ang-á
尾仔囝,尾仔子,bué-á-kiánn/bé-á-kiánn
孝呆,孝獃,hàu-tai
尪架桌,紅架桌,ang-kè-toh
宋盼的,宋盻个,sòng-phàn--ê
尿苴仔,尿敷仔,jiō-tsū-á/liō-tsū-á
尿桸,尿杓,jiō-hia/liō-hia
尿桸,尿瓠,jiō-hia/liō-hia
尾脽,尾錐,bué-tsui/bé-tsui
尾蝶,尾蛾,bué-ia̍h/bé-ia̍h
尾蝶,美蝶,bué-ia̍h/bé-ia̍h
扶𡳞脬,扶膦脬,phôo-lān-pha
序大,視大,sī-tuā
序大人,序大儂,sī-tuā-lâng
序大人,視大人,sī-tuā-lâng
扴味,逆味,ke̍h-bī
扶挺,扶撑,phôo-thánn
忌喙,忌嘴,khī-tshuì
弄喙花,弄嘴花,lāng-tshuì-hue
扭搦,扭搙,liú-la̍k
抓,爪,jiàu/liàu
杓,桸,sia̍h
杙,楬,khi̍t
杓仔,勺仔,sia̍h-á
杜伯仔,土扒仔,tōo-peh-á
批桶,批筒,phue-tháng
改薰,戒薰,kái-hun
改薰,解薰,kái-hun
汫,𩟗,tsiánn
汰,汏,
沃,渥,ak
沕,密,bi̍t
沖,衝,
沙,砂,
灶,竈,
沐沐泅,沒沒囚,bo̍k-bo̍k-siû
沙挑,砂挑,sua-thio
沙埔,砂埔,sua-poo
沙茶,沙嗲,sa-te
灶跤,竈跤,tsàu-kha
灶跤,灶骹,tsàu-kha
灶跤,灶腳,tsàu-kha
