漢字,異用字,羅馬字
閒工,閑工,îng-kang
閒間,閑間,îng-king
往過,永過,íng-kuè/íng-kè
閒人,閑人,îng-lâng
閒人,閑儂,îng-lâng
閒人,閒儂,îng-lâng
往擺,永擺,íng-pái
閒仙仙,閑仙仙,îng-sian-sian
閒錢,閑錢,îng-tsînn
圓仔粞,圓仔𥽕,înn-á-tshè/înn-á-tshuè
纓纏,絪纏,inn-tînn
纓纏,縈纏,inn-tînn
窯,窰,iô
育囝,育子,io-kiánn
憶著,亄著,it-tio̍h
幽幽仔疼,幽幽仔痛,iu-iu-á-thiànn
幼囝,幼子,iù-kiánn
又閣,又更,iū-koh
又閣,又復,iū-koh
又閣,又擱,iū-koh
幼麵麵,幼咪咪,iù-mī-mī
油蔥粿,油蔥餜,iû-tshang-kué/iû-tshang-ké
油炸粿,油車粿,iû-tsia̍h-kué/iû-tsia̍h-ké
油炸粿,油車餜,iû-tsia̍h-kué/iû-tsia̍h-ké
油炸粿,油炸餜,iû-tsia̍h-kué/iû-tsia̍h-ké
羊犅,羊牨,iûnn-káng
字爿,字旁,jī-pîng/lī-pîng
字勻,字巡,jī-ûn/lī-ûn
惹代誌,惹事志,jiá-tāi-tsì/liá-tāi-tsì
遮閘,遮截,jia-tsa̍h/lia-tsa̍h
爪仔,抓仔,jiáu-á/niáu-á
抓,爪,jiàu/liàu
人家厝仔,人家茨仔,jîn-ke-tshù-á/lîn-ke-tshù-á
人參,人蔘,jîn-sim/lîn-sim
尿桸,尿杓,jiō-hia/liō-hia
尿桸,尿瓠,jiō-hia/liō-hia
尿苴仔,尿敷仔,jiō-tsū-á/liō-tsū-á
入厝,入茨,ji̍p-tshù/li̍p-tshù
鰇魚羹,魷魚焿,jiû-hî-kenn/liû-hû-kinn
鰇魚羹,鰇魚焿,jiû-hî-kenn/liû-hû-kinn
