tl,hanzi,frequency,poj,tl_num,poj_num
tôo,嵞,50,tô͘,too5,too5
hê,嵠,50,hê,he5,he5
ong,嵡,50,ong,ong1,ong1
óng,嵡,50,óng,ong2,ong2
îng,嵤,50,êng,ing5,eng5
óo,嵨,50,ó͘,oo2,oo2
siong,嵩,50,siong,siong1,siong1
tsu,嵫,50,chu,tsu1,chu1
guî,嵬,50,gûi,gui5,gui5
tshu,嵯,50,chhu,tshu1,chhu1
tshi,嵳,50,chhi,tshi1,chhi1
tshu,嵳,50,chhu,tshu1,chhu1
tsia,嵳,50,chia,tsia1,chia1
sióng,嵷,50,sióng,siong2,siong2
liâu,嵺,50,liâu,liau5,liau5
khong,嵻,50,khong,khong1,khong1
sán,嵼,50,sán,san2,san2
tsham,嵾,50,chham,tsham1,chham1
tíng,嵿,50,téng,ting2,teng2
lú,嶁,50,lú,lu2,lu2
tsiòng,嶂,50,chiòng,tsiong3,chiong3
tshâm,嶃,50,chhâm,tsham5,chham5
tsám,嶄,50,chám,tsam2,cham2
khu,嶇,50,khu,khu1,khu1
tó,嶋,50,tó,to2,to2
tóo,嶋,50,tó͘,too2,too2
si̍p,嶍,50,si̍p,sip8,sip8
tsîng,嶒,50,chêng,tsing5,cheng5
po,嶓,50,po,po1,po1
pò,嶓,50,pò,po3,po3
khim,嶔,50,khim,khim1,khim1
tsiau,嶕,50,chiau,tsiau1,chiau1
lîn,嶙,50,lîn,lin5,lin5
liâu,嶚,50,liâu,liau5,liau5
liâu,嶛,50,liâu,liau5,liau5
tìng,嶝,50,tèng,ting3,teng3
tō,嶞,50,tō,to7,to7
tsun,嶟,50,chun,tsun1,chun1
khuat,嶡,50,khoat,khuat4,khoat4
giâu,嶢,50,giâu,giau5,giau5
giâu,嶤,50,giâu,giau5,giau5
i̍k,嶧,50,e̍k,ik8,ek8
gî,嶬,50,gî,gi5,gi5
gia̍t,嶭,50,gia̍t,giat8,giat8
hiám,嶮,50,hiám,hiam2,hiam2
hāi,嶰,50,hāi,hai7,hai7
hê,嶲,50,hê,he5,he5
gi̍k,嶷,50,ge̍k,gik8,gek8
gî,嶷,50,gî,gi5,gi5
îng,嶸,50,êng,ing5,eng5
tsia̍t,嶻,50,chia̍t,tsiat8,chiat8
sī,嶼,50,sī,si7,si7
sīr,嶼,50,sīr,sir7,sir7
sǐr,嶼,50,sǐr,sir6,sir6
tsai,巀,50,chai,tsai1,chai1
tsat,巀,50,chat,tsat4,chat4
tsia̍t,巀,50,chia̍t,tsiat8,chiat8
hê,巂,50,hê,he5,he5
îng,巆,50,êng,ing5,eng5
hi,巇,50,hi,hi1,hi1
siám,巉,50,siám,siam2,siam2
kui,巋,50,kui,kui1,kui1
guî,巍,50,gûi,gui5,gui5
thiáu,巐,50,thiáu,thiau2,thiau2
tsuan,巑,50,choan,tsuan1,choan1
tshuan,巛,50,chhoan,tshuan1,chhoan1
king,巠,50,keng,king1,keng1
lia̍p,巤,50,lia̍p,liap8,liap8
kióng,巩,50,kióng,kiong2,kiong2
tsī,巳,50,chī,tsi7,chi7
tsi,巵,50,chi,tsi1,chi1
kín,巹,50,kín,kin2,kin2
kirn,巾,50,kirn,kirn1,kirn1
huân,帆,50,hoân,huan5,hoan5
hun,帉,50,hun,hun1,hun1
phànn,帊,50,phàⁿ,phann3,phann3
lôo,帑,50,lô͘,loo5,loo5
thóng,帑,50,thóng,thong2,thong2
bua̍t,帓,50,boa̍t,buat8,boat8
phi,帔,50,phi,phi1,phi1
phī,帔,50,phī,phi7,phi7
liâm,帘,50,liâm,liam5,liam5
tia̍t,帙,50,tia̍t,tiat8,tiat8
siú,帚,50,siú,siu2,siu2
i̍k,帟,50,e̍k,ik8,ek8
gé,帠,50,gé,ge2,ge2
ping,帡,50,peng,ping1,peng1
píng,帡,50,péng,ping2,peng2
khap,帢,50,khap,khap4,khap4
kuàn,帣,50,koàn,kuan3,koan3
jû,帤,50,jû,ju5,ju5
sut,帥,50,sut,sut4,sut4
suè,帨,50,sòe,sue3,soe3
tuè,帨,50,tòe,tue3,toe3
tsin,帪,50,chin,tsin1,chin1
tsìn,帪,50,chìn,tsin3,chin3
sir,師,50,sir,sir1,sir1
tshio̍h,席,50,chhio̍h,tshioh8,chhioh8
tiònn,帳,50,tiòⁿ,tionn3,tionn3
uan,帵,50,oan,uan1,oan1
uán,帵,50,oán,uan2,oan2
uî,帷,50,ûi,ui5,ui5
kî,帺,50,kî,ki5,ki5
bōr,帽,50,bōr,bor7,bor7
mōo,帽,50,mō͘,moo7,moo7
tóo,帾,50,tó͘,too2,too2
tsìng,幀,50,chèng,tsing3,cheng3
bi̍k,幂,50,be̍k,bik8,bek8
ak,幄,50,ak,ak4,ak4
pak,幅,50,pak,pak4,pak4
kong,幊,50,kong,kong1,kong1
phuân,幋,50,phoân,phuan5,phoan5
hóng,幌,50,hóng,hong2,hong2
tho,幍,50,tho,tho1,tho1
bi̍k,幎,50,be̍k,bik8,bek8
bîng,幎,50,bêng,bing5,beng5
tîng,幐,50,têng,ting5,teng5
bān,幔,50,bān,ban7,ban7
kok,幗,50,kok,kok4,kok4
tsik,幘,50,chek,tsik4,chek4
bo̍k,幙,50,bo̍k,bok8,bok8
bōo,幙,50,bō͘,boo7,boo7
tshián,幝,50,chhián,tshian2,chhian2
tshì,幟,50,chhì,tshi3,chhi3
tsì,幟,50,chì,tsi3,chi3
bû,幠,50,bû,bu5,bu5
hoo,幠,50,ho͘,hoo1,hoo1
