hanzi,tl,frequency,poj,tl_num,poj_num,tl_notone,poj_notone,tl_abbrev,poj_abbrev
立意,li̍p-ì,25,li̍p-ì,lip8i3,lip8i3,lipi,lipi,li,li
立春,li̍p-tshun,25,li̍p-chhun,lip8tshun1,lip8chhun1,liptshun,lipchhun,lt,lc
立法,li̍p-huat,25,li̍p-hoat,lip8huat4,lip8hoat4,liphuat,liphoat,lh,lh
立秋,li̍p-tshiu,25,li̍p-chhiu,lip8tshiu1,lip8chhiu1,liptshiu,lipchhiu,lt,lc
立體,li̍p-thé,25,li̍p-thé,lip8the2,lip8the2,lipthe,lipthe,lt,lt
童詩,tông-si,25,tông-si,tong5si1,tong5si1,tongsi,tongsi,ts,ts
童話,tông-uē,25,tông-ōe,tong5ue7,tong5oe7,tongue,tongoe,tu,to
童謠,tông-iâu,25,tông-iâu,tong5iau5,tong5iau5,tongiau,tongiau,ti,ti
符值,hû-ta̍t,25,hû-ta̍t,hu5tat8,hu5tat8,hutat,hutat,ht,ht
符號,hû-hō,25,hû-hō,hu5ho7,hu5ho7,huho,huho,hh,hh
筆劃,pit-ue̍h,25,pit-oe̍h,pit4ueh8,pit4oeh8,pitueh,pitoeh,pu,po
筆尖,pit-tsiam,25,pit-chiam,pit4tsiam1,pit4chiam1,pittsiam,pitchiam,pt,pc
筆尾,pit-bué,25,pit-bóe,pit4bue2,pit4boe2,pitbue,pitboe,pb,pb
筆法,pit-huat,25,pit-hoat,pit4huat4,pit4hoat4,pithuat,pithoat,ph,ph
筆洗,pit-sé,25,pit-sé,pit4se2,pit4se2,pitse,pitse,ps,ps
筆順,pit-sūn,25,pit-sūn,pit4sun7,pit4sun7,pitsun,pitsun,ps,ps
等式,tíng-sik,25,téng-sek,ting2sik4,teng2sek4,tingsik,tengsek,ts,ts
