tl,hanzi,frequency,poj,tl_num,poj_num,tl_notone,poj_notone
tsuí-tō,水道,25,chúi-tō,tsui2to7,chui2to7,tsuito,chuito
tsuí-lí,水里,25,chúi-lí,tsui2li2,chui2li2,tsuili,chuili
tsuí-liōng,水量,25,chúi-liōng,tsui2liong7,chui2liong7,tsuiliong,chuiliong
tsuí-sian,水鉎,25,chúi-sian,tsui2sian,chui2sian,tsuisian,chuisian
tsuí-gîn,水銀,25,chúi-gîn,tsui2gin5,chui2gin5,tsuigin,chuigin
tsuí-gûn,水銀,25,chúi-gûn,tsui2gun5,chui2gun5,tsuigun,chuigun
tsuí-kiànn,水鏡,25,chúi-kiàⁿ,tsui2kiann3,chui2kiann3,tsuikiann,chuikiann
tsuí-mn̂g,水門,25,chúi-mn̂g,tsui2mng5,chui2mng5,tsuimng,chuimng
tsuí-tsa̍h,水閘,25,chúi-cha̍h,tsui2tsah8,chui2chah8,tsuitsah,chuichah
tsuí-lio̍k,水陸,25,chúi-lio̍k,tsui2liok8,chui2liok8,tsuiliok,chuiliok
suí-ke,水雞,25,súi-ke,sui2ke,sui2ke,suike,suike
suí-kue,水雞,25,súi-koe,sui2kue,sui2koe,suikue,suikoe
tsuí-ke,水雞,25,chúi-ke,tsui2ke,chui2ke,tsuike,chuike
tsuí-kere,水雞,25,chúi-kere,tsui2kere,chui2kere,tsuikere,chuikere
tsuí-kue,水雞,25,chúi-koe,tsui2kue,chui2koe,tsuikue,chuikoe
tsuí-tiān,水電,25,chúi-tiān,tsui2tian7,chui2tian7,tsuitian,chuitian
tsuí-bīn,水面,25,chúi-bīn,tsui2bin7,chui2bin7,tsuibin,chuibin
tsuí-thâu,水頭,25,chúi-thâu,tsui2thau5,chui2thau5,tsuithau,chuithau
tsuí-kiáu,水餃,25,chúi-kiáu,tsui2kiau2,chui2kiau2,tsuikiau,chuikiau
tsuí-tsiáu,水鳥,25,chúi-chiáu,tsui2tsiau2,chui2chiau2,tsuitsiau,chuichiau
tsuí-ah,水鴨,25,chúi-ah,tsui2ah,chui2ah,tsuiah,chuiah
tsuí-lîng,水龍,25,chúi-lêng,tsui2ling5,chui2leng5,tsuiling,chuileng
tsuí-ku,水龜,25,chúi-ku,tsui2ku,chui2ku,tsuiku,chuiku
íng-kiú,永久,25,éng-kiú,ing2kiu2,eng2kiu2,ingkiu,engkiu
