hanzi,tl,frequency,poj
連堵剾仔,liân-tóo-khau-á,12,liân-tó͘-khau-á
連座硬身,liân-tsō-ngē-sin,12,liân-chō-ngē-sin
連鏡批筒,liân-kiànn-phue-tháng,12,liân-kiàⁿ-phoe-tháng
選竹篾仔,suán-tik-bi̍h-á,12,soán-tek-bi̍h-á
醬菜甕仔,tsiùnn-tshài-àng-á,12,chiùⁿ-chhài-àng-á
金箔仔紙,kim-po̍h-á-tsuá,12,kim-po̍h-á-chóa
金銀箔紙,kim-gîn-po̍h-tsuá,12,kim-gîn-po̍h-chóa
鉛筆盒仔,iân-pit-a̍p-á,12,iân-pit-a̍p-á
鉸刀剪仔,ka-to-tsián-á,12,ka-to-chián-á
鉸鍊仔機,ka-liān-á-ki,12,ka-liān-á-ki
銀花矸仔,gîn-hue-kan-á,12,gîn-hoe-kan-á
鋸鍊仔目,kù-liān-á-ba̍k,12,kù-liān-á-ba̍k
鑿人字甲,tsha̍k-jîn-jī-kah,12,chha̍k-jîn-jī-kah
雞鵤仔車,ke-kak-á-tshia,12,ke-kak-á-chhia
電子磅仔,tiān-tsú-pōng-á,12,tiān-chú-pōng-á
電解機仔,tiān-kái-ki-á,12,tiān-kái-ki-á
面桶架仔,bīn-tháng-kè-á,12,bīn-tháng-kè-á
頭毛捋仔,thâu-moo-lua̍h-á,12,thâu-mo͘-loa̍h-á
風調雨順,hong-tiâu-ú-sūn,12,hong-tiâu-ú-sūn
食飯桌仔,tsia̍h-pn̄g-toh-á,12,chia̍h-pn̄g-toh-á
香港秤仔,hiong-káng-tshìn-á,12,hiong-káng-chhìn-á
香蕉剾刀,kim-tsio-khau-to,12,kim-chio-khau-to
魚鱗片仔,hî-lân-phìnn-á,12,hî-lân-phìⁿ-á
麻姑獻壽,mâ-koo-hiàn-siū,12,mâ-ko͘-hiàn-siū
黃金染料,n̂g-kim-ní-liāu,12,n̂g-kim-ní-liāu
點火的,tiám-hué--ê,12,tiám-hóe--ê
