hanzi,tl,frequency,poj,tl_num,poj_num,tl_notone,poj_notone,tl_abbrev,poj_abbrev,kungge,is_variant
油燈,iû-ting,25,iû-teng,iu5ting1,iu5teng1,iuting,iuteng,it,it,True,False
洋漆,iûnn-tshat,25,iûⁿ-chhat,iunn5tshat4,iunn5chhat4,iunntshat,iunnchhat,it,ic,True,False
浮花,phû-hue,25,phû-hoe,phu5hue1,phu5hoe1,phuhue,phuhoe,ph,ph,True,False
涼傘,niû-suànn,25,niû-sòaⁿ,niu5suann3,niu5soann3,niusuann,niusoann,ns,ns,True,False
淋搪,lâm-thn̄g,25,lâm-thn̄g,lam5thng7,lam5thng7,lamthng,lamthng,lt,lt,True,False
深刻,tshim-khik,25,chhim-khek,tshim1khik4,chhim1khek4,tshimkhik,chhimkhek,tk,ck,True,False
滾桶,kún-tháng,25,kún-tháng,kun2thang2,kun2thang2,kunthang,kunthang,kt,kt,True,False
滾花,kún-hue,25,kún-hoe,kun2hue1,kun2hoe1,kunhue,kunhoe,kh,kh,True,False
滾邊,kún-pinn,25,kún-piⁿ,kun2pinn1,kun2pinn1,kunpinn,kunpinn,kp,kp,True,False
漆畫,tshat-uē,25,chhat-ōe,tshat4ue7,chhat4oe7,tshatue,chhatoe,tu,co,True,False
漆盤,tshat-puânn,25,chhat-pôaⁿ,tshat4puann5,chhat4poann5,tshatpuann,chhatpoann,tp,cp,True,False
漆碗,tshat-uánn,25,chhat-óaⁿ,tshat4uann2,chhat4oann2,tshatuann,chhatoann,tu,co,True,False
漆筅,tshat-tshíng,25,chhat-chhéng,tshat4tshing2,chhat4chheng2,tshattshing,chhatchheng,tt,cc,True,False
灌漿,kuàn-tsiunn,25,koàn-chiuⁿ,kuan3tsiunn1,koan3chiunn1,kuantsiunn,koanchiunn,kt,kc,True,False
火喙,hué-tshuì,25,hóe-chhùi,hue2tshui3,hoe2chhui3,huetshui,hoechhui,ht,hc,True,False
火焰,hué-iām,25,hóe-iām,hue2iam7,hoe2iam7,hueiam,hoeiam,hi,hi,True,False
火爐,hué-lôo,25,hóe-lô͘,hue2loo5,hoe2loo5,hueloo,hoeloo,hl,hl,True,False
火籠,hué-lang,25,hóe-lang,hue2lang1,hoe2lang1,huelang,hoelang,hl,hl,True,False
火銃,hué-tshìng,25,hóe-chhèng,hue2tshing3,hoe2chheng3,huetshing,hoechheng,ht,hc,True,False
炊仔,tshue-á,25,chhoe-á,tshue1a2,chhoe1a2,tshuea,chhoea,ta,ca,True,False
炭枋,thuànn-pang,25,thòaⁿ-pang,thuann3pang1,thoann3pang1,thuannpang,thoannpang,tp,tp,True,False
烏漆,oo-tshat,25,o͘-chhat,oo1tshat4,oo1chhat4,ootshat,oochhat,ot,oc,True,False
煎匙,tsian-sî,25,chian-sî,tsian1si5,chian1si5,tsiansi,chiansi,ts,cs,True,False
煏蔥,piak-tshong,25,piak-chhong,piak4tshong1,piak4chhong1,piaktshong,piakchhong,pt,pc,True,False
熟皮,si̍k-phuê,25,se̍k-phôe,sik8phue5,sek8phoe5,sikphue,sekphoe,sp,sp,True,False
燭台,tsik-tâi,25,chek-tâi,tsik4tai5,chek4tai5,tsiktai,chektai,tt,ct,True,False
牛樟,gû-tsiunn,25,gû-chiuⁿ,gu5tsiunn1,gu5chiunn1,gutsiunn,guchiunn,gt,gc,True,False
牛角,gû-kak,25,gû-kak,gu5kak4,gu5kak4,gukak,gukak,gk,gk,True,False
獅頭,sai-thâu,25,sai-thâu,sai1thau5,sai1thau5,saithau,saithau,st,st,True,False
琥珀,hóo-phik,25,hó͘-phek,hoo2phik4,hoo2phek4,hoophik,hoophek,hp,hp,True,False
瑪瑙,bé-ló,25,bé-ló,be2lo2,be2lo2,belo,belo,bl,bl,True,False
璇石,suān-tsio̍h,25,soān-chio̍h,suan7tsioh8,soan7chioh8,suantsioh,soanchioh,st,sc,True,False
璇筆,suān-pit,25,soān-pit,suan7pit4,soan7pit4,suanpit,soanpit,sp,sp,True,False
璇針,suān-tsiam,25,soān-chiam,suan7tsiam1,soan7chiam1,suantsiam,soanchiam,st,sc,True,False
生坯,tshenn-phue,25,chheⁿ-phoe,tshenn1phue1,chhenn1phoe1,tshennphue,chhennphoe,tp,cp,True,False
生漆,tshenn-tshat,25,chheⁿ-chhat,tshenn1tshat4,chhenn1chhat4,tshenntshat,chhennchhat,tt,cc,True,False
