tl,hanzi,drop_reason
âng-lîn-thôo,紅仁土,duplicate
âng-mn̂g-thôo,紅毛土,duplicate
âng-moo-hue,紅毛灰,duplicate
âng-niau,紅貓,duplicate
âng-pau,紅包,duplicate
âng-pau,紅包,duplicate
âng-pau,紅包,duplicate
âng-phànn-phànn,紅冇冇,duplicate
âng-phànn-phànn,紅冇冇,duplicate
âng-phīnn-thâu,紅鼻頭,duplicate
âng-sam,紅杉,duplicate
âng-sûn,紅巡,duplicate
âng-tām,紅淡,duplicate
âng-tām-pí,紅淡比,duplicate
âng-tâng,紅銅,duplicate
âng-tâng,紅銅,duplicate
âng-tāu,紅豆,duplicate
âng-tāu,紅豆,duplicate
âng-tik,紅竹,duplicate
âng-thôo-tsu,紅土朱,duplicate
âng-thuí-á,紅腿仔,duplicate
âng-tiu-tiu,紅丟丟,duplicate
āng-siann,旺聲,duplicate
ang-á,尪仔,duplicate
ang-á,尪仔,duplicate
ang-á,尪仔,duplicate
ang-á,尪仔,duplicate
ang-á,尪仔,duplicate
ang-á-bīn,尪仔面,duplicate
ang-á-bīn,尪仔面,duplicate
ang-á-bīn,尪仔面,duplicate
ang-á-bóo,翁仔某,duplicate
ang-á-bóo,翁仔某,duplicate
ang-á-bóo,翁仔某,duplicate
ang-á-bóo,翁仔某,duplicate
ang-á-tsheh,尪仔冊,duplicate
ang-á-tsheh,尪仔冊,duplicate
ang-á-tsheh,尪仔冊,duplicate
ang-á-tsiá,翁仔姐,duplicate
ang-á-tsiá,翁仔姐,duplicate
ang-á-jîn,尪仔仁,duplicate
ang-á-phiau,尪仔標,duplicate
ang-á-phiau,尪仔標,duplicate
ang-á-piau,尪仔標,duplicate
ang-á-thâu,尪仔頭,duplicate
ang-á-thâu,尪仔頭,duplicate
ang-á-thâu,尪仔頭,duplicate
ang-á-tôo,尪仔圖,duplicate
ang-bóo,翁某,duplicate
ang-bóo,翁某,duplicate
ang-bóo-á,翁某仔,duplicate
