tl,hanzi,frequency,poj,tl_num,poj_num,tl_notone,poj_notone,tl_abbrev,poj_abbrev
khong-khám,悾憨,25,khong-khám,khongkham2,khongkham2,khongkham,khongkham,kk,kk
khòng-gōng,悾戇,25,khòng-gōng,khong3gong7,khong3gong7,khonggong,khonggong,kg,kg
khong-khì,悾氣,25,khong-khì,khongkhi3,khongkhi3,khongkhi,khongkhi,kk,kk
khong-sîn,悾神,25,khong-sîn,khongsin5,khongsin5,khongsin,khongsin,ks,ks
khong-am,悾闇,25,khong-am,khongam,khongam,khongam,khongam,ka,ka
tsîng-phue,情phoe,25,chêng-phoe,tsing5phue,cheng5phoe,tsingphue,chengphoe,tp,cp
tsîng-jîn,情人,25,chêng-jîn,tsing5jin5,cheng5jin5,tsingjin,chengjin,tj,cj
tsîng-hūn,情份,25,chêng-hūn,tsing5hun7,cheng5hun7,tsinghun,chenghun,th,ch
tsîng-sú,情史,25,chêng-sú,tsing5su2,cheng5su2,tsingsu,chengsu,ts,cs
tsîng-hū,情婦,25,chêng-hū,tsing5hu7,cheng5hu7,tsinghu,chenghu,th,ch
tsîng-hîng,情形,25,chêng-hêng,tsing5hing5,cheng5heng5,tsinghing,chengheng,th,ch
tsîng-ì,情意,25,chêng-ì,tsing5i3,cheng5i3,tsingi,chengi,ti,ci
tsîng-io̍k,情慾,25,chêng-io̍k,tsing5iok8,cheng5iok8,tsingiok,chengiok,ti,ci
tsîng-kíng,情景,25,chêng-kéng,tsing5king2,cheng5keng2,tsingking,chengkeng,tk,ck
tsîng-su,情書,25,chêng-su,tsing5su,cheng5su,tsingsu,chengsu,ts,cs
tsîng-kua,情歌,25,chêng-koa,tsing5kua,cheng5koa,tsingkua,chengkoa,tk,ck
tsîng-sí,情死,25,chêng-sí,tsing5si2,cheng5si2,tsingsi,chengsi,ts,cs
tsîng-lí,情理,25,chêng-lí,tsing5li2,cheng5li2,tsingli,chengli,tl,cl
tsîng-iû,情由,25,chêng-iû,tsing5iu5,cheng5iu5,tsingiu,chengiu,ti,ci
tsîng-tsīn,情盡,25,chêng-chīn,tsing5tsin7,cheng5chin7,tsingtsin,chengchin,tt,cc
tsîng-tsat,情節,25,chêng-chat,tsing5tsat,cheng5chat,tsingtsat,chengchat,tt,cc
tsîng-gī,情義,25,chêng-gī,tsing5gi7,cheng5gi7,tsinggi,chenggi,tg,cg
tsîng-si,情詩,25,chêng-si,tsing5si,cheng5si,tsingsi,chengsi,ts,cs
tsîng-lông,情郎,25,chêng-lông,tsing5long5,cheng5long5,tsinglong,chenglong,tl,cl
tsîng-bīn,情面,25,chêng-bīn,tsing5bin7,cheng5bin7,tsingbin,chengbin,tb,cb
tsîng-guān,情願,25,chêng-goān,tsing5guan7,cheng5goan7,tsingguan,chenggoan,tg,cg
bòng-sian,惘先,25,bòng-sian,bong3sian,bong3sian,bongsian,bongsian,bs,bs
bòng-bòng,惘惘,25,bòng-bòng,bong3bong3,bong3bong3,bongbong,bongbong,bb,bb
bòng-tánn,惘膽,25,bòng-táⁿ,bong3tann2,bong3tann2,bongtann,bongtann,bt,bt
sioh-lio̍h,惜略,25,sioh-lio̍h,siohlioh8,siohlioh8,siohlioh,siohlioh,sl,sl
sioh-phê,惜皮,25,sioh-phê,siohphe5,siohphe5,siohphe,siohphe,sp,sp
sioh-hok,惜福,25,sioh-hok,siohhok,siohhok,siohhok,siohhok,sh,sh
sioh-hue,惜花,25,sioh-hoe,siohhue,siohhoe,siohhue,siohhoe,sh,sh
sioh-tsînn,惜錢,25,sioh-chîⁿ,siohtsinn5,siohchinn5,siohtsinn,siohchinn,st,sc
bī-sī,惟是,25,bī-sī,bi7si7,bi7si7,bisi,bisi,bs,bs
huī-uann,惠安,25,hūi-oaⁿ,hui7uann,hui7oann,huiuann,huioann,hu,ho
huī-ài,惠愛,25,hūi-ài,hui7ai3,hui7ai3,huiai,huiai,ha,ha
huī-tâu,惠投,25,hūi-tâu,hui7tau5,hui7tau5,huitau,huitau,ht,ht
huī-tshiông,惠牆,25,hūi-chhiông,hui7tshiong5,hui7chhiong5,huitshiong,huichhiong,ht,hc
huī-ú,惠與,25,hūi-ú,hui7u2,hui7u2,huiu,huiu,hu,hu
huī-tsīng,惠贈,25,hūi-chēng,hui7tsing7,hui7cheng7,huitsing,huicheng,ht,hc
ok-jîn,惡人,25,ok-jîn,okjin5,okjin5,okjin,okjin,oj,oj
ok-lâng,惡人,25,ok-lâng,oklang5,oklang5,oklang,oklang,ol,ol
ok-tiān,惡佃,25,ok-tiān,oktian7,oktian7,oktian,oktian,ot,ot
ok-lē,惡例,25,ok-lē,okle7,okle7,okle,okle,ol,ol
