tl,hanzi,frequency,poj
tshì-tōo-bi̍t,刺杜蜜,16,chhì-tō͘-bi̍t
tshì-kam-á,刺柑仔,16,chhì-kam-á
tshì-keh-á,刺格仔,16,chhì-keh-á
tshì-kiû-hue,刺毬花,16,chhì-kiû-hoe
tshì-tshang-tshiū,刺葱樹,16,chhì-chhang-chhiū
tsián-jiông-hue,剪絨花,16,chián-jiông-hoe
ka-ji̍p-kū,加入舅,16,ka-ji̍p-kū
ka-po̍h-mî,加薄棉,16,ka-po̍h-mî
sip-lí-hiong,十里香,16,sip-lí-hiong
tshian-kun-puih,千斤拔,16,chhian-kun-puih
tshian-lí-kong,千里光,16,chhian-lí-kong
gōo-sî-tsháu,午時草,16,gō͘-sî-chháu
lâm-hong-tsháu,南風草,16,lâm-hong-chháu
kāu-khak-á,厚殼仔,16,kāu-khak-á
kau-khak-kuì,厚殼桂,16,kau-khak-kùi
sim-á-hio̍h,參仔葉,16,sim-á-hio̍h
kháu-kha-á,口脚仔,16,kháu-kha-á
kóo-gua̍t-kun,古月根,16,kó͘-goa̍t-kun
tông-tī-tsháu,同治草,16,tông-tī-chháu
hiòng-thian-tsuánn,向天盞,16,hiòng-thian-chóaⁿ
hiòng-thian-hông,向天黃,16,hiòng-thian-hông
kā-lâng-niau,咬人猫,16,kā-lâng-niau
hâm-hong-tsháu,咸豐草,16,hâm-hong-chháu
to-nî-á,哆哖仔,16,to-nî-á
lā-lí-á,嘮哩仔,16,lā-lí-á
sù-kuì-tshun,四季春,16,sù-kùi-chhun
sù-kuì-kiat,四季橘,16,sù-kùi-kiat
sù-sî-tshun,四時春,16,sù-sî-chhun
sù-bí-tsháu,四米草,16,sù-bí-chháu
sì-hio̍h-tshài,四葉菜,16,sì-hio̍h-chhài
sì-hio̍h-liân,四葉蓮,16,sì-hio̍h-liân
înn-á-hue,圓仔花,16,îⁿ-á-hoe
înn-tshài-thâu,圓菜頭,16,îⁿ-chhài-thâu
thóo-puàn-hā,土半夏,16,thó͘-poàn-hā
thóo-tshuan-nî,土川連,16,thó͘-chhoan-nî
thóo-tîm-hiunn,土沈香,16,thó͘-tîm-hiuⁿ
thóo-giû-tshit,土牛七,16,thó͘-giû-chhit
thóo-jio̍k-kuì,土肉桂,16,thó͘-jio̍k-kùi
thóo-ho̍k-lîng,土茯苓,16,thó͘-ho̍k-lêng
thôo-tāu-kū,土豆舅,16,thô͘-tāu-kū
tuē-giâ-kang,地蜈蚣,16,tōe-giâ-kang
tē-kut-phî,地骨皮,16,tē-kut-phî
poo-lûn-á,埔崙仔,16,po͘-lûn-á
poo-pit-á,埔筆仔,16,po͘-pit-á
poo-tsháu-iūnn,埔草樣,16,po͘-chháu-iūⁿ
poo-iâm-á,埔鹽仔,16,po͘-iâm-á
hē-koo-tsháu,夏枯草,16,hē-ko͘-chháu
hâ-phî-lâm,夏皮楠,16,hâ-phî-lâm
tāi-ting-hông,大丁黃,16,tāi-teng-hông
tuā-phànn-tshiū,大冇樹,16,tōa-phàⁿ-chhiū
