tl,hanzi,frequency,poj,tl_num,poj_num,tl_notone,poj_notone
tó-pâng,倒房,25,tó-pâng,to2pang5,to2pang5,topang,topang
tò-tshiú,倒手,25,tò-chhiú,to3tshiu2,to3chhiu2,totshiu,tochhiu
tò-pha,倒拋,25,tò-pha,to3pha,to3pha,topha,topha
táu-uānn,倒換,25,táu-ōaⁿ,tau2uann7,tau2oann7,tauuann,tauoann
tò-hop,倒揜,25,tò-hop,to3hop,to3hop,tohop,tohop
tò-khau,倒摳,25,tò-khau,to3khau,to3khau,tokhau,tokhau
tó-tànn,倒擔,25,tó-tàⁿ,to2tann3,to2tann3,totann,totann
tò-lu,倒攄,25,tò-lu,to3lu,to3lu,tolu,tolu
tó-siàu,倒數,25,tó-siàu,to2siau3,to2siau3,tosiau,tosiau
tò-uat,倒斡,25,tò-oat,to3uat,to3oat,touat,tooat
tò-tsai,倒栽,25,tò-chai,to3tsai,to3chai,totsai,tochai
tó-àn,倒案,25,tó-àn,to2an3,to2an3,toan,toan
tó-í,倒椅,25,tó-í,to2i2,to2i2,toi,toi
tó-tsâng,倒欉,25,tó-châng,to2tsang5,to2chang5,totsang,tochang
tò-khia,倒欺,25,tò-khia,to3khia,to3khia,tokhia,tokhia
tò-pūn,倒泍,25,tò-pūn,to3pun7,to3pun7,topun,topun
tò-lâu,倒流,25,tò-lâu,to3lau5,to3lau5,tolau,tolau
tò-kik,倒激,25,tò-kek,to3kik,to3kek,tokik,tokek
tò-tsiò,倒照,25,tò-chiò,to3tsio3,to3chio3,totsio,tochio
tò-pîng,倒爿,25,tò-pêng,to3ping5,to3peng5,toping,topeng
tó-sán,倒產,25,tó-sán,to2san2,to2san2,tosan,tosan
tò-tsóo,倒祖,25,tò-chó͘,to3tsoo2,to3choo2,totsoo,tochoo
tó-thiāu,倒祧,25,tó-thiāu,to2thiau7,to2thiau7,tothiau,tothiau
tó-siann,倒聲,25,tó-siaⁿ,to2siann,to2siann,tosiann,tosiann
tó-io,倒腰,25,tó-io,to2io,to2io,toio,toio
tò-kha,倒腳,25,tò-kha,to3kha,to3kha,tokha,tokha
tó-lo̍h,倒落,25,tó-lo̍h,to2loh8,to2loh8,toloh,toloh
tò-khap,倒蓋,25,tò-khap,to3khap,to3khap,tokhap,tokhap
tò-thiap,倒貼,25,tò-thiap,to3thiap,to3thiap,tothiap,tothiap
tò-ta̍h,倒踏,25,tò-ta̍h,to3tah8,to3tah8,totah,totah
tò-that,倒踢,25,tò-that,to3that,to3that,tothat,tothat
táu-tshia,倒車,25,táu-chhia,tau2tshia,tau2chhia,tautshia,tauchhia
tó-tńg,倒轉,25,tó-tńg,to2tng2,to2tng2,totng,totng
tò-thè,倒退,25,tò-thè,to3the3,to3the3,tothe,tothe
tó-ūn,倒運,25,tó-ūn,to2un7,to2un7,toun,toun
tò-tsiú,倒酒,25,tò-chiú,to3tsiu2,to3chiu2,totsiu,tochiu
tó-kiànn,倒鏡,25,tó-kiàⁿ,to2kiann3,to2kiann3,tokiann,tokiann
tó-iâng,倒陽,25,tó-iâng,to2iang5,to2iang5,toiang,toiang
tó-iông,倒陽,25,tó-iông,to2iong5,to2iong5,toiong,toiong
tò-bīn,倒面,25,tò-bīn,to3bin7,to3bin7,tobin,tobin
tò-thâu,倒頭,25,tò-thâu,to3thau5,to3thau5,tothau,tothau
tó-thâu,倒頭,25,tó-thâu,to2thau5,to2thau5,tothau,tothau
khut-kiông,倔強,25,khut-kiông,khutkiong5,khutkiong5,khutkiong,khutkiong
thuī-tsî,倕糬,25,thūi-chî,thui7tsi5,thui7chi5,thuitsi,thuichi
hīng-bián,倖免,25,hēng-bián,hing7bian2,heng7bian2,hingbian,hengbian
hāu-hē,候下,25,hāu-hē,hau7he7,hau7he7,hauhe,hauhe
hāu-kè,候價,25,hāu-kè,hau7ke3,hau7ke3,hauke,hauke
hāu-sī,候示,25,hāu-sī,hau7si7,hau7si7,hausi,hausi
hāu-tán,候等,25,hāu-tán,hau7tan2,hau7tan2,hautan,hautan
hāu-khueh,候缺,25,hāu-khoeh,hau7khueh,hau7khoeh,haukhueh,haukhoeh
hāu-me̍h,候脈,25,hāu-me̍h,hau7meh8,hau7meh8,haumeh,haumeh
hāu-póo,候補,25,hāu-pó͘,hau7poo2,hau7poo2,haupoo,haupoo
hāu-suán,候選,25,hāu-soán,hau7suan2,hau7soan2,hausuan,hausoan
hāu-kà,候駕,25,hāu-kà,hau7ka3,hau7ka3,hauka,hauka
uá-phīng,倚並,25,óa-phēng,ua2phing7,oa2pheng7,uaphing,oapheng
uá-uá,倚倚,25,óa-óa,ua2ua2,oa2oa2,uaua,oaoa
uá-pn̄g,倚傍,25,óa-pn̄g,ua2png7,oa2png7,uapng,oapng
uá-sì,倚勢,25,óa-sì,ua2si3,oa2si3,uasi,oasi
uá-piah,倚壁,25,óa-piah,ua2piah,oa2piah,uapiah,oapiah
í-thian,倚天,25,í-thian,i2thian,i2thian,ithian,ithian
uá-huānn,倚岸,25,óa-hōaⁿ,ua2huann7,oa2hoann7,uahuann,oahoann
uá-tuà,倚帶,25,óa-tòa,ua2tua3,oa2toa3,uatua,oatoa
uá-nî,倚年,25,óa-nî,ua2ni5,oa2ni5,uani,oani
uá-ì,倚意,25,óa-ì,ua2i3,oa2i3,uai,oai
uá-huānn,倚按,25,óa-hōaⁿ,ua2huann7,oa2hoann7,uahuann,oahoann
uá-tàu,倚晝,25,óa-tàu,ua2tau3,oa2tau3,uatau,oatau
uá-àm,倚暗,25,óa-àm,ua2am3,oa2am3,uaam,oaam
uá-iūnn,倚樣,25,óa-iūⁿ,ua2iunn7,oa2iunn7,uaiunn,oaiunn
uá-beh,倚欲,25,óa-beh,ua2beh,oa2beh,uabeh,oabeh
uá-boh,倚欲,25,óa-boh,ua2boh,oa2boh,uaboh,oaboh
uá-hái,倚海,25,óa-hái,ua2hai2,oa2hai2,uahai,oahai
uá-lí,倚理,25,óa-lí,ua2li2,oa2li2,uali,oali
uá-tseh,倚節,25,óa-cheh,ua2tseh,oa2cheh,uatseh,oacheh
uá-tsûn,倚船,25,óa-chûn,ua2tsun5,oa2chun5,uatsun,oachun
uá-hâng,倚行,25,óa-hâng,ua2hang5,oa2hang5,uahang,oahang
uá-ke,倚街,25,óa-ke,ua2ke,oa2ke,uake,oake
uá-luā,倚賴,25,óa-lōa,ua2lua7,oa2loa7,ualua,oaloa
uá-nuā,倚賴,25,óa-nōa,ua2nua7,oa2noa7,uanua,oanoa
uá-sin,倚身,25,óa-sin,ua2sin,oa2sin,uasin,oasin
uá-tshia,倚車,25,óa-chhia,ua2tshia,oa2chhia,uatshia,oachhia
uá-kīn,倚近,25,óa-kīn,ua2kin7,oa2kin7,uakin,oakin
uá-pinn,倚邊,25,óa-piⁿ,ua2pinn,oa2pinn,uapinn,oapinn
uá-tiōng,倚重,25,óa-tiōng,ua2tiong7,oa2tiong7,uationg,oationg
uá-khò,倚靠,25,óa-khò,ua2kho3,oa2kho3,uakho,oakho
uá-tsia̍h,倚食,25,óa-chia̍h,ua2tsiah8,oa2chiah8,uatsiah,oachiah
tsioh-khiā,借khiā,25,chioh-khiā,tsiohkhia7,chiohkhia7,tsiohkhia,chiohkhia
tsioh-tuà,借tuà,25,chioh-tòa,tsiohtua3,chiohtoa3,tsiohtua,chiohtoa
tsioh-tshut,借出,25,chioh-chhut,tsiohtshut,chiohchhut,tsiohtshut,chiohchhut
tsioh-tsōo,借助,25,chioh-chō͘,tsiohtsoo7,chiohchoo7,tsiohtsoo,chiohchoo
tsioh-kháu,借口,25,chioh-kháu,tsiohkhau2,chiohkhau2,tsiohkhau,chiohkhau
tsioh-mn̄g,借問,25,chioh-mn̄g,tsiohmng7,chiohmng7,tsiohmng,chiohmng
tsioh-tuann,借單,25,chioh-toaⁿ,tsiohtuann,chiohtoann,tsiohtuann,chiohtoann
tsioh-tshuì,借嘴,25,chioh-chhùi,tsiohtshui3,chiohchhui3,tsiohtshui,chiohchhui
tsioh-tē,借地,25,chioh-tē,tsiohte7,chiohte7,tsiohte,chiohte
tsioh-jī,借字,25,chioh-jī,tsiohji7,chiohji7,tsiohji,chiohji
tsioh-lī,借字,25,chioh-lī,tsiohli7,chiohli7,tsiohli,chiohli
tsioh-tuà,借帶,25,chioh-tòa,tsiohtua3,chiohtoa3,tsiohtua,chiohtoa
tsioh-khiā,借徛,25,chioh-khiā,tsiohkhia7,chiohkhia7,tsiohkhia,chiohkhia
tsioh-kì,借據,25,chioh-kì,tsiohki3,chiohki3,tsiohki,chiohki
tsioh-khuán,借款,25,chioh-khoán,tsiohkhuan2,chiohkhoan2,tsiohkhuan,chiohkhoan
