tl,hanzi,frequency,poj,tl_num,poj_num,tl_notone,poj_notone,tl_abbrev,poj_abbrev,kautian
huì-tî,廢除,25,hùi-tî,hui3ti5,hui3ti5,huiti,huiti,ht,ht,True
huì-tû,廢除,25,hùi-tû,hui3tu5,hui3tu5,huitu,huitu,ht,ht,True
kóng-kò,廣告,25,kóng-kò,kong2ko3,kong2ko3,kongko,kongko,kk,kk,True
kóng-tāi,廣大,25,kóng-tāi,kong2tai7,kong2tai7,kongtai,kongtai,kt,kt,True
kóng-pò,廣播,25,kóng-pò,kong2po3,kong2po3,kongpo,kongpo,kp,kp,True
kóng-pòo,廣播,25,kóng-pò͘,kong2poo3,kong2poo3,kongpoo,kongpoo,kp,kp,True
kóng-huàn,廣泛,25,kóng-hoàn,kong2huan3,kong2hoan3,konghuan,konghoan,kh,kh,True
kóng-gī,廣義,25,kóng-gī,kong2gi7,kong2gi7,konggi,konggi,kg,kg,True
kóng-tiān,廣電,25,kóng-tiān,kong2tian7,kong2tian7,kongtian,kongtian,kt,kt,True
lôo-san,廬山,25,lô͘-san,loo5san,loo5san,loosan,loosan,ls,ls,True
thiann-tn̂g,廳堂,25,thiaⁿ-tn̂g,thianntng5,thianntng5,thianntng,thianntng,tt,tt,True
thiann-thâu,廳頭,25,thiaⁿ-thâu,thiannthau5,thiannthau5,thiannthau,thiannthau,tt,tt,True
iân-sin,延伸,25,iân-sin,ian5sin,ian5sin,iansin,iansin,is,is,True
iân-tshiân,延延,25,iân-chhiân,ian5tshian5,ian5chhian5,iantshian,ianchhian,it,ic,True
iân-āu,延後,25,iân-āu,ian5au7,ian5au7,ianau,ianau,ia,ia,True
iân-kî,延期,25,iân-kî,ian5ki5,ian5ki5,ianki,ianki,ik,ik,True
iân-sio,延燒,25,iân-sio,ian5sio,ian5sio,iansio,iansio,is,is,True
iân-sio̍k,延續,25,iân-sio̍k,ian5siok8,ian5siok8,iansiok,iansiok,is,is,True
iân-gōo,延誤,25,iân-gō͘,ian5goo7,ian5goo7,iangoo,iangoo,ig,ig,True
iân-tî,延遲,25,iân-tî,ian5ti5,ian5ti5,ianti,ianti,it,it,True
iân-tn̂g,延長,25,iân-tn̂g,ian5tng5,ian5tng5,iantng,iantng,it,it,True
iân-lîng,延陵,25,iân-lêng,ian5ling5,ian5leng5,ianling,ianleng,il,il,True
tshiân-lîng,延陵,25,chhiân-lêng,tshian5ling5,chhian5leng5,tshianling,chhianleng,tl,cl,True
kiàn-kóo,建古,25,kiàn-kó͘,kian3koo2,kian3koo2,kiankoo,kiankoo,kk,kk,True
kiàn-siong,建商,25,kiàn-siong,kian3siong,kian3siong,kiansiong,kiansiong,ks,ks,True
kiàn-tsâi,建材,25,kiàn-châi,kian3tsai5,kian3chai5,kiantsai,kianchai,kt,kc,True
kiàn-kòo,建構,25,kiàn-kò͘,kian3koo3,kian3koo3,kiankoo,kiankoo,kk,kk,True
kiàn-tsiàu,建照,25,kiàn-chiàu,kian3tsiau3,kian3chiau3,kiantsiau,kianchiau,kt,kc,True
kiàn-bu̍t,建物,25,kiàn-bu̍t,kian3but8,kian3but8,kianbut,kianbut,kb,kb,True
kiàn-li̍p,建立,25,kiàn-li̍p,kian3lip8,kian3lip8,kianlip,kianlip,kl,kl,True
kiàn-tio̍k,建築,25,kiàn-tio̍k,kian3tiok8,kian3tiok8,kiantiok,kiantiok,kt,kt,True
kiàn-tì,建置,25,kiàn-tì,kian3ti3,kian3ti3,kianti,kianti,kt,kt,True
kiàn-giân,建言,25,kiàn-giân,kian3gian5,kian3gian5,kiangian,kiangian,kg,kg,True
kiàn-siat,建設,25,kiàn-siat,kian3siat,kian3siat,kiansiat,kiansiat,ks,ks,True
kiàn-gī,建議,25,kiàn-gī,kian3gi7,kian3gi7,kiangi,kiangi,kg,kg,True
kiàn-tsō,建造,25,kiàn-chō,kian3tso7,kian3cho7,kiantso,kiancho,kt,kc,True
jia̍p-it,廿一,25,jia̍p-it,jiap8it,jiap8it,jiapit,jiapit,ji,ji,True
lia̍p-it,廿一,25,lia̍p-it,liap8it,liap8it,liapit,liapit,li,li,True
lāng-kuân,弄權,25,lāng-koân,lang7kuan5,lang7koan5,langkuan,langkoan,lk,lk,True
lōng-khuân,弄權,25,lōng-khoân,long7khuan5,long7khoan5,longkhuan,longkhoan,lk,lk,True
lāng-sai,弄獅,25,lāng-sai,lang7sai,lang7sai,langsai,langsai,ls,ls,True
