tl,hanzi,frequency,poj,tl_num,poj_num,tps_num,tl_notone,poj_notone,tps_notone,tl_abbrev,poj_abbrev,tps_abbrev,itaigi,is_variant
tsiong,鍾,611,chiong,tsiong1,chiong1,ㄐㄧㆲ,tsiong,chiong,ㄐㄧㆲ,,,,True,False
bán,挽,600,bán,ban2,ban2,ㆠㄢˋ,ban,ban,ㆠㄢ,,,,True,False
tshau,操,600,chhau,tshau1,chhau1,ㄘㄠ,tshau,chhau,ㄘㄠ,,,,True,False
phoo,鋪,600,pho͘,phoo1,phoo1,ㄆㆦ,phoo,phoo,ㄆㆦ,,,,True,False
hia̍h,額,587,hia̍h,hiah8,hiah8,ㄏㄧㄚㆷ̇,hiah,hiah,ㄏㄧㄚㆷ,,,,True,False
ûn,勻,550,ûn,un5,un5,ㄨㄣˊ,un,un,ㄨㄣ,,,,True,False
pho,波,550,pho,pho1,pho1,ㄆㄛ,pho,pho,ㄆㄛ,,,,True,False
tak,觸,550,tak,tak4,tak4,ㄉㄚㆻ,tak,tak,ㄉㄚㆻ,,,,True,False
lāi,利,544,lāi,lai7,lai7,ㄌㄞ˫,lai,lai,ㄌㄞ,,,,True,False
kà,較,539,kà,ka3,ka3,ㄍㄚ˪,ka,ka,ㄍㄚ,,,,True,False
tsin-tsiànn,真正,529,chin-chiàⁿ,tsin1tsiann3,chin1chiann3,ㄐㄧㄣㄐㄧㆩ˪,tsintsiann,chinchiann,ㄐㄧㄣㄐㄧㆩ,tt,cc,ㄐㄐ,True,False
kuè-khì,過去,501,kòe-khì,kue3khi3,koe3khi3,ㄍㄨㆤ˪ㄎㄧ˪,kuekhi,koekhi,ㄍㄨㆤㄎㄧ,kk,kk,ㄍㄎ,True,False
âu,喉,500,âu,au5,au5,ㄠˊ,au,au,ㄠ,,,,True,False
sûn,巡,500,sûn,sun5,sun5,ㄙㄨㄣˊ,sun,sun,ㄙㄨㄣ,,,,True,False
tshia,捙,500,chhia,tshia1,chhia1,ㄑㄧㄚ,tshia,chhia,ㄑㄧㄚ,,,,True,False
pháinn-sè,歹勢,500,pháiⁿ-sè,phainn2se3,phainn2se3,ㄆㆮˋㄙㆤ˪,phainnse,phainnse,ㄆㆮㄙㆤ,ps,ps,ㄆㄙ,True,False
kán-tan,簡單,500,kán-tan,kan2tan1,kan2tan1,ㄍㄢˋㄉㄢ,kantan,kantan,ㄍㄢㄉㄢ,kt,kt,ㄍㄉ,True,False
sô,趖,500,sô,so5,so5,ㄙㄛˊ,so,so,ㄙㄛ,,,,True,False
tsiàu,醮,499,chiàu,tsiau3,chiau3,ㄐㄧㄠ˪,tsiau,chiau,ㄐㄧㄠ,,,,True,False
kám-kak,感覺,463,kám-kak,kam2kak4,kam2kak4,ㄍㆰˋㄍㄚㆻ,kamkak,kamkak,ㄍㆰㄍㄚㆻ,kk,kk,ㄍㄍ,True,False
uân,園,460,oân,uan5,oan5,ㄨㄢˊ,uan,oan,ㄨㄢ,,,,True,False
khiām,儉,450,khiām,khiam7,khiam7,ㄎㄧㆰ˫,khiam,khiam,ㄎㄧㆰ,,,,True,False
lāng,弄,450,lāng,lang7,lang7,ㄌㄤ˫,lang,lang,ㄌㄤ,,,,True,False
khàu,扣,450,khàu,khau3,khau3,ㄎㄠ˪,khau,khau,ㄎㄠ,,,,True,False
thuî,槌,450,thûi,thui5,thui5,ㄊㄨㄧˊ,thui,thui,ㄊㄨㄧ,,,,True,False
tî,池,450,tî,ti5,ti5,ㄉㄧˊ,ti,ti,ㄉㄧ,,,,True,False
hôo,胡,450,hô͘,hoo5,hoo5,ㄏㆦˊ,hoo,hoo,ㄏㆦ,,,,True,False
thǹg,褪,450,thǹg,thng3,thng3,ㄊㆭ˪,thng,thng,ㄊㆭ,,,,True,False
