tl,hanzi,frequency,poj,tl_num,poj_num,tps_num,tl_notone,poj_notone,tps_notone,tl_abbrev,poj_abbrev,tps_abbrev,itaigi,is_variant
muî-muî-á-hōo,毛毛仔雨,12,mûi-mûi-á-hō͘,mui5mui5a2hoo7,mui5mui5a2hoo7,ㄇㄨㄧˊㄇㄨㄧˊㄚˋㄏㆦ˫,muimuiahoo,muimuiahoo,ㄇㄨㄧㄇㄨㄧㄚㄏㆦ,mmah,mmah,ㄇㄇㄚㄏ,True,False
bîn-kok-á-sian,民國仔仙,12,bîn-kok-á-sian,bin5kok4a2sian1,bin5kok4a2sian1,ㆠㄧㄣˊㄍㆦㆻㄚˋㄒㄧㄢ,binkokasian,binkokasian,ㆠㄧㄣㄍㆦㆻㄚㄒㄧㄢ,bkas,bkas,ㆠㄍㄚㄒ,True,False
bîn-kok-á-to̍k,民國仔獨,12,bîn-kok-á-to̍k,bin5kok4a2tok8,bin5kok4a2tok8,ㆠㄧㄣˊㄍㆦㆻㄚˋㄉㆦㆻ̇,binkokatok,binkokatok,ㆠㄧㄣㄍㆦㆻㄚㄉㆦㆻ,bkat,bkat,ㆠㄍㄚㄉ,True,False
bîn-tso̍k-tsú-gī,民族主義,12,bîn-cho̍k-chú-gī,bin5tsok8tsu2gi7,bin5chok8chu2gi7,ㆠㄧㄣˊㄗㆦㆻ̇ㄗㄨˋㆣㄧ˫,bintsoktsugi,binchokchugi,ㆠㄧㄣㄗㆦㆻㄗㄨㆣㄧ,bttg,bccg,ㆠㄗㄗㆣ,True,False
khì-kàu-tè-á,氣到地仔,12,khì-kàu-tè-á,khi3kau3te3a2,khi3kau3te3a2,ㄎㄧ˪ㄍㄠ˪ㄉㆤ˪ㄚˋ,khikautea,khikautea,ㄎㄧㄍㄠㄉㆤㄚ,kkta,kkta,ㄎㄍㄉㄚ,True,False
khì-tn̂g-khì-tōo,氣腸氣肚,12,khì-tn̂g-khì-tō͘,khi3tng5khi3too7,khi3tng5khi3too7,ㄎㄧ˪ㄉㆭˊㄎㄧ˪ㄉㆦ˫,khitngkhitoo,khitngkhitoo,ㄎㄧㄉㆭㄎㄧㄉㆦ,ktkt,ktkt,ㄎㄉㄎㄉ,True,False
khì-sin-lóo-miā,氣身惱命,12,khì-sin-ló͘-miā,khi3sin1loo2mia7,khi3sin1loo2mia7,ㄎㄧ˪ㄒㄧㄣㄌㆦˋㄇㄧㄚ˫,khisinloomia,khisinloomia,ㄎㄧㄒㄧㄣㄌㆦㄇㄧㄚ,kslm,kslm,ㄎㄒㄌㄇ,True,False
tsuí-thóo-put-ho̍k,水土不服,12,chúi-thó͘-put-ho̍k,tsui2thoo2put4hok8,chui2thoo2put4hok8,ㄗㄨㄧˋㄊㆦˋㄅㄨㆵㄏㆦㆻ̇,tsuithooputhok,chuithooputhok,ㄗㄨㄧㄊㆦㄅㄨㆵㄏㆦㆻ,ttph,ctph,ㄗㄊㄅㄏ,True,False
tsuí-thóo-bē-ha̍h,水土袂合,12,chúi-thó͘-bē-ha̍h,tsui2thoo2be7hah8,chui2thoo2be7hah8,ㄗㄨㄧˋㄊㆦˋㆠㆤ˫ㄏㄚㆷ̇,tsuithoobehah,chuithoobehah,ㄗㄨㄧㄊㆦㆠㆤㄏㄚㆷ,ttbh,ctbh,ㄗㄊㆠㄏ,True,False
tsuí-àn-tsùn-kiânn,水按圳行,12,chúi-àn-chùn-kiâⁿ,tsui2an3tsun3kiann5,chui2an3chun3kiann5,ㄗㄨㄧˋㄢ˪ㄗㄨㄣ˪ㄍㄧㆩˊ,tsuiantsunkiann,chuianchunkiann,ㄗㄨㄧㄢㄗㄨㄣㄍㄧㆩ,tatk,cack,ㄗㄢㄗㄍ,True,False
tsuí-tsūn-á-thâu,水捘仔頭,12,chúi-chūn-á-thâu,tsui2tsun7a2thau5,chui2chun7a2thau5,ㄗㄨㄧˋㄗㄨㄣ˫ㄚˋㄊㄠˊ,tsuitsunathau,chuichunathau,ㄗㄨㄧㄗㄨㄣㄚㄊㄠ,ttat,ccat,ㄗㄗㄚㄊ,True,False
tsuí-tshenn-gi̍k-hîng,水星逆行,12,chúi-chheⁿ-ge̍k-hêng,tsui2tshenn1gik8hing5,chui2chhenn1gek8heng5,ㄗㄨㄧˋㄘㆥㆣㄧㆻ̇ㄏㄧㄥˊ,tsuitshenngikhing,chuichhenngekheng,ㄗㄨㄧㄘㆥㆣㄧㆻㄏㄧㄥ,ttgh,ccgh,ㄗㄘㆣㄏ,True,False
tsuí-tshinn-gi̍k-hîng,水星逆行,12,chúi-chhiⁿ-ge̍k-hêng,tsui2tshinn1gik8hing5,chui2chhinn1gek8heng5,ㄗㄨㄧˋㄑㆪㆣㄧㆻ̇ㄏㄧㄥˊ,tsuitshinngikhing,chuichhinngekheng,ㄗㄨㄧㄑㆪㆣㄧㆻㄏㄧㄥ,ttgh,ccgh,ㄗㄑㆣㄏ,True,False
tsuí-tsuí--ê,水水的,12,chúi-chúi--ê,tsui2tsui2e5,chui2chui2e5,ㄗㄨㄧˋㄗㄨㄧˋㆤˊ,tsuitsuie,chuichuie,ㄗㄨㄧㄗㄨㄧㆤ,tte,cce,ㄗㄗㆤ,True,False
tsuí-ong-ong-lâu,水汪汪流,12,chúi-ong-ong-lâu,tsui2ong1ong1lau5,chui2ong1ong1lau5,ㄗㄨㄧˋㆲㆲㄌㄠˊ,tsuiongonglau,chuiongonglau,ㄗㄨㄧㆲㆲㄌㄠ,tool,cool,ㄗㆲㆲㄌ,True,False
tsuí-piàn-tē-gím,水遍地錦,12,chúi-piàn-tē-gím,tsui2pian3te7gim2,chui2pian3te7gim2,ㄗㄨㄧˋㄅㄧㄢ˪ㄉㆤ˫ㆣㄧㆬˋ,tsuipiantegim,chuipiantegim,ㄗㄨㄧㄅㄧㄢㄉㆤㆣㄧㆬ,tptg,cptg,ㄗㄅㄉㆣ,True,False
tsuí-sng-huà-bu̍t,水酸化物,12,chúi-sng-hòa-bu̍t,tsui2sng1hua3but8,chui2sng1hoa3but8,ㄗㄨㄧˋㄙㆭㄏㄨㄚ˪ㆠㄨㆵ̇,tsuisnghuabut,chuisnghoabut,ㄗㄨㄧㄙㆭㄏㄨㄚㆠㄨㆵ,tshb,cshb,ㄗㄙㄏㆠ,True,False
tsuí-ke-phuê-á,水雞皮仔,12,chúi-ke-phôe-á,tsui2ke1phue5a2,chui2ke1phoe5a2,ㄗㄨㄧˋㄍㆤㄆㄨㆤˊㄚˋ,tsuikephuea,chuikephoea,ㄗㄨㄧㄍㆤㄆㄨㆤㄚ,tkpa,ckpa,ㄗㄍㄆㄚ,True,False
tsuí-bīn-pó-hiám,水面保險,12,chúi-bīn-pó-hiám,tsui2bin7po2hiam2,chui2bin7po2hiam2,ㄗㄨㄧˋㆠㄧㄣ˫ㄅㄛˋㄏㄧㆰˋ,tsuibinpohiam,chuibinpohiam,ㄗㄨㄧㆠㄧㄣㄅㄛㄏㄧㆰ,tbph,cbph,ㄗㆠㄅㄏ,True,False
tsuí-kuí-á-sann,水鬼仔衫,12,chúi-kúi-á-saⁿ,tsui2kui2a2sann1,chui2kui2a2sann1,ㄗㄨㄧˋㄍㄨㄧˋㄚˋㄙㆩ,tsuikuiasann,chuikuiasann,ㄗㄨㄧㄍㄨㄧㄚㄙㆩ,tkas,ckas,ㄗㄍㄚㄙ,True,False
kiû-sîn-mn̄g-pu̍t,求神問佛,12,kiû-sîn-mn̄g-pu̍t,kiu5sin5mng7put8,kiu5sin5mng7put8,ㄍㄧㄨˊㄒㄧㄣˊㄇㆭ˫ㄅㄨㆵ̇,kiusinmngput,kiusinmngput,ㄍㄧㄨㄒㄧㄣㄇㆭㄅㄨㆵ,ksmp,ksmp,ㄍㄒㄇㄅ,True,False
kuānn-lâu-sap-tih,汗流屑滴,12,kōaⁿ-lâu-sap-tih,kuann7lau5sap4tih4,koann7lau5sap4tih4,ㄍㄨㆩ˫ㄌㄠˊㄙㄚㆴㄉㄧㆷ,kuannlausaptih,koannlausaptih,ㄍㄨㆩㄌㄠㄙㄚㆴㄉㄧㆷ,klst,klst,ㄍㄌㄙㄉ,True,False
kuānn-lâu-tsap-tih,汗流汁滴,12,kōaⁿ-lâu-chap-tih,kuann7lau5tsap4tih4,koann7lau5chap4tih4,ㄍㄨㆩ˫ㄌㄠˊㄗㄚㆴㄉㄧㆷ,kuannlautsaptih,koannlauchaptih,ㄍㄨㆩㄌㄠㄗㄚㆴㄉㄧㆷ,kltt,klct,ㄍㄌㄗㄉ,True,False
hān-lîu-kiap-puē,汗流浹背,12,hān-liû-kiap-pōe,han7liu5kiap4pue7,han7liu5kiap4poe7,ㄏㄢ˫ㄌㄧㄨˊㄍㄧㄚㆴㄅㄨㆤ˫,hanliukiappue,hanliukiappoe,ㄏㄢㄌㄧㄨㄍㄧㄚㆴㄅㄨㆤ,hlkp,hlkp,ㄏㄌㄍㄅ,True,False
ta̍uh-ta̍uh-á-lâi,沓沓仔來,12,tau̍h-tau̍h-á-lâi,tauh8tauh8a2lai5,tauh8tauh8a2lai5,ㄉㄠㆷ̇ㄉㄠㆷ̇ㄚˋㄌㄞˊ,tauhtauhalai,tauhtauhalai,ㄉㄠㆷㄉㄠㆷㄚㄌㄞ,ttal,ttal,ㄉㄉㄚㄌ,True,False
ta̍uh-ta̍uh-á-sī,沓沓仔是,12,tau̍h-tau̍h-á-sī,tauh8tauh8a2si7,tauh8tauh8a2si7,ㄉㄠㆷ̇ㄉㄠㆷ̇ㄚˋㄒㄧ˫,tauhtauhasi,tauhtauhasi,ㄉㄠㆷㄉㄠㆷㄚㄒㄧ,ttas,ttas,ㄉㄉㄚㄒ,True,False
ta̍uh-ta̍uh-á-kiânn,沓沓仔行,12,tau̍h-tau̍h-á-kiâⁿ,tauh8tauh8a2kiann5,tauh8tauh8a2kiann5,ㄉㄠㆷ̇ㄉㄠㆷ̇ㄚˋㄍㄧㆩˊ,tauhtauhakiann,tauhtauhakiann,ㄉㄠㆷㄉㄠㆷㄚㄍㄧㆩ,ttak,ttak,ㄉㄉㄚㄍ,True,False
sa-bui-sa-bui,沙微沙微,12,sa-bui-sa-bui,sa1bui1sa1bui1,sa1bui1sa1bui1,ㄙㄚㆠㄨㄧㄙㄚㆠㄨㄧ,sabuisabui,sabuisabui,ㄙㄚㆠㄨㄧㄙㄚㆠㄨㄧ,sbsb,sbsb,ㄙㆠㄙㆠ,True,False
sa-ko-hî-thâu,沙鍋魚頭,12,sa-ko-hî-thâu,sa1ko1hi5thau5,sa1ko1hi5thau5,ㄙㄚㄍㄛㄏㄧˊㄊㄠˊ,sakohithau,sakohithau,ㄙㄚㄍㄛㄏㄧㄊㄠ,skht,skht,ㄙㄍㄏㄊ,True,False
sa-long-pa-suh,沙龍巴斯,12,sa-long-pa-suh,sa1long1pa1suh4,sa1long1pa1suh4,ㄙㄚㄌㆲㄅㄚㄙㄨㆷ,salongpasuh,salongpasuh,ㄙㄚㄌㆲㄅㄚㄙㄨㆷ,slps,slps,ㄙㄌㄅㄙ,True,False
siû-lâi-siû-khì,泅來泅去,12,siû-lâi-siû-khì,siu5lai5siu5khi3,siu5lai5siu5khi3,ㄒㄧㄨˊㄌㄞˊㄒㄧㄨˊㄎㄧ˪,siulaisiukhi,siulaisiukhi,ㄒㄧㄨㄌㄞㄒㄧㄨㄎㄧ,slsk,slsk,ㄒㄌㄒㄎ,True,False
siû-tsuí-khoo-á,泅水箍仔,12,siû-chúi-kho͘-á,siu5tsui2khoo1a2,siu5chui2khoo1a2,ㄒㄧㄨˊㄗㄨㄧˋㄎㆦㄚˋ,siutsuikhooa,siuchuikhooa,ㄒㄧㄨㄗㄨㄧㄎㆦㄚ,stka,scka,ㄒㄗㄎㄚ,True,False
huat-kok-sio̍k-pháng,法國俗麭,12,hoat-kok-sio̍k-pháng,huat4kok4siok8phang2,hoat4kok4siok8phang2,ㄏㄨㄚㆵㄍㆦㆻㄒㄧㆦㆻ̇ㄆㄤˋ,huatkoksiokphang,hoatkoksiokphang,ㄏㄨㄚㆵㄍㆦㆻㄒㄧㆦㆻㄆㄤ,hksp,hksp,ㄏㄍㄒㄆ,True,False
huat-kok-nn̄g-piánn,法國卵餅,12,hoat-kok-nn̄g-piáⁿ,huat4kok4nng7piann2,hoat4kok4nng7piann2,ㄏㄨㄚㆵㄍㆦㆻㄋㆭ˫ㄅㄧㆩˋ,huatkoknngpiann,hoatkoknngpiann,ㄏㄨㄚㆵㄍㆦㆻㄋㆭㄅㄧㆩ,hknp,hknp,ㄏㄍㄋㄅ,True,False
huat-kok-mī-pau,法國麵包,12,hoat-kok-mī-pau,huat4kok4mi7pau1,hoat4kok4mi7pau1,ㄏㄨㄚㆵㄍㆦㆻㄇㄧ˫ㄅㄠ,huatkokmipau,hoatkokmipau,ㄏㄨㄚㆵㄍㆦㆻㄇㄧㄅㄠ,hkmp,hkmp,ㄏㄍㄇㄅ,True,False
huat-lân-khik-hok,法蘭克福,12,hoat-lân-khek-hok,huat4lan5khik4hok4,hoat4lan5khek4hok4,ㄏㄨㄚㆵㄌㄢˊㄎㄧㆻㄏㆦㆻ,huatlankhikhok,hoatlankhekhok,ㄏㄨㄚㆵㄌㄢㄎㄧㆻㄏㆦㆻ,hlkh,hlkh,ㄏㄌㄎㄏ,True,False
pho-sū-nî-a,波士尼亞,12,pho-sū-nî-a,pho1su7ni5a1,pho1su7ni5a1,ㄆㄛㄙㄨ˫ㄋㄧˊㄚ,phosunia,phosunia,ㄆㄛㄙㄨㄋㄧㄚ,psna,psna,ㄆㄙㄋㄚ,True,False
phō-pà-ling-tê,波霸奶茶,12,phō-pà-leng-tê,pho7pa3ling1te5,pho7pa3leng1te5,ㄆㄛ˫ㄅㄚ˪ㄌㄧㄥㄉㆤˊ,phopalingte,phopalengte,ㄆㄛㄅㄚㄌㄧㄥㄉㆤ,pplt,pplt,ㄆㄅㄌㄉ,True,False
tsù-îng-ióng-siā,注營養射,12,chù-êng-ióng-siā,tsu3ing5iong2sia7,chu3eng5iong2sia7,ㄗㄨ˪ㄧㄥˊㄧㆲˋㄒㄧㄚ˫,tsuingiongsia,chuengiongsia,ㄗㄨㄧㄥㄧㆲㄒㄧㄚ,tiis,ceis,ㄗㄧㄧㄒ,True,False
tsù-im-hû-hō,注音符號,12,chù-im-hû-hō,tsu3im1hu5ho7,chu3im1hu5ho7,ㄗㄨ˪ㄧㆬㄏㄨˊㄏㄛ˫,tsuimhuho,chuimhuho,ㄗㄨㄧㆬㄏㄨㄏㄛ,tihh,cihh,ㄗㄧㄏㄏ,True,False
tsù-ī-hông-siā,注預防射,12,chù-ī-hông-siā,tsu3i7hong5sia7,chu3i7hong5sia7,ㄗㄨ˪ㄧ˫ㄏㆲˊㄒㄧㄚ˫,tsuihongsia,chuihongsia,ㄗㄨㄧㄏㆲㄒㄧㄚ,tihs,cihs,ㄗㄧㄏㄒ,True,False
tsù-ū-hông-tsiam,注預防針,12,chù-ū-hông-chiam,tsu3u7hong5tsiam1,chu3u7hong5chiam1,ㄗㄨ˪ㄨ˫ㄏㆲˊㄐㄧㆰ,tsuuhongtsiam,chuuhongchiam,ㄗㄨㄨㄏㆲㄐㄧㆰ,tuht,cuhc,ㄗㄨㄏㄐ,True,False
iûnn-tshang-tsuí-ke,洋蔥水雞,12,iûⁿ-chhang-chúi-ke,iunn5tshang1tsui2ke1,iunn5chhang1chui2ke1,ㄧㆫˊㄘㄤㄗㄨㄧˋㄍㆤ,iunntshangtsuike,iunnchhangchuike,ㄧㆫㄘㄤㄗㄨㄧㄍㆤ,ittk,icck,ㄧㄘㄗㄍ,True,False
iûnn-bīn-pó-hiám,洋面保險,12,iûⁿ-bīn-pó-hiám,iunn5bin7po2hiam2,iunn5bin7po2hiam2,ㄧㆫˊㆠㄧㄣ˫ㄅㄛˋㄏㄧㆰˋ,iunnbinpohiam,iunnbinpohiam,ㄧㆫㆠㄧㄣㄅㄛㄏㄧㆰ,ibph,ibph,ㄧㆠㄅㄏ,True,False
sé-tshiú-tâi-á,洗手台仔,12,sé-chhiú-tâi-á,se2tshiu2tai5a2,se2chhiu2tai5a2,ㄙㆤˋㄑㄧㄨˋㄉㄞˊㄚˋ,setshiutaia,sechhiutaia,ㄙㆤㄑㄧㄨㄉㄞㄚ,stta,scta,ㄙㄑㄉㄚ,True,False
sé-kah-liù-phuê,洗甲遛皮,12,sé-kah-liù-phôe,se2kah4liu3phue5,se2kah4liu3phoe5,ㄙㆤˋㄍㄚㆷㄌㄧㄨ˪ㄆㄨㆤˊ,sekahliuphue,sekahliuphoe,ㄙㆤㄍㄚㆷㄌㄧㄨㄆㄨㆤ,sklp,sklp,ㄙㄍㄌㄆ,True,True
sé-sann-á-pang,洗衫仔枋,12,sé-saⁿ-á-pang,se2sann1a2pang1,se2sann1a2pang1,ㄙㆤˋㄙㆩㄚˋㄅㄤ,sesannapang,sesannapang,ㄙㆤㄙㆩㄚㄅㄤ,ssap,ssap,ㄙㄙㄚㄅ,True,False
sé-sann-pang-á,洗衫枋仔,12,sé-saⁿ-pang-á,se2sann1pang1a2,se2sann1pang1a2,ㄙㆤˋㄙㆩㄅㄤㄚˋ,sesannpanga,sesannpanga,ㄙㆤㄙㆩㄅㄤㄚ,sspa,sspa,ㄙㄙㄅㄚ,True,False
sé-sin-khu-tsing,洗身軀精,12,sé-sin-khu-cheng,se2sin1khu1tsing1,se2sin1khu1cheng1,ㄙㆤˋㄒㄧㄣㄎㄨㄐㄧㄥ,sesinkhutsing,sesinkhucheng,ㄙㆤㄒㄧㄣㄎㄨㄐㄧㄥ,sskt,sskc,ㄙㄒㄎㄐ,True,False
sué-bīn--ê,洗面的,12,sóe-bīn--ê,sue2bin7e5,soe2bin7e5,ㄙㄨㆤˋㆠㄧㄣ˫ㆤˊ,suebine,soebine,ㄙㄨㆤㆠㄧㄣㆤ,sbe,sbe,ㄙㆠㆤ,True,False
sé-bīn--ê,洗面的,12,sé-bīn--ê,se2bin7e5,se2bin7e5,ㄙㆤˋㆠㄧㄣ˫ㆤˊ,sebine,sebine,ㄙㆤㆠㄧㄣㆤ,sbe,sbe,ㄙㆠㆤ,True,False
sé-thâu-mn̂g-hún,洗頭毛粉,12,sé-thâu-mn̂g-hún,se2thau5mng5hun2,se2thau5mng5hun2,ㄙㆤˋㄊㄠˊㄇㆭˊㄏㄨㄣˋ,sethaumnghun,sethaumnghun,ㄙㆤㄊㄠㄇㆭㄏㄨㄣ,stmh,stmh,ㄙㄊㄇㄏ,True,False
sé-thâu-moo-hún,洗頭毛粉,12,sé-thâu-mo͘-hún,se2thau5moo1hun2,se2thau5moo1hun2,ㄙㆤˋㄊㄠˊㄇㆦㄏㄨㄣˋ,sethaumoohun,sethaumoohun,ㄙㆤㄊㄠㄇㆦㄏㄨㄣ,stmh,stmh,ㄙㄊㄇㄏ,True,False
sé-thau-mn̄g-tsing,洗頭毛精,12,sé-thau-mn̄g-cheng,se2thau1mng7tsing1,se2thau1mng7cheng1,ㄙㆤˋㄊㄠㄇㆭ˫ㄐㄧㄥ,sethaumngtsing,sethaumngcheng,ㄙㆤㄊㄠㄇㆭㄐㄧㄥ,stmt,stmc,ㄙㄊㄇㄐ,True,False
lo̍k-ki-suann-be̍h,洛磯山脈,12,lo̍k-ki-soaⁿ-be̍h,lok8ki1suann1beh8,lok8ki1soann1beh8,ㄌㆦㆻ̇ㄍㄧㄙㄨㆩㆠㆤㆷ̇,lokkisuannbeh,lokkisoannbeh,ㄌㆦㆻㄍㄧㄙㄨㆩㆠㆤㆷ,lksb,lksb,ㄌㄍㄙㆠ,True,False
lo̍k-ki-suann-me̍h,洛磯山脈,12,lo̍k-ki-soaⁿ-me̍h,lok8ki1suann1meh8,lok8ki1soann1meh8,ㄌㆦㆻ̇ㄍㄧㄙㄨㆩㄇㆤㆷ̇,lokkisuannmeh,lokkisoannmeh,ㄌㆦㆻㄍㄧㄙㄨㆩㄇㆤㆷ,lksm,lksm,ㄌㄍㄙㄇ,True,False
ua̍h-pán-ìn-suat,活版印刷,12,oa̍h-pán-ìn-soat,uah8pan2in3suat4,oah8pan2in3soat4,ㄨㄚㆷ̇ㄅㄢˋㄧㄣ˪ㄙㄨㄚㆵ,uahpaninsuat,oahpaninsoat,ㄨㄚㆷㄅㄢㄧㄣㄙㄨㄚㆵ,upis,opis,ㄨㄅㄧㄙ,True,False
ua̍h-jī-tháng-á,活餌桶仔,12,oa̍h-jī-tháng-á,uah8ji7thang2a2,oah8ji7thang2a2,ㄨㄚㆷ̇ㆢㄧ˫ㄊㄤˋㄚˋ,uahjithanga,oahjithanga,ㄨㄚㆷㆢㄧㄊㄤㄚ,ujta,ojta,ㄨㆢㄊㄚ,True,False
lâu-kuānn-lâu-khó,流汗流洘,12,lâu-kōaⁿ-lâu-khó,lau5kuann7lau5kho2,lau5koann7lau5kho2,ㄌㄠˊㄍㄨㆩ˫ㄌㄠˊㄎㄛˋ,laukuannlaukho,laukoannlaukho,ㄌㄠㄍㄨㆩㄌㄠㄎㄛ,lklk,lklk,ㄌㄍㄌㄎ,True,False
liû-thé-li̍k-ha̍k,流體力學,12,liû-thé-le̍k-ha̍k,liu5the2lik8hak8,liu5the2lek8hak8,ㄌㄧㄨˊㄊㆤˋㄌㄧㆻ̇ㄏㄚㆻ̇,liuthelikhak,liuthelekhak,ㄌㄧㄨㄊㆤㄌㄧㆻㄏㄚㆻ,ltlh,ltlh,ㄌㄊㄌㄏ,True,False
lâu-phīnn-lâu-hueh,流鼻流血,12,lâu-phīⁿ-lâu-hoeh,lau5phinn7lau5hueh4,lau5phinn7lau5hoeh4,ㄌㄠˊㄆㆪ˫ㄌㄠˊㄏㄨㆤㆷ,lauphinnlauhueh,lauphinnlauhoeh,ㄌㄠㄆㆪㄌㄠㄏㄨㆤㆷ,lplh,lplh,ㄌㄆㄌㄏ,True,False
lâu-phīnn-lâu-huih,流鼻流血,12,lâu-phīⁿ-lâu-huih,lau5phinn7lau5huih4,lau5phinn7lau5huih4,ㄌㄠˊㄆㆪ˫ㄌㄠˊㄏㄨㄧㆷ,lauphinnlauhuih,lauphinnlauhuih,ㄌㄠㄆㆪㄌㄠㄏㄨㄧㆷ,lplh,lplh,ㄌㄆㄌㄏ,True,False
hái-kháu,海口,12,hái-kháu,hai2khau2,hai2khau2,ㄏㄞˋㄎㄠˋ,haikhau,haikhau,ㄏㄞㄎㄠ,hk,hk,ㄏㄎ,True,False
hái-tshī-sīn-lâu,海市蜃樓,12,hái-chhī-sīn-lâu,hai2tshi7sin7lau5,hai2chhi7sin7lau5,ㄏㄞˋㄑㄧ˫ㄒㄧㄣ˫ㄌㄠˊ,haitshisinlau,haichhisinlau,ㄏㄞㄑㄧㄒㄧㄣㄌㄠ,htsl,hcsl,ㄏㄑㄒㄌ,True,False
hái-té-bong-tsiam,海底摸針,12,hái-té-bong-chiam,hai2te2bong1tsiam1,hai2te2bong1chiam1,ㄏㄞˋㄉㆤˋㆠㆲㄐㄧㆰ,haitebongtsiam,haitebongchiam,ㄏㄞㄉㆤㆠㆲㄐㄧㆰ,htbt,htbc,ㄏㄉㆠㄐ,True,False
hái-tsuí-tó-kik,海水倒激,12,hái-chúi-tó-kek,hai2tsui2to2kik4,hai2chui2to2kek4,ㄏㄞˋㄗㄨㄧˋㄉㄛˋㄍㄧㆻ,haitsuitokik,haichuitokek,ㄏㄞㄗㄨㄧㄉㄛㄍㄧㆻ,httk,hctk,ㄏㄗㄉㄍ,True,False
hái-sán-tsian-piánn,海產煎餅,12,hái-sán-chian-piáⁿ,hai2san2tsian1piann2,hai2san2chian1piann2,ㄏㄞˋㄙㄢˋㄐㄧㄢㄅㄧㆩˋ,haisantsianpiann,haisanchianpiann,ㄏㄞㄙㄢㄐㄧㄢㄅㄧㆩ,hstp,hscp,ㄏㄙㄐㄅ,True,False
hái-kat-á-thâu,海結仔頭,12,hái-kat-á-thâu,hai2kat4a2thau5,hai2kat4a2thau5,ㄏㄞˋㄍㄚㆵㄚˋㄊㄠˊ,haikatathau,haikatathau,ㄏㄞㄍㄚㆵㄚㄊㄠ,hkat,hkat,ㄏㄍㄚㄊ,True,False
hái-lê-á-hong,海螺仔風,12,hái-lê-á-hong,hai2le5a2hong1,hai2le5a2hong1,ㄏㄞˋㄌㆤˊㄚˋㄏㆲ,haileahong,haileahong,ㄏㄞㄌㆤㄚㄏㆲ,hlah,hlah,ㄏㄌㄚㄏ,True,True
hái-ti-á-se̍h,海豬仔踅,12,hái-ti-á-se̍h,hai2ti1a2seh8,hai2ti1a2seh8,ㄏㄞˋㄉㄧㄚˋㄙㆤㆷ̇,haitiaseh,haitiaseh,ㄏㄞㄉㄧㄚㄙㆤㆷ,htas,htas,ㄏㄉㄚㄙ,True,False
siau-tháu-ap-li̍k,消敨壓力,12,siau-tháu-ap-le̍k,siau1thau2ap4lik8,siau1thau2ap4lek8,ㄒㄧㄠㄊㄠˋㄚㆴㄌㄧㆻ̇,siauthauaplik,siauthauaplek,ㄒㄧㄠㄊㄠㄚㆴㄌㄧㆻ,stal,stal,ㄒㄊㄚㄌ,True,False
siau-hông-tuī-uân,消防隊員,12,siau-hông-tūi-oân,siau1hong5tui7uan5,siau1hong5tui7oan5,ㄒㄧㄠㄏㆲˊㄉㄨㄧ˫ㄨㄢˊ,siauhongtuiuan,siauhongtuioan,ㄒㄧㄠㄏㆲㄉㄨㄧㄨㄢ,shtu,shto,ㄒㄏㄉㄨ,True,False
ik-tsing-îng-bōo,液晶螢幕,12,ek-cheng-êng-bō͘,ik4tsing1ing5boo7,ek4cheng1eng5boo7,ㄧㆻㄐㄧㄥㄧㄥˊㆠㆦ˫,iktsingingboo,ekchengengboo,ㄧㆻㄐㄧㄥㄧㄥㆠㆦ,itib,eceb,ㄧㄐㄧㆠ,True,False
ām-khang-puî-ku,涵空肥龜,12,ām-khang-pûi-ku,am7khang1pui5ku1,am7khang1pui5ku1,ㆰ˫ㄎㄤㄅㄨㄧˊㄍㄨ,amkhangpuiku,amkhangpuiku,ㆰㄎㄤㄅㄨㄧㄍㄨ,akpk,akpk,ㆰㄎㄅㄍ,True,False
liâng-tîng-á-kha,涼亭仔跤,12,liâng-têng-á-kha,liang5ting5a2kha1,liang5teng5a2kha1,ㄌㄧㄤˊㄉㄧㄥˊㄚˋㄎㄚ,liangtingakha,liangtengakha,ㄌㄧㄤㄉㄧㄥㄚㄎㄚ,ltak,ltak,ㄌㄉㄚㄎ,True,False
liông-tîng-á-kha,涼亭仔跤,12,liông-têng-á-kha,liong5ting5a2kha1,liong5teng5a2kha1,ㄌㄧㆲˊㄉㄧㄥˊㄚˋㄎㄚ,liongtingakha,liongtengakha,ㄌㄧㆲㄉㄧㄥㄚㄎㄚ,ltak,ltak,ㄌㄉㄚㄎ,True,False
lîng-tîng-á-kha,涼亭仔跤,12,lêng-têng-á-kha,ling5ting5a2kha1,leng5teng5a2kha1,ㄌㄧㄥˊㄉㄧㄥˊㄚˋㄎㄚ,lingtingakha,lengtengakha,ㄌㄧㄥㄉㄧㄥㄚㄎㄚ,ltak,ltak,ㄌㄉㄚㄎ,True,False
liâng-khiang-á-uē,涼腔仔話,12,liâng-khiang-á-ōe,liang5khiang1a2ue7,liang5khiang1a2oe7,ㄌㄧㄤˊㄎㄧㄤㄚˋㄨㆤ˫,liangkhiangaue,liangkhiangaoe,ㄌㄧㄤㄎㄧㄤㄚㄨㆤ,lkau,lkao,ㄌㄎㄚㄨ,True,False
