tl,hanzi
nn̂g,榔
iông,溶
iûnn,溶
iônn,溶
sat,煞
suah,煞
tong,當
tòng,當
tng,當
tǹg,當
tang,當
tàng,當
tsán,盞
tsuánn,盞
tīng,碇
tiānn,碇
lo̍k,碌
li̍k,碌
kián,筧
kíng,筧
sū,署
sī,署
sìng,聖
siànn,聖
ló,腦
lóo,腦
nóo,腦
náu,腦
io,腰
iau,腰
kiān,腱
kiàn,腱
kiok,腳
kioh,腳
tiông,腸
tshiâng,腸
tn̂g,腸
hok,腹
pak,腹
kiū,舅
kū,舅
kat,葛
kuah,葛
tóng,董
táng,董
hong,蜂
phang,蜂
khuí,詭
kuí,詭
sîng,誠
tsiânn,誠
tsi̍k,賊
tsha̍t,賊
tsa̍t,賊
tsik,跡
tsiah,跡
kàu,較
kà,較
pua̍t,鈸
pua̍h,鈸
khiâm,鉗
khînn,鉗
kik,隔
keh,隔
lîng,零
lân,零
ū,預
ī,預
tùn,頓
tǹg,頓
tuìnn,頓
páu,飽
pá,飽
tíng,鼎
tiánn,鼎
sú,鼠
sí,鼠
tshú,鼠
tshí,鼠
óo,嘔
ió,嘔
áu,嘔
tik,摘
tiah,摘
iông,榕
tshîng,榕
tsîng,榕
siông,榕
póng,榜
pńg,榜
thap,榻
thah,榻
tik,滴
tih,滴
gû,漁
gî,漁
hî,漁
hû,漁
phiàu,漂
phiau,漂
phiò,漂
lōo,漏
liō,漏
lāu,漏
iông,熔
iûnn,熔
iônn,熔
gi̍k,獄
ga̍k,獄
má,瑪
bé,瑪
kam,監
kàm,監
kann,監
suī,睡
tsuē,睡
tsē,睡
tia̍p,碟
ti̍h,碟
tuan,端
tuann,端
lio̍k,綠
li̍k,綠
mî,綿
biân,綿
hú,腐
hū,腐
ú,與
í,與
ū,與
ī,與
thiok,蓄
hak,蓄
sē,誓
sè,誓
tsuā,誓
khing,輕
khin,輕
suan,酸
sng,酸
suinn,酸
pok,駁
poh,駁
kà,價
kè,價
lē,厲
lī,厲
bi̍k,墨
ba̍k,墨
hûn,墳
phûn,墳
khuan,寬
khuann,寬
tû,廚
tôo,廚
tân,彈
tān,彈
tuânn,彈
tuānn,彈
iánn,影
íng,影
ting,徵
tsing,徵
tin,徵
liân,憐
lîn,憐
sat,撒
suah,撒
puat,撥
puah,撥
pō,暴
pōo,暴
po̍k,暴
liông,樑
liâng,樑
niû,樑
niôo,樑
tsiong,樟
tsiang,樟
tsiunn,樟
tsionn,樟
iōng,樣
iāng,樣
iūnn,樣
iōnn,樣
io,歐
oo,歐
au,歐
tsiong,漿
tsiang,漿
tsiunn,漿
tsionn,漿
phuat,潑
phuah,潑
phuan,潘
phuann,潘
sio̍k,熟
si̍k,熟
tshong,瘡
tshng,瘡
puân,盤
phuân,盤
puânn,盤
má,碼
bé,碼
suî,箠
tshuê,箠
tshê,箠
tsiàn,箭
tsìnn,箭
siong,箱
siang,箱
siunn,箱
sionn,箱
huān,範
pān,範
phian,篇
phinn,篇
hôo,糊
kôo,糊
tship,緝
soo,蔬
se,蔬
sue,蔬
hôo,蝴
ôo,蝴
tia̍p,蝶
ia̍h,蝶
suî,誰
tsuî,誰
tsìng,諍
tsènn,諍
tsìnn,諍
ta̍p,踏
ta̍h,踏
thik,踢
that,踢
lióng,輛
liōng,輛
liáng,輛
liāng,輛
tīng,鄭
tēnn,鄭
tīnn,鄭
hâi,鞋
ê,鞋
uê,鞋
an,鞍
uann,鞍
hâi,頦
huâi,頦
û,餘
î,餘
sú,駛
sái,駛
pik,壁
piah,壁
tân,壇
tuânn,壇
pîng,憑
pîn,憑
li̍k,曆
la̍h,曆
phok,樸
phoh,樸
tshiū,樹
sū,樹
sī,樹
kám,橄
kan,橄
kann,橄
kiâu,橋
kiô,橋
ki,機
kui,機
hîng,橫
huâinn,橫
huînn,橫
to̍k,濁
tso̍k,濁
ta̍k,濁
jiân,燃
liân,燃
giân,燃
hiânn,燃
iàn,燕
ìnn,燕
to̍k,獨
ta̍k,獨
tsuan,磚
tsng,磚
tsuinn,磚
tshong,艙
tshng,艙
tsiau,蕉
tsio,蕉
tōng,蕩
tn̄g,蕩
siau,蕭
sio,蕭
nāi,賴
lāi,賴
luā,賴
tsi̍p,輯
tship,輯
síng,醒
tshénn,醒
tshínn,醒
kong,鋼
kòng,鋼
kǹg,鋼
lio̍k,錄
li̍k,錄
lo̍k,錄
tīng,錠
tiānn,錠
tsiân,錢
tsînn,錢
sik,錫
siah,錫
tshok,錯
tshò,錯
tshòo,錯
thiô,頭
thôo,頭
thâu,頭
iunn,鴦
ionn,鴦
iong,鴦
iang,鴦
kui,龜
ku,龜
ap,壓
ah,壓
ing,嬰
enn,嬰
inn,嬰
líng,嶺
niá,嶺
tóng,懂
táng,懂
ing,應
ìng,應
ìn,應
tài,戴
tè,戴
tì,戴
tân,檀
tuânn,檀
tsiok,爵
tsik,爵
khuân,環
huân,環
tōng,盪
tn̄g,盪
tsiau,礁
ta,礁
hông,篷
phâng,篷
pông,篷
bia̍t,篾
bi̍h,篾
hùn,糞
pùn,糞
khong,糠
khng,糠
hông,縫
hōng,縫
pâng,縫
phāng,縫
siok,縮
sok,縮
tsik,績
tseh,績
è,翳
ì,翳
i̍k,翼
si̍t,翼
lông,膿
lâng,膿
po̍k,薄
po̍h,薄
tsû,薯
tsî,薯
lôo,螺
lê,螺
sik,蟋
sih,蟋
bóng,蟒
báng,蟒
sài,賽
sè,賽
iau,邀
io,邀
biâu,錨
bâ,錨
tsiong,鍾
tsing,鍾
hâ,霞
hê,霞
sian,鮮
sián,鮮
tshinn,鮮
kap,鴿
kah,鴿
tsông,叢
tsâng,叢
sím,嬸
tsím,嬸
lia̍p,獵
la̍h,獵
sik,穡
sit,穡
khiàu,竅
khiò,竅
tsê,臍
tsâi,臍
kiū,舊
kū,舊
tsik,藉
tsiah,藉
tsià,藉
lâm,藍
nâ,藍
hok,覆
phak,覆
hong,豐
