hanzi,tl,poj,frequency,is_variant,kautian,taigitv,itaigi,sitbut,taihoa,taijit,kungge,stti,khpoo
堆,to̤,to̤,0,False,False,False,False,False,False,False,False,False,False
堤,thê,thê,0,False,True,False,False,False,True,False,False,False,False
場,tiông,tiông,0,False,True,False,False,False,False,False,False,False,False
塊,tò̤,tò̤,0,False,False,False,False,False,False,False,False,False,False
塞,sài,sài,0,False,True,False,False,False,False,True,False,False,False
塡,thiân,thiân,0,False,False,False,False,False,False,False,False,False,False
填,thiân,thiân,0,False,True,False,False,False,False,False,False,False,False
塵,thûn,thûn,0,False,False,False,False,False,True,True,False,False,False
墟,hṳ,hṳ,0,False,False,False,False,False,False,False,False,False,False
墨,bi̍k,be̍k,0,False,True,False,False,False,False,True,False,False,False
墮,tuī,tūi,0,False,True,False,False,False,False,False,False,False,False
墻,tshiông,chhiông,0,False,True,False,False,False,False,False,False,False,False
墻,tshiûnn,chhiûⁿ,0,False,False,False,False,False,False,False,False,False,False
壁,phik,phek,0,False,False,False,False,False,False,False,False,False,False
壇,thân,thân,0,False,False,False,False,False,False,False,False,False,False
壊,huāi,hoāi,0,False,False,False,False,False,False,False,False,False,False
士,sù,sù,0,False,False,False,False,False,False,False,False,False,False
多,chō̤e,chō̤e,0,False,False,False,False,False,False,False,False,False,False
夭,iāu,iāu,0,False,False,False,False,False,False,False,False,False,False
头,thiô,thiô,0,False,False,False,False,False,False,False,False,False,False
夾,kiap,kiap,0,False,True,False,False,False,True,True,False,False,False
奈,nai,nai,0,False,False,False,False,False,False,False,False,False,False
奏,tsòo,chò͘,0,False,True,False,False,False,False,False,False,False,False
契,siat,siat,0,False,True,False,False,False,False,False,False,False,False
奥,ò,ò,0,False,True,False,False,False,False,False,False,False,False
女,nī,nī,0,False,False,False,False,False,False,False,False,False,False
奴,nôo,nô͘,0,False,False,False,False,False,False,False,False,False,False
奶,nái,nái,0,False,True,False,False,False,False,True,False,False,False
奶,né,né,0,False,False,False,False,False,False,True,False,False,False
好,hónn,hóⁿ,0,False,True,False,False,False,False,False,False,False,False
妊,jīm,jīm,0,False,True,False,False,False,False,False,False,False,False
