hanzi,tl,poj,frequency,is_variant,kautian,taigitv,itaigi,sitbut,taihoa,taijit,kungge,stti,khpoo
什,tsa̍p,cha̍p,378,False,False,False,False,False,False,False,False,False,False
省人,siánn-lâng,siáⁿ-lâng,375,False,False,False,False,False,False,False,False,False,False
恕,sì,sì,374,False,False,False,False,False,False,False,False,False,False
示,sì,sì,374,False,False,False,False,False,False,False,False,False,False
𫝑,sì,sì,374,False,False,False,False,False,False,False,False,False,False
閙,lāu,lāu,373,False,False,False,False,False,False,False,False,False,False
趂,thàn,thàn,372,False,False,False,False,False,False,False,False,False,False
听見,thiann-kìnn,thiaⁿ-kìⁿ,372,False,False,False,False,False,False,False,False,False,False
聼見,thiann-kìnn,thiaⁿ-kìⁿ,372,False,False,False,False,False,False,False,False,False,False
刴,tó,tó,353,False,False,False,False,False,False,False,False,False,False
叨,tó,tó,353,False,False,False,False,False,False,False,False,False,False
祷,tó,tó,353,False,False,False,False,False,False,False,False,False,False
刀,tó,tó,353,False,False,False,False,False,False,False,False,False,False
蚋,lia̍p,lia̍p,351,False,False,False,False,False,False,False,False,False,False
蠟,lia̍p,lia̍p,351,False,False,False,False,False,False,False,False,False,False
再,tsāi,chāi,350,False,False,False,False,False,False,False,False,False,False
夭是,iá-sī,iá-sī,350,False,False,False,False,False,False,False,False,False,False
野是,iá-sī,iá-sī,350,False,False,False,False,False,False,False,False,False,False
报,pò,pò,348,False,False,False,False,False,False,False,False,False,False
階,ke,ke,346,False,False,False,False,False,False,False,False,False,False
茄,ke,ke,346,False,False,False,False,False,False,False,False,False,False
嘉,ke,ke,346,False,False,False,False,False,False,False,False,False,False
佳,ke,ke,346,False,False,False,False,False,False,False,False,False,False
由元,iu-guân,iu-goân,341,False,False,False,False,False,False,False,False,False,False
由原,iu-guân,iu-goân,341,False,False,False,False,False,False,False,False,False,False
㭍,tshit,chhit,338,False,False,False,False,False,False,False,False,False,False
匝,khoo,kho͘,338,False,False,False,False,False,False,False,False,False,False
怜,liân,liân,338,False,False,False,False,False,False,False,False,False,False
摳,khoo,kho͘,338,False,False,False,False,False,False,False,False,False,False
联,liân,liân,338,False,False,False,False,False,False,False,False,False,False
𣅄,tshit,chhit,338,False,False,False,False,False,False,False,False,False,False
変,piàn,piàn,335,False,False,False,False,False,False,False,False,False,False
歳,huè,hòe,333,False,False,False,False,False,False,False,False,False,False
蓮,lian,lian,333,False,False,False,False,False,False,False,False,False,False
廃,huè,hòe,333,False,False,False,False,False,False,False,False,False,False
悔,huè,hòe,333,False,False,False,False,False,False,False,False,False,False
糓,kok,kok,326,False,False,False,False,False,False,False,False,False,False
囯,kok,kok,326,False,False,False,False,False,False,False,False,False,False
外,juā,jōa,312,False,False,False,False,False,False,False,False,False,False
應皆,ìng-kai,èng-kai,312,False,False,False,False,False,False,False,False,False,False
賴,juā,jōa,312,False,False,False,False,False,False,False,False,False,False
奬,tsióng,chióng,310,False,False,False,False,False,False,False,False,False,False
鮓,tsá,chá,303,False,False,False,False,False,False,False,False,False,False
据,kì,kì,297,False,False,False,False,False,False,False,False,False,False
边,pinn,piⁿ,297,False,False,False,False,False,False,False,False,False,False
句,kì,kì,297,False,False,False,False,False,False,False,False,False,False
䢍,pinn,piⁿ,297,False,False,False,False,False,False,False,False,False,False
不止,put-chí,put-chí,295,False,False,False,False,False,False,False,False,False,False
称,tshing,chheng,295,False,False,False,False,False,False,False,False,False,False
菁,tshing,chheng,295,False,False,False,False,False,False,False,False,False,False
叱,hiah,hiah,289,False,False,False,False,False,False,False,False,False,False
靴,hiah,hiah,289,False,False,False,False,False,False,False,False,False,False
加,kà,kà,282,False,False,False,False,False,False,False,False,False,False
敎,kà,kà,282,False,False,False,False,False,False,False,False,False,False
甲,kà,kà,282,False,False,False,False,False,False,False,False,False,False
至,kà,kà,282,False,False,False,False,False,False,False,False,False,False
能曉,ē-hiáu,ē-hiáu,281,False,False,False,False,False,False,False,False,False,False
竪,khiā,khiā,279,False,False,False,False,False,False,False,False,False,False
立,khiā,khiā,279,False,False,False,False,False,False,False,False,False,False
夭,iah,iah,277,False,False,False,False,False,False,False,False,False,False
野,iah,iah,277,False,False,False,False,False,False,False,False,False,False
也,iah,iah,277,False,False,False,False,False,False,False,False,False,False
亞,iah,iah,277,False,False,False,False,False,False,False,False,False,False
亜,iah,iah,277,False,False,False,False,False,False,False,False,False,False
日子,ji̍t-chí,ji̍t-chí,271,False,False,False,False,False,False,False,False,False,False
斂,liām,liām,270,False,False,False,False,False,False,False,False,False,False
変,pìnn,pìⁿ,267,False,False,False,False,False,False,False,False,False,False
阿巴,a-pa,a-pa,265,False,False,False,False,False,False,False,False,False,False
錘,sûi,sûi,257,False,False,False,False,False,False,False,False,False,False
隨,sûi,sûi,257,False,False,False,False,False,False,False,False,False,False
隋,sûi,sûi,257,False,False,False,False,False,False,False,False,False,False
誰,sûi,sûi,257,False,False,False,False,False,False,False,False,False,False
垂,sûi,sûi,257,False,False,False,False,False,False,False,False,False,False
返去,tńg-khì,tńg-khì,257,False,False,False,False,False,False,False,False,False,False
頭壳,thâu-khak,thâu-khak,256,False,False,False,False,False,False,False,False,False,False
亜未,á-bē,á-bē,255,False,False,False,False,False,False,False,False,False,False
亞未,á-bē,á-bē,255,False,False,False,False,False,False,False,False,False,False
夭未,á-bē,á-bē,255,False,False,False,False,False,False,False,False,False,False
侶,lī,lī,251,False,False,False,False,False,False,False,False,False,False
离,lī,lī,251,False,False,False,False,False,False,False,False,False,False
鑢,lī,lī,251,False,False,False,False,False,False,False,False,False,False
夭未,iáu-bē,iáu-bē,250,False,False,False,False,False,False,False,False,False,False
食,tshī,chhī,250,False,False,False,False,False,False,False,False,False,False
夭未,iá-bē,iá-bē,250,False,False,False,False,False,False,False,False,False,False
者个,tsia-ê,chia-ê,248,False,False,False,False,False,False,False,False,False,False
者兮,tsia-ê,chia-ê,248,False,False,False,False,False,False,False,False,False,False
隻个,tsia-ê,chia-ê,248,False,False,False,False,False,False,False,False,False,False
隻兮,tsia-ê,chia-ê,248,False,False,False,False,False,False,False,False,False,False
瞈望,ǹg-bāng,ǹg-bāng,247,False,False,False,False,False,False,False,False,False,False
勝,sìn,sìn,246,False,False,False,False,False,False,False,False,False,False
