tl,hanzi,frequency,poj
kīn-ji̍t,今日,25,kīn-ji̍t
im-àm,今暗,25,im-àm
sian-tâi,仙台,25,sian-tâi
sian-ku,仙居,25,sian-ku
kâng-sim,仝心,25,kâng-sim
kāng-the,仝梯,25,kāng-the
kâng-khuán,仝款,25,kâng-khoán
kâng-siann,仝聲,25,kâng-siaⁿ
ko-ló,仡佬,25,ko-ló
ko-nóo,仡佬,25,ko-nó͘
tāi-pè,代幣,25,tāi-pè
tāi-tsâi,代才,25,tāi-châi
tāi-kau,代溝,25,tāi-kau
līng-hô,令和,25,lēng-hô
í-sat,以撒,25,í-sat
tiōng-iû,仲由,25,tiōng-iû
hūn-pó,份保,25,hūn-pó
khì-ue̍h,企劃,25,khì-oe̍h
i-bī,伊未,25,i-bī
i-ê,伊的,25,i-ê
kī-lióng,伎倆,25,kī-lióng
hū-hi,伏羲,25,hū-hi
ho̍k-bīn,伏面,25,ho̍k-bīn
hiu-khan,休刊,25,hiu-khan
hiu-king,休耕,25,hiu-keng
pek-giû,伯牛,25,pek-giû
phuānn-lī,伴侶,25,phōaⁿ-lī
phuānn-lū,伴侶,25,phōaⁿ-lū
phuānn-kíng,伴景,25,phōaⁿ-kéng
phuānn-kiânn,伴行,25,phōaⁿ-kiâⁿ
tshun-kiu,伸勼,25,chhun-kiu
phenn-khin,伻輕,25,pheⁿ-khin
phinn-khin,伻輕,25,phiⁿ-khin
phenn-hîng,伻還,25,pheⁿ-hêng
phenn-phoo,伻鋪,25,pheⁿ-pho͘
tān-tān,但但,25,tān-tān
tān-tsāi,但在,25,tān-chāi
tī-tshù,佇厝,25,tī-chhù
tī-leh,佇咧,25,tī-leh
tī-hia,佇遐,25,tī-hia
tī-tsia,佇遮,25,tī-chia
kē-ap,低壓,25,kē-ap
kē-tiāu,低調,25,kē-tiāu
tsò-tun,佐敦,25,chò-tun
tsiàm-suànn,佔線,25,chiàm-sòaⁿ
toh-lo̍h,佗落,25,toh-lo̍h
tá-lo̍h,佗落,25,tá-lo̍h
tó-lo̍h,佗落,25,tó-lo̍h
û-thian,余天,25,û-thian
î-iâu,余姚,25,î-iâu
î-hâng,余杭,25,î-hâng
pu̍t-sim,佛心,25,pu̍t-sim
tsok-sit,作息,25,chok-sit
lí-hó,你好,25,lí-hó
láu-á,佬仔,25,láu-á
láu-ak,佬沃,25,láu-ak
