tl,hanzi,frequency,poj,tl_num,poj_num
kun-sū-tsu-liāu,軍事資料,12,kun-sū-chu-liāu,kun1su7tsu1liau7,kun1su7chu1liau7
nńg-thôo-tshim-ku̍t,軟塗深掘,12,nńg-thô͘-chhim-ku̍t,nng2thoo5tshim1kut8,nng2thoo5chhim1kut8
khah-bān--leh,較慢咧,12,khah-bān--leh,khah4ban7leh4,khah4ban7leh4
kah-piànn--leh,較拚咧,12,kah-piàⁿ--leh,kah4piann3leh4,kah4piann3leh4
khah-huâinn-tshuà-khan,較橫蔡牽,12,khah-hoâiⁿ-chhòa-khan,khah4huainn5tshua3khan1,khah4hoainn5chhoa3khan1
khah-tán--leh,較等咧,12,khah-tán--leh,khah4tan2leh4,khah4tan2leh4
khah-kín-tsi̍t-ē,較緊一下,12,khah-kín-chi̍t-ē,khah4kin2tsit8e7,khah4kin2chit8e7
khah-kín--leh,較緊咧,12,khah-kín--leh,khah4kin2leh4,khah4kin2leh4
khing-biâu-tān-siá,輕描淡寫,12,kheng-biâu-tān-siá,khing1biau5tan7sia2,kheng1biau5tan7sia2
khin-ku-bōng-tōng,輕舉妄動,12,khin-ku-bōng-tōng,khin1ku1bong7tong7,khin1ku1bong7tong7
lûn-pan-tshenn-jîn,輪班星人,12,lûn-pan-chheⁿ-jîn,lun5pan1tshenn1jin5,lun5pan1chhenn1jin5
lûn-pan-tshinn-jîn,輪班星人,12,lûn-pan-chhiⁿ-jîn,lun5pan1tshinn1jin5,lun5pan1chhinn1jin5
lián-kóo-tshia-á,輪鼓車仔,12,lián-kó͘-chhia-á,lian2koo2tshia1a2,lian2koo2chhia1a2
su-kah-tah-tah,輸甲貼貼,12,su-kah-tah-tah,su1kah4tah4tah4,su1kah4tah4tah4
tuínn--khì-ah,轉去矣,12,túiⁿ--khì-ah,tuinn2khi3ah4,tuinn2khi3ah4
tuínn-khí-tuínn-tó,轉去轉倒,12,túiⁿ-khí-túiⁿ-tó,tuinn2khi2tuinn2to2,tuinn2khi2tuinn2to2
tńg-hiān-kim-lu̍t,轉現金率,12,tńg-hiān-kim-lu̍t,tng2hian7kim1lut8,tng2hian7kim1lut8
tuínn-khí-tuínn-tó,轉起轉倒,12,túiⁿ-khí-túiⁿ-tó,tuinn2khi2tuinn2to2,tuinn2khi2tuinn2to2
tuínn-thâu-uat-kak,轉頭斡角,12,túiⁿ-thâu-oat-kak,tuinn2thau5uat4kak4,tuinn2thau5oat4kak4
sin-khóo-pēnn-thiànn,辛苦病疼,12,sin-khó͘-pēⁿ-thiàⁿ,sin1khoo2penn7thiann3,sin1khoo2penn7thiann3
ngiâ-sin-sàng-kū,迎新送舊,12,ngiâ-sin-sàng-kū,ngia5sin1sang3ku7,ngia5sin1sang3ku7
kīn-pîng--ê,近爿的,12,kīn-pêng--ê,kin7ping5e5,kin7peng5e5
kīn-tuan--ê,近端的,12,kīn-toan--ê,kin7tuan1e5,kin7toan1e5
hānn-kíng-tiān-siong,迒境電商,12,hāⁿ-kéng-tiān-siong,hann7king2tian7siong1,hann7keng2tian7siong1
hānn-kài-bāng-siong,迒界網商,12,hāⁿ-kài-bāng-siong,hann7kai3bang7siong1,hann7kai3bang7siong1
bê-hûn-tsuí-ke,迷魂水雞,12,bê-hûn-chúi-ke,be5hun5tsui2ke1,be5hun5chui2ke1
bê-hûn-tōo-kui,迷魂肚胿,12,bê-hûn-tō͘-kui,be5hun5too7kui1,be5hun5too7kui1
sàng-phe--ê,送批的,12,sàng-phe--ê,sang3phe1e5,sang3phe1e5
sàng-phue--ê,送批的,12,sàng-phoe--ê,sang3phue1e5,sang3phoe1e5
thàu-kng-ba̍k-kiànn,透光目鏡,12,thàu-kng-ba̍k-kiàⁿ,thau3kng1bak8kiann3,thau3kng1bak8kiann3
thàu-tsá-góo-lak,透早五六,12,thàu-chá-gó͘-lak,thau3tsa2goo2lak4,thau3cha2goo2lak4
thàu-tsá-thàu-iàu,透早透要,12,thàu-chá-thàu-iàu,thau3tsa2thau3iau3,thau3cha2thau3iau3
thàu-lām--ê,透濫的,12,thàu-lām--ê,thau3lam7e5,thau3lam7e5
thàu-sin-tuā-kuānn,透身大汗,12,thàu-sin-tōa-kōaⁿ,thau3sin1tua7kuann7,thau3sin1toa7koann7
ta̍k-hāng-ta̍k-khuán,逐項逐款,12,ta̍k-hāng-ta̍k-khoán,tak8hang7tak8khuan2,tak8hang7tak8khoan2
tsit-ê-mi̍h-kiānn,這个物件,12,chit-ê-mi̍h-kiāⁿ,tsit4e5mih8kiann7,chit4e5mih8kiann7
tsit-táu-pué-tio̍h,這斗掰著,12,chit-táu-póe-tio̍h,tsit4tau2pue2tioh8,chit4tau2poe2tioh8
tse-sī-siánn-mi̍h,這是啥物,12,che-sī-siáⁿ-mi̍h,tse1si7siann2mih8,che1si7siann2mih8
tse-sī-gún-tau,這是阮兜,12,che-sī-gún-tau,tse1si7gun2tau1,che1si7gun2tau1
tsit-tsióng-kha-siàu,這種跤數,12,chit-chióng-kha-siàu,tsit4tsiong2kha1siau3,chit4chiong2kha1siau3
tsit-má-kuí-tiám,這馬幾點,12,chit-má-kúi-tiám,tsit4ma2kui2tiam2,chit4ma2kui2tiam2
thang-khì-tah-pòo,通氣貼布,12,thang-khì-tah-pò͘,thang1khi3tah4poo3,thang1khi3tah4poo3
thong-huè-liōng-siōng,通貨冗剩,12,thong-hòe-liōng-siōng,thong1hue3liong7siong7,thong1hoe3liong7siong7
thong-huè-phîng-tiòng,通貨膨脹,12,thong-hòe-phêng-tiòng,thong1hue3phing5tiong3,thong1hoe3pheng5tiong3
thong-huè-phòng-tiòng,通貨膨脹,12,thong-hòe-phòng-tiòng,thong1hue3phong3tiong3,thong1hoe3phong3tiong3
thong-huè-phòng-tiùnn,通貨膨脹,12,thong-hòe-phòng-tiùⁿ,thong1hue3phong3tiunn3,thong1hoe3phong3tiunn3
thong-hònn-phòng-tiòng,通貨膨脹,12,thong-hòⁿ-phòng-tiòng,thong1honn3phong3tiong3,thong1honn3phong3tiong3
liân-suà-pí-kè,連紲比價,12,liân-sòa-pí-kè,lian5sua3pi2ke3,lian5soa3pi2ke3
liân-suànn-tiān-tōng,連線電動,12,liân-sòaⁿ-tiān-tōng,lian5suann3tian7tong7,lian5soann3tian7tong7
liâm-mi-tō-lâi,連鞭就來,12,liâm-mi-tō-lâi,liam5mi1to7lai5,liam5mi1to7lai5
iû-san-uán-suí,遊山玩水,12,iû-san-oán-súi,iu5san1uan2sui2,iu5san1oan2sui2
