hanzi,tl,frequency,poj,tl_num,poj_num,tl_notone,poj_notone
胎盤,thai-puânn,25,thai-pôaⁿ,thai1puann5,thai1poann5,thaipuann,thaipoann
胚珠,phue-tsu,25,phoe-chu,phue1tsu1,phoe1chu1,phuetsu,phoechu
胚盤,phue-puânn,25,phoe-pôaⁿ,phue1puann5,phoe1poann5,phuepuann,phoepoann
胚胎,phue-thai,25,phoe-thai,phue1thai1,phoe1thai1,phuethai,phoethai
胸腺,hing-suànn,25,heng-sòaⁿ,hing1suann3,heng1soann3,hingsuann,hengsoann
胸部,hing-pōo,25,heng-pō͘,hing1poo7,heng1poo7,hingpoo,hengpoo
能源,lîng-guân,25,lêng-goân,ling5guan5,leng5goan5,lingguan,lenggoan
能量,lîng-liōng,25,lêng-liōng,ling5liong7,leng5liong7,lingliong,lengliong
脂肪,tsi-hong,25,chi-hong,tsi1hong1,chi1hong1,tsihong,chihong
脫輪,thu̍t-lûn,25,thu̍t-lûn,thut8lun5,thut8lun5,thutlun,thutlun
腳數,kioh-siàu,25,kioh-siàu,kioh4siau3,kioh4siau3,kiohsiau,kiohsiau
腹足,hok-tsiok,25,hok-chiok,hok4tsiok4,hok4chiok4,hoktsiok,hokchiok
腹面,pak-bīn,25,pak-bīn,pak4bin7,pak4bin7,pakbin,pakbin
膀胱,phông-kong,25,phông-kong,phong5kong1,phong5kong1,phongkong,phongkong
膜空,mo̍oh-khang,25,mo̍͘h-khang,mooh8khang1,mooh8khang1,moohkhang,moohkhang
膨椅,phòng-í,25,phòng-í,phong3i2,phong3i2,phongi,phongi
膨疱,phòng-phā,25,phòng-phā,phong3pha7,phong3pha7,phongpha,phongpha
膨鼠,phòng-tshí,25,phòng-chhí,phong3tshi2,phong3chhi2,phongtshi,phongchhi
膩瓤,jī-nn̂g,25,jī-nn̂g,ji7nng5,ji7nng5,jinng,jinng
臀鰭,tûn-kî,25,tûn-kî,tun5ki5,tun5ki5,tunki,tunki
臍帶,tsâi-tuà,25,châi-tòa,tsai5tua3,chai5toa3,tsaitua,chaitoa
自序,tsū-sī,25,chū-sī,tsu7si7,chu7si7,tsusi,chusi
自序,tsū-sū,25,chū-sū,tsu7su7,chu7su7,tsusu,chusu
自轉,tsū-tsuán,25,chū-choán,tsu7tsuan2,chu7choan2,tsutsuan,chuchoan
臭殕,tshàu-phú,25,chhàu-phú,tshau3phu2,chhau3phu2,tshauphu,chhauphu
臭氧,tshàu-ióng,25,chhàu-ióng,tshau3iong2,chhau3iong2,tshauiong,chhauiong
臺員,tâi-uân,25,tâi-oân,tai5uan5,tai5oan5,taiuan,taioan
臺地,tâi-tē,25,tâi-tē,tai5te7,tai5te7,taite,taite
臺斤,tâi-kin,25,tâi-kin,tai5kin1,tai5kin1,taikin,taikin
臺灣,tâi-uân,25,tâi-oân,tai5uan5,tai5oan5,taiuan,taioan
舊街,kū-ke,25,kū-ke,ku7ke1,ku7ke1,kuke,kuke
舞蹈,bú-tō,25,bú-tō,bu2to7,bu2to7,buto,buto
航運,hâng-ūn,25,hâng-ūn,hang5un7,hang5un7,hangun,hangun
色光,sik-kng,25,sek-kng,sik4kng1,sek4kng1,sikkng,sekkng
色料,sik-liāu,25,sek-liāu,sik4liau7,sek4liau7,sikliau,sekliau
色環,sik-khuân,25,sek-khoân,sik4khuan5,sek4khoan5,sikkhuan,sekkhoan
色紙,sik-tsuá,25,sek-chóa,sik4tsua2,sek4choa2,siktsua,sekchoa
色調,sik-tiāu,25,sek-tiāu,sik4tiau7,sek4tiau7,siktiau,sektiau
色階,sik-kai,25,sek-kai,sik4kai1,sek4kai1,sikkai,sekkai
色點,sik-tiám,25,sek-tiám,sik4tiam2,sek4tiam2,siktiam,sektiam
花心,hue-sim,25,hoe-sim,hue1sim1,hoe1sim1,huesim,hoesim
花指,hue-tsáinn,25,hoe-cháiⁿ,hue1tsainn2,hoe1chainn2,huetsainn,hoechainn
花柱,hue-tsū,25,hoe-chū,hue1tsu7,hoe1chu7,huetsu,hoechu
花瓶,hue-pân,25,hoe-pân,hue1pan5,hoe1pan5,huepan,hoepan
花磚,hue-tsng,25,hoe-chng,hue1tsng1,hoe1chng1,huetsng,hoechng
花粉,hue-hún,25,hoe-hún,hue1hun2,hoe1hun2,huehun,hoehun
花絲,hue-si,25,hoe-si,hue1si1,hoe1si1,huesi,hoesi
花萼,hue-go̍k,25,hoe-go̍k,hue1gok8,hoe1gok8,huegok,hoegok
花藥,hue-io̍h,25,hoe-io̍h,hue1ioh8,hoe1ioh8,hueioh,hoeioh
