hanzi,tl,frequency,poj,tl_num,poj_num
羊皮,iûnn-phuê,25,iûⁿ-phôe,iunn5phue5,iunn5phoe5
翡翠,huí-tshuì,25,húi-chhùi,hui2tshui3,hui2chhui3
老生,lāu-sing,25,lāu-seng,lau7sing1,lau7seng1
耳鉤,hīnn-kau,25,hīⁿ-kau,hinn7kau1,hinn7kau1
肖楠,siau-lâm,25,siau-lâm,siau1lam5,siau1lam5
股線,kóo-suànn,25,kó͘-sòaⁿ,koo2suann3,koo2soann3
脫模,thuat-bôo,25,thoat-bô͘,thuat4boo5,thoat4boo5
腰帶,io-tuà,25,io-tòa,io1tua3,io1toa3
腰裒,io-pôo,25,io-pô͘,io1poo5,io1poo5
膨剾,phòng-khau,25,phòng-khau,phong3khau1,phong3khau1
色漆,sik-tshat,25,sek-chhat,sik4tshat4,sek4chhat4
色粉,sik-hún,25,sek-hún,sik4hun2,sek4hun2
花心,hue-sim,25,hoe-sim,hue1sim1,hoe1sim1
花板,hue-pán,25,hoe-pán,hue1pan2,hoe1pan2
花鳥,hue-tsiáu,25,hoe-chiáu,hue1tsiau2,hoe1chiau2
荖安,láu-an,25,láu-an,lau2an1,lau2an1
菘藍,siông-nâ,25,siông-nâ,siong5na5,siong5na5
菜砧,tshài-tiam,25,chhài-tiam,tshai3tiam1,chhai3tiam1
蒼布,tshong-pòo,25,chhong-pò͘,tshong1poo3,chhong1poo3
蓮葉,liân-hio̍h,25,liân-hio̍h,lian5hioh8,lian5hioh8
蓮蓬,liân-phōng,25,liân-phōng,lian5phong7,lian5phong7
蓼藍,liau-nâ,25,liau-nâ,liau1na5,liau1na5
蔥線,tshong-suànn,25,chhong-sòaⁿ,tshong1suann3,chhong1soann3
藥鉸,io̍h-ka,25,io̍h-ka,ioh8ka1,ioh8ka1
藩尺,huan-tshioh,25,hoan-chhioh,huan1tshioh4,hoan1chhioh4
蘇式,soo-sik,25,so͘-sek,soo1sik4,soo1sek4
蘇木,soo-bo̍k,25,so͘-bo̍k,soo1bok8,soo1bok8
虎杖,hóo-tiōng,25,hó͘-tiōng,hoo2tiong7,hoo2tiong7
虹仔,khîng-á,25,khêng-á,khing5a2,kheng5a2
衣脊,i-tsit,25,i-chit,i1tsit4,i1chit4
裁紙,tshâi-tsuá,25,chhâi-chóa,tshai5tsua2,chhai5choa2
補刀,póo-to,25,pó͘-to,poo2to1,poo2to1
補塗,póo-thôo,25,pó͘-thô͘,poo2thoo5,poo2thoo5
裝飾,tsong-sik,25,chong-sek,tsong1sik4,chong1sek4
角坩,kak-khann,25,kak-khaⁿ,kak4khann1,kak4khann1
角尺,kak-tshioh,25,kak-chhioh,kak4tshioh4,kak4chhioh4
角環,kak-khuân,25,kak-khoân,kak4khuan5,kak4khoan5
角甪,kah-lut,25,kah-lut,kah4lut4,kah4lut4
調脊,tiâu-tsit,25,tiâu-chit,tiau5tsit4,tiau5chit4
豆器,tāu-khì,25,tāu-khì,tau7khi3,tau7khi3
豬槽,ti-tsô,25,ti-chô,ti1tso5,ti1cho5
豬皮,ti-phuê,25,ti-phôe,ti1phue5,ti1phoe5
走獸,tsáu-siù,25,cháu-siù,tsau2siu3,chau2siu3
起針,khí-tsiam,25,khí-chiam,khi2tsiam1,khi2chiam1
跋桮,pua̍h-pue,25,poa̍h-poe,puah8pue1,poah8poe1
跤徛,kha-khiā,25,kha-khiā,kha1khia7,kha1khia7
跤裒,kha-pôo,25,kha-pô͘,kha1poo5,kha1poo5
跨台,khuà-tâi,25,khòa-tâi,khua3tai5,khoa3tai5
跳刀,thiàu-to,25,thiàu-to,thiau3to1,thiau3to1
跳空,thiàu-khang,25,thiàu-khang,thiau3khang1,thiau3khang1
跳紗,thiàu-se,25,thiàu-se,thiau3se1,thiau3se1
踅檯,se̍h-tâi,25,se̍h-tâi,seh8tai5,seh8tai5
車台,tshia-tâi,25,chhia-tâi,tshia1tai5,chhia1tai5
軟斜,nńg-tshiâ,25,nńg-chhiâ,nng2tshia5,nng2chhia5
軟身,nńg-sin,25,nńg-sin,nng2sin1,nng2sin1
軟鉛,nńg-iân,25,nńg-iân,nng2ian5,nng2ian5
轆斗,lo̍k-táu,25,lo̍k-táu,lok8tau2,lok8tau2
轆空,lak-khang,25,lak-khang,lak4khang1,lak4khang1
轆管,lak-kóng,25,lak-kóng,lak4kong2,lak4kong2
轎堵,kiō-tóo,25,kiō-tó͘,kio7too2,kio7too2
轎底,kiō-té,25,kiō-té,kio7te2,kio7te2
透弄,thàu-lāng,25,thàu-lāng,thau3lang7,thau3lang7
逝板,tsuā-pán,25,chōa-pán,tsua7pan2,choa7pan2
過轎,kuè-kiō,25,kòe-kiō,kue3kio7,koe3kio7
醃缸,am-kng,25,am-kng,am1kng1,am1kng1
