tl,hanzi,frequency,poj,tl_num,poj_num,tl_notone,poj_notone
gio̍k-lân,玉蘭,25,gio̍k-lân,giok8lan5,giok8lan5,gioklan,gioklan
kam-tsià,甘蔗,25,kam-chià,kamtsia3,kamchia3,kamtsia,kamchia
tinn-kiat,甜橘,25,tiⁿ-kiat,tinnkiat,tinnkiat,tinnkiat,tinnkiat
tinn-tshài,甜菜,25,tiⁿ-chhài,tinntshai3,tinnchhai3,tinntshai,tinnchhai
tinn-be̍h,甜麥,25,tiⁿ-be̍h,tinnbeh8,tinnbeh8,tinnbeh,tinnbeh
tshinn-kiunn,生姜,25,chhiⁿ-kiuⁿ,tshinnkiunn,chhinnkiunn,tshinnkiunn,chhinnkiunn
tshân-tshinn,田菁,25,chhân-chhiⁿ,tshan5tshinn,chhan5chhinn,tshantshinn,chhanchhinn
tshân-tsû,田薯,25,chhân-chû,tshan5tsu5,chhan5chu5,tshantsu,chhanchu
pe̍h-jîn,白仁,25,pe̍h-jîn,peh8jin5,peh8jin5,pehjin,pehjin
pe̍h-á,白仔,25,pe̍h-á,peh8a2,peh8a2,peha,peha
pe̍h-mn̂g,白們,25,pe̍h-mn̂g,peh8mng5,peh8mng5,pehmng,pehmng
pe̍h-pû,白匏,25,pe̍h-pû,peh8pu5,peh8pu5,pehpu,pehpu
pe̍h-khing,白柏,25,pe̍h-kheng,peh8khing,peh8kheng,pehkhing,pehkheng
pe̍h-tông,白桐,25,pe̍h-tông,peh8tong5,peh8tong5,pehtong,pehtong
pe̍h-muî,白梅,25,pe̍h-mûi,peh8mui5,peh8mui5,pehmui,pehmui
pe̍h-tshîng,白榕,25,pe̍h-chhêng,peh8tshing5,peh8chheng5,pehtshing,pehchheng
pe̍h-tshiū,白樹,25,pe̍h-chhiū,peh8tshiu7,peh8chhiu7,pehtshiu,pehchhiu
pe̍h-sua,白沙,25,pe̍h-soa,peh8sua,peh8soa,pehsua,pehsoa
pe̍h-tshài,白菜,25,pe̍h-chhài,peh8tshai3,peh8chhai3,pehtshai,pehchhai
pe̍h-tāu,白豆,25,pe̍h-tāu,peh8tau7,peh8tau7,pehtau,pehtau
pe̍h-gûn,白銀,25,pe̍h-gûn,peh8gun5,peh8gun5,pehgun,pehgun
pe̍h-lîn,白隣,25,pe̍h-lîn,peh8lin5,peh8lin5,pehlin,pehlin
pe̍h-muâ,白麻,25,pe̍h-môa,peh8mua5,peh8moa5,pehmua,pehmoa
tsinn-tik,矢竹,25,chiⁿ-tek,tsinntik,chinntek,tsinntik,chinntek
tsio̍h-kiàm,石劍,25,chio̍h-kiàm,tsioh8kiam3,chioh8kiam3,tsiohkiam,chiohkiam
tsio̍h-phok,石博,25,chio̍h-phok,tsioh8phok,chioh8phok,tsiohphok,chiohphok
tsio̍h-ge̍h,石月,25,chio̍h-ge̍h,tsioh8geh8,chioh8geh8,tsiohgeh,chiohgeh
tsio̍h-tshîng,石松,25,chio̍h-chhêng,tsioh8tshing5,chioh8chheng5,tsiohtshing,chiohchheng
tsio̍h-lîng,石柃,25,chio̍h-lêng,tsioh8ling5,chioh8leng5,tsiohling,chiohleng
tsio̍h-liú,石柳,25,chio̍h-liú,tsioh8liu2,chioh8liu2,tsiohliu,chiohliu
sia̍h-liû,石榴,25,sia̍h-liû,siah8liu5,siah8liu5,siahliu,siahliu
tsio̍h-tsu,石櫧,25,chio̍h-chu,tsioh8tsu,chioh8chu,tsiohtsu,chiohchu
tsio̍h-siap,石澁,25,chio̍h-siap,tsioh8siap,chioh8siap,tsiohsiap,chiohsiap
tsio̍h-tik,石竹,25,chio̍h-tek,tsioh8tik,chioh8tek,tsiohtik,chiohtek
tsio̍h-tsû,石薯,25,chio̍h-chû,tsioh8tsu5,chioh8chu5,tsiohtsu,chiohchu
bé-tsî,碼薯,25,bé-chî,be2tsi5,be2chi5,betsi,bechi
bō-tsháu,磨草,25,bō-chháu,bo7tshau2,bo7chhau2,botshau,bochhau
kî-gāi,祈艾,25,kî-gāi,ki5gai7,ki5gai7,kigai,kigai
siù-ing,秀英,25,siù-eng,siu3ing,siu3eng,siuing,siueng
tshiu-lân,秋蘭,25,chhiu-lân,tshiulan5,chhiulan5,tshiulan,chhiulan
tiû-á,稠仔,25,tiû-á,tiu5a2,tiu5a2,tiua,tiua
tsang-bo̍k,稯木,25,chang-bo̍k,tsangbok8,changbok8,tsangbok,changbok
tiū-á,稻仔,25,tiū-á,tiu7a2,tiu7a2,tiua,tiua
tik-peh,竹柏,25,tek-peh,tikpeh,tekpeh,tikpeh,tekpeh
tsìnn-tik,箭竹,25,chìⁿ-tek,tsinn3tik,chinn3tek,tsinntik,chinntek
bí-tāu,米豆,25,bí-tāu,bi2tau7,bi2tau7,bitau,bitau
hun-tsio,粉蕉,25,hun-chio,huntsio,hunchio,huntsio,hunchio
phoh-á,粕仔,25,phoh-á,phoha2,phoha2,phoha,phoha
