hanzi,tl,frequency,poj,tl_num,poj_num,tl_notone,poj_notone
莩,piǎn,50,piǎn,pian6,pian6,pian,pian
菃,kîr,50,kîr,kir5,kir5,kir,kir
菃,kû,50,kû,ku5,ku5,ku,ku
菑,tsir,50,chir,tsir1,chir1,tsir,chir
菓,kér,50,kér,ker2,ker2,ker,ker
菡,hām,50,hām,ham7,ham7,ham,ham
菡,hǎm,50,hǎm,ham6,ham6,ham,ham
菸,ian,50,ian,ian1,ian1,ian,ian
菹,tsir,50,chir,tsir1,chir1,tsir,chir
萏,tām,50,tām,tam7,tam7,tam,tam
萏,tǎm,50,tǎm,tam6,tam6,tam,tam
萯,hū,50,hū,hu7,hu7,hu,hu
萯,hǔ,50,hǔ,hu6,hu6,hu,hu
萵,er,50,er,er1,er1,er,er
葉,siap,50,siap,siap4,siap4,siap,siap
葉,sia̍p,50,sia̍p,siap8,siap8,siap,siap
著,tìr,50,tìr,tir3,tir3,tir,tir
葘,tsir,50,chir,tsir1,chir1,tsir,chir
葘,tsu,50,chu,tsu1,chu1,tsu,chu
葚,sǐm,50,sǐm,sim6,sim6,sim,sim
葤,tiū,50,tiū,tiu7,tiu7,tiu,tiu
葤,tiǔ,50,tiǔ,tiu6,tiu6,tiu,tiu
葴,tserm,50,cherm,tserm1,cherm1,tserm,cherm
葴,tsim,50,chim,tsim1,chim1,tsim,chim
葵,kher,50,kher,kher1,kher1,kher,kher
葵,khê,50,khê,khe5,khe5,khe,khe
葵,khêr,50,khêr,kher5,kher5,kher,kher
蒑,irn,50,irn,irn1,irn1,irn,irn
蒑,un,50,un,un1,un1,un,un
蒒,sir,50,sir,sir1,sir1,sir,sir
蒒,su,50,su,su1,su1,su,su
蒘,lîr,50,lîr,lir5,lir5,lir,lir
蒘,lû,50,lû,lu5,lu5,lu,lu
蒢,tîr,50,tîr,tir5,tir5,tir,tir
蒣,sîr,50,sîr,sir5,sir5,sir,sir
蒣,sû,50,sû,su5,su5,su,su
蒽,irn,50,irn,irn1,irn1,irn,irn
蒽,un,50,un,un1,un1,un,un
蓓,puě,50,pǒe,pue6,poe6,pue,poe
蓮,nirî,50,nîri,niri5,niri5,niri,niri
蓮,nuî,50,nûi,nui5,nui5,nui,nui
蔀,piō,50,piō,pio7,pio7,pio,pio
蔀,piǒ,50,piǒ,pio6,pio6,pio,pio
蔃,kiōng,50,kiōng,kiong7,kiong7,kiong,kiong
蔃,kiǒng,50,kiǒng,kiong6,kiong6,kiong,kiong
蔘,serm,50,serm,serm1,serm1,serm,serm
蔪,tsiām,50,chiām,tsiam7,chiam7,tsiam,chiam
蔪,tsiǎm,50,chiǎm,tsiam6,chiam6,tsiam,chiam
蔬,sere,50,sere,sere1,sere1,sere,sere
蔰,hōo,50,hō͘,hoo7,hoo7,hoo,hoo
蔰,hǒo,50,hǒ͘,hoo6,hoo6,hoo,hoo
蕈,sīm,50,sīm,sim7,sim7,sim,sim
蕈,sǐm,50,sǐm,sim6,sim6,sim,sim
蕖,kîr,50,kîr,kir5,kir5,kir,kir
蕠,jîr,50,jîr,jir5,jir5,jir,jir
蕠,jû,50,jû,ju5,ju5,ju,ju
蕠,lîr,50,lîr,lir5,lir5,lir,lir
