tl,hanzi,frequency,poj,tl_num,poj_num,tl_notone,poj_notone,tl_abbrev,poj_abbrev,taihoa
tan-tiâu,單條,25,tan-tiâu,tan1tiau5,tan1tiau5,tantiau,tantiau,tt,tt,True
tan-kǹg,單槓,25,tan-kǹg,tan1kng3,tan1kng3,tankng,tankng,tk,tk,True
tan-to̍k,單獨,25,tan-to̍k,tan1tok8,tan1tok8,tantok,tantok,tt,tt,True
tan-sûn,單純,25,tan-sûn,tan1sun5,tan1sun5,tansun,tansun,ts,ts,True
tan-suànn,單線,25,tan-sòaⁿ,tan1suann3,tan1soann3,tansuann,tansoann,ts,ts,True
tan-sik,單色,25,tan-sek,tan1sik1,tan1sek1,tansik,tansek,ts,ts,True
tuann-hō,單號,25,toaⁿ-hō,tuann1ho7,toann1ho7,tuannho,toannho,th,th,True
tan-hîng,單行,25,tan-hêng,tan1hing5,tan1heng5,tanhing,tanheng,th,th,True
tan-tiāu,單調,25,tan-tiāu,tan1tiau7,tan1tiau7,tantiau,tantiau,tt,tt,True
tan-sin,單身,25,tan-sin,tan1sin1,tan1sin1,tansin,tansin,ts,ts,True
tuann-sin,單身,25,toaⁿ-sin,tuann1sin1,toann1sin1,tuannsin,toannsin,ts,ts,True
tan-tshia,單車,25,tan-chhia,tan1tshia1,tan1chhia1,tantshia,tanchhia,tt,tc,True
tuann-tsuā,單逝,25,toaⁿ-chōa,tuann1tsua7,toann1choa7,tuanntsua,toannchoa,tt,tc,True
tuann-bīn,單面,25,toaⁿ-bīn,tuann1bin7,toann1bin7,tuannbin,toannbin,tb,tb,True
tan-im,單音,25,tan-im,tan1im1,tan1im1,tanim,tanim,ti,ti,True
tan-hāng,單項,25,tan-hāng,tan1hang7,tan1hang7,tanhang,tanhang,th,th,True
jū-uî,喻為,25,jū-ûi,ju7ui5,ju7ui5,juui,juui,ju,ju,True
sngh-phīnn,嗅鼻,25,sngh-phīⁿ,sngh1phinn7,sngh1phinn7,snghphinn,snghphinn,sp,sp,True
