hanzi,tl,frequency,poj,tl_num,poj_num,tps_num,tps_num_var,tl_notone,poj_notone,tps_notone,tps_notone_var,tl_abbrev,poj_abbrev,tps_abbrev,tps_abbrev_var,khpoo,is_variant
淡,tǎm,50,tǎm,tam6,tam6,ㄉㆰˇ,,tam,tam,ㄉㆰ,,,,,,True,False
淡,tǎnn,50,tǎⁿ,tann6,tann6,ㄉㆩˇ,,tann,tann,ㄉㆩ,,,,,,True,False
淤,ir,50,ir,ir1,ir1,ㆨ,,ir,ir,ㆨ,,,,,,True,False
淭,kîr,50,kîr,kir5,kir5,ㄍㆨˊ,,kir,kir,ㄍㆨ,,,,,,True,False
淭,kû,50,kû,ku5,ku5,ㄍㄨˊ,,ku,ku,ㄍㄨ,,,,,,True,False
混,hǔn,50,hǔn,hun6,hun6,ㄏㄨㄣˇ,,hun,hun,ㄏㄨㄣ,,,,,,True,False
清,tshirinn,50,chhiriⁿ,tshirinn1,chhirinn1,ㄘㆨㆪ,,tshirinn,chhirinn,ㄘㆨㆪ,,,,,,True,False
渚,tsír,50,chír,tsir2,chir2,ㄗㆨˋ,,tsir,chir,ㄗㆨ,,,,,,True,False
渠,kîr,50,kîr,kir5,kir5,ㄍㆨˊ,,kir,kir,ㄍㆨ,,,,,,True,False
渦,e,50,e,e1,e1,ㆤ,,e,e,ㆤ,,,,,,True,False
渦,er,50,er,er1,er1,ㄜ,ㄛ,er,er,ㄜ,ㄛ,,,,,True,False
渾,hǔn,50,hǔn,hun6,hun6,ㄏㄨㄣˇ,,hun,hun,ㄏㄨㄣ,,,,,,True,False
湀,kuí,50,kúi,kui2,kui2,ㄍㄨㄧˋ,,kui,kui,ㄍㄨㄧ,,,,,,True,False
湀,kuī,50,kūi,kui7,kui7,ㄍㄨㄧ˫,,kui,kui,ㄍㄨㄧ,,,,,,True,False
湀,kuǐ,50,kǔi,kui6,kui6,ㄍㄨㄧˇ,,kui,kui,ㄍㄨㄧ,,,,,,True,False
湑,sir,50,sir,sir1,sir1,ㄙㆨ,,sir,sir,ㄙㆨ,,,,,,True,False
湑,sír,50,sír,sir2,sir2,ㄙㆨˋ,,sir,sir,ㄙㆨ,,,,,,True,False
湛,tǎm,50,tǎm,tam6,tam6,ㄉㆰˇ,,tam,tam,ㄉㆰ,,,,,,True,False
溆,sīr,50,sīr,sir7,sir7,ㄙㆨ˫,,sir,sir,ㄙㆨ,,,,,,True,False
溆,sū,50,sū,su7,su7,ㄙㄨ˫,,su,su,ㄙㄨ,,,,,,True,False
溆,sǐr,50,sǐr,sir6,sir6,ㄙㆨˇ,,sir,sir,ㄙㆨ,,,,,,True,False
溮,sir,50,sir,sir1,sir1,ㄙㆨ,,sir,sir,ㄙㆨ,,,,,,True,False
溵,irn,50,irn,irn1,irn1,ㆨㄣ,,irn,irn,ㆨㄣ,,,,,,True,False
溵,un,50,un,un1,un1,ㄨㄣ,,un,un,ㄨㄣ,,,,,,True,False
溾,huē,50,hōe,hue7,hoe7,ㄏㄨㆤ˫,,hue,hoe,ㄏㄨㆤ,,,,,,True,False
溾,huě,50,hǒe,hue6,hoe6,ㄏㄨㆤˇ,,hue,hoe,ㄏㄨㆤ,,,,,,True,False
滁,tîr,50,tîr,tir5,tir5,ㄉㆨˊ,,tir,tir,ㄉㆨ,,,,,,True,False
滈,hǒ,50,hǒ,ho6,ho6,ㄏㄛˇ,,ho,ho,ㄏㄛ,,,,,,True,False
滉,hōng,50,hōng,hong7,hong7,ㄏㆲ˫,,hong,hong,ㄏㆲ,,,,,,True,False
滉,hǒng,50,hǒng,hong6,hong6,ㄏㆲˇ,,hong,hong,ㄏㆲ,,,,,,True,False
滋,tsir,50,chir,tsir1,chir1,ㄗㆨ,,tsir,chir,ㄗㆨ,,,,,,True,False
滍,tī,50,tī,ti7,ti7,ㄉㄧ˫,,ti,ti,ㄉㄧ,,,,,,True,False
滍,tǐ,50,tǐ,ti6,ti6,ㄉㄧˇ,,ti,ti,ㄉㄧ,,,,,,True,False
滓,tsír,50,chír,tsir2,chir2,ㄗㆨˋ,,tsir,chir,ㄗㆨ,,,,,,True,False
滬,hiō,50,hiō,hio7,hio7,ㄏㄧㄛ˫,,hio,hio,ㄏㄧㄛ,,,,,,True,False
滬,hǒo,50,hǒ͘,hoo6,hoo6,ㄏㆦˇ,,hoo,hoo,ㄏㆦ,,,,,,True,False
滰,kiōng,50,kiōng,kiong7,kiong7,ㄍㄧㆲ˫,,kiong,kiong,ㄍㄧㆲ,,,,,,True,False
滰,kiǒng,50,kiǒng,kiong6,kiong6,ㄍㄧㆲˇ,,kiong,kiong,ㄍㄧㆲ,,,,,,True,False
