tl,hanzi,frequency,poj,tl_num,poj_num,tl_notone,poj_notone,tl_abbrev,poj_abbrev
tinn-kiat,甜橘,25,tiⁿ-kiat,tinnkiat,tinnkiat,tinnkiat,tinnkiat,tk,tk
tinn-tshài,甜菜,25,tiⁿ-chhài,tinntshai3,tinnchhai3,tinntshai,tinnchhai,tt,tc
tinn-be̍h,甜麥,25,tiⁿ-be̍h,tinnbeh8,tinnbeh8,tinnbeh,tinnbeh,tb,tb
tshinn-kiunn,生姜,25,chhiⁿ-kiuⁿ,tshinnkiunn,chhinnkiunn,tshinnkiunn,chhinnkiunn,tk,ck
tshân-tshinn,田菁,25,chhân-chhiⁿ,tshan5tshinn,chhan5chhinn,tshantshinn,chhanchhinn,tt,cc
tshân-tsû,田薯,25,chhân-chû,tshan5tsu5,chhan5chu5,tshantsu,chhanchu,tt,cc
pe̍h-jîn,白仁,25,pe̍h-jîn,peh8jin5,peh8jin5,pehjin,pehjin,pj,pj
pe̍h-á,白仔,25,pe̍h-á,peh8a2,peh8a2,peha,peha,pa,pa
pe̍h-mn̂g,白們,25,pe̍h-mn̂g,peh8mng5,peh8mng5,pehmng,pehmng,pm,pm
pe̍h-pû,白匏,25,pe̍h-pû,peh8pu5,peh8pu5,pehpu,pehpu,pp,pp
pe̍h-khing,白柏,25,pe̍h-kheng,peh8khing,peh8kheng,pehkhing,pehkheng,pk,pk
pe̍h-tông,白桐,25,pe̍h-tông,peh8tong5,peh8tong5,pehtong,pehtong,pt,pt
pe̍h-muî,白梅,25,pe̍h-mûi,peh8mui5,peh8mui5,pehmui,pehmui,pm,pm
pe̍h-tshîng,白榕,25,pe̍h-chhêng,peh8tshing5,peh8chheng5,pehtshing,pehchheng,pt,pc
pe̍h-tshiū,白樹,25,pe̍h-chhiū,peh8tshiu7,peh8chhiu7,pehtshiu,pehchhiu,pt,pc
pe̍h-sua,白沙,25,pe̍h-soa,peh8sua,peh8soa,pehsua,pehsoa,ps,ps
pe̍h-tshài,白菜,25,pe̍h-chhài,peh8tshai3,peh8chhai3,pehtshai,pehchhai,pt,pc
pe̍h-tāu,白豆,25,pe̍h-tāu,peh8tau7,peh8tau7,pehtau,pehtau,pt,pt
pe̍h-gûn,白銀,25,pe̍h-gûn,peh8gun5,peh8gun5,pehgun,pehgun,pg,pg
pe̍h-lîn,白隣,25,pe̍h-lîn,peh8lin5,peh8lin5,pehlin,pehlin,pl,pl
pe̍h-muâ,白麻,25,pe̍h-môa,peh8mua5,peh8moa5,pehmua,pehmoa,pm,pm
tsinn-tik,矢竹,25,chiⁿ-tek,tsinntik,chinntek,tsinntik,chinntek,tt,ct
tsio̍h-kiàm,石劍,25,chio̍h-kiàm,tsioh8kiam3,chioh8kiam3,tsiohkiam,chiohkiam,tk,ck
tsio̍h-phok,石博,25,chio̍h-phok,tsioh8phok,chioh8phok,tsiohphok,chiohphok,tp,cp
tsio̍h-ge̍h,石月,25,chio̍h-ge̍h,tsioh8geh8,chioh8geh8,tsiohgeh,chiohgeh,tg,cg
tsio̍h-tshîng,石松,25,chio̍h-chhêng,tsioh8tshing5,chioh8chheng5,tsiohtshing,chiohchheng,tt,cc
tsio̍h-lîng,石柃,25,chio̍h-lêng,tsioh8ling5,chioh8leng5,tsiohling,chiohleng,tl,cl
tsio̍h-liú,石柳,25,chio̍h-liú,tsioh8liu2,chioh8liu2,tsiohliu,chiohliu,tl,cl
sia̍h-liû,石榴,25,sia̍h-liû,siah8liu5,siah8liu5,siahliu,siahliu,sl,sl
tsio̍h-tsu,石櫧,25,chio̍h-chu,tsioh8tsu,chioh8chu,tsiohtsu,chiohchu,tt,cc
tsio̍h-siap,石澁,25,chio̍h-siap,tsioh8siap,chioh8siap,tsiohsiap,chiohsiap,ts,cs
tsio̍h-tik,石竹,25,chio̍h-tek,tsioh8tik,chioh8tek,tsiohtik,chiohtek,tt,ct
tsio̍h-tsû,石薯,25,chio̍h-chû,tsioh8tsu5,chioh8chu5,tsiohtsu,chiohchu,tt,cc
bé-tsî,碼薯,25,bé-chî,be2tsi5,be2chi5,betsi,bechi,bt,bc
bō-tsháu,磨草,25,bō-chháu,bo7tshau2,bo7chhau2,botshau,bochhau,bt,bc
kî-gāi,祈艾,25,kî-gāi,ki5gai7,ki5gai7,kigai,kigai,kg,kg
siù-ing,秀英,25,siù-eng,siu3ing,siu3eng,siuing,siueng,si,se
tshiu-lân,秋蘭,25,chhiu-lân,tshiulan5,chhiulan5,tshiulan,chhiulan,tl,cl
tiû-á,稠仔,25,tiû-á,tiu5a2,tiu5a2,tiua,tiua,ta,ta
tsang-bo̍k,稯木,25,chang-bo̍k,tsangbok8,changbok8,tsangbok,changbok,tb,cb
tiū-á,稻仔,25,tiū-á,tiu7a2,tiu7a2,tiua,tiua,ta,ta
tik-peh,竹柏,25,tek-peh,tikpeh,tekpeh,tikpeh,tekpeh,tp,tp
tsìnn-tik,箭竹,25,chìⁿ-tek,tsinn3tik,chinn3tek,tsinntik,chinntek,tt,ct
bí-tāu,米豆,25,bí-tāu,bi2tau7,bi2tau7,bitau,bitau,bt,bt
