tl,hanzi,frequency
tû,除,1812
tī,弟,1808
bo̍k,目,1808
tsha̍t,賊,1807
muí,每,1805
tóo,肚,1802
tsì,志,1796
khu,軀,1796
pat,八,1787
siòng,相,1786
iù,幼,1785
hē,系,1781
phài,派,1780
sî,蒔,1776
sî,蜍,1776
kì,紀,1773
tîn,陳,1773
mn̂g,毛,1768
tsoo,組,1767
phuè,配,1767
phè,配,1767
thui,推,1766
to̍k,毒,1764
khoo,箍,1764
tiâu,調,1762
hiunn,香,1757
siong,商,1750
hún,粉,1750
uàn,怨,1749
kìng,敬,1749
līng,另,1745
kûn,群,1745
thài,態,1744
ping,兵,1742
khiàm,欠,1738
huān,犯,1738
kè,嫁,1737
tshoo,初,1736
kan,干,1736
ta̍h,踏,1736
phîng,評,1735
pán,版,1734
gē,藝,1733
ang,翁,1732
hô,河,1729
tn̄g,斷,1722
tiâu,牢,1721
bo̍k,莫,1720
ke,加,1719
tsū,住,1718
sòo,素,1717
kin,今,1712
lông,農,1711
suan,宣,1710
pian,編,1708
thua,拖,1704
thâi,刣,1700
kue,瓜,1700
píng,反,1698
bo̍k,木,1697
kán,簡,1691
muá,滿,1688
liông,良,1685
siù,秀,1682
tshái,採,1681
lia̍t,列,1678
tîng,重,1677
kuān,縣,1675
tsing,爭,1674
té,短,1674
tsia,遮,1669
hāu,候,1663
hiàn,獻,1663
khàu,哭,1662
thàm,探,1658
hing,興,1656
liâu,寮,1650
tháng,桶,1650
puânn,盤,1650
khah,卡,1648
tsioh,借,1646
tiāu,調,1645
tia̍p,揲,1641
îng,榮,1641
láu,老,1640
si̍p,十,1639
sù,四,1639
tshn̂g,床,1634
tsì,至,1634
tshīng,穿,1626
siànn,聖,1624
sàn,散,1623
hiám,險,1623
un,溫,1622
tsiām,漸,1621
tánn,打,1617
ló,咾,1612
hng,方,1611
tsoh,作,1609
tsa̍p,雜,1608
buē,未,1607
bē,未,1607
biō,廟,1600
tap,答,1599
tō,導,1596
tsūn,陣,1595
khuân,環,1578
tē,袋,1578
lâm,男,1573
si̍k,熟,1569
tuà,帶,1565
tshî,持,1563
tsun,尊,1562
tshin-tshiūnn,親像,1562
kí,己,1560
lim,啉,1559
hù,富,1558
sóo,鎖,1558
tîng,庭,1556
kian,堅,1553
kin,根,1550
kun,根,1550
hē,係,1541
tiong,忠,1540
án-ne,按呢,1539
peh,𬦰,1537
hān,限,1536
sì,勢,1535
niá,領,1526
bīng,命,1524
lo̍k,錄,1522
ah,啊,1521
tsiong,章,1521
lān,難,1520
tsióng,獎,1514
thuè,替,1511
thè,替,1511
pá,飽,1511
huānn,岸,1508
io,育,1507
tsió,少,1505
tsûn,存,1501
tsong,宗,1500
bú,武,1500
kám,橄,1499
hián,顯,1494
ta̍t,值,1491
jû,如,1489
lû,如,1489
hô,何,1488
khan,刊,1488
iûnn,洋,1488
hioh,歇,1485
koo,孤,1483
tuānn,段,1482
kat,結,1482
tsù,註,1482
gîn,銀,1481
gûn,銀,1481
bê,迷,1479
phuànn,判,1477
iânn,贏,1473
khì,企,1468
tshat,察,1467
síng,省,1462
tām,淡,1461
siōng,象,1461
gián,研,1458
tsân,層,1456
bāng,夢,1454
tshiánn,且,1452
jú,愈,1450
lú,愈,1450
khí,齒,1450
iū,又,1449
tshái,彩,1449
iânn,營,1441
tāng,動,1440
liān,練,1435
náu,腦,1434
kiú,久,1432
tǹg,頓,1427
ta̍t,達,1418
piau,標,1416
lē,例,1413
tè,渧,1412
lu̍t,律,1407
káu,九,1406
hû,符,1402
tong,東,1401
pâi,牌,1400
kâu,猴,1400
kué,粿,1400
ké,粿,1400
kio̍k,劇,1395
lân,難,1394
ún,穩,1393
kè,繼,1392
ap,壓,1390
pun,分,1388
huī,惠,1386
pi,悲,1382
lo̍k,落,1381
tan,單,1379
ua̍t,越,1371
kiám,減,1370
jiok,逐,1370
lip,逐,1370
tshun,賰,1369
hām,陷,1369
sik,室,1367
tsik,責,1364
tióng,長,1360
tsè,際,1358
i̍k,譯,1354
hûn,魂,1354
o,呵,1353
hiō,後,1351
siú,首,1351
siū,壽,1350
nî,彌,1346
khoo,呼,1344
tí,抵,1344
hio̍h,葉,1341
hu̍t,佛,1340
liân,憐,1340
hoo,呼,1337
kóng,廣,1337
hi,希,1335
sûn,純,1335
siú,守,1333
khiok,卻,1332
tuè,綴,1323
tè,綴,1323
siáu,小,1319
tiông,重,1317
tē,弟,1315
pio,標,1315
iōng,恙,1314
iōng,樣,1314
su,需,1312
iûnn,羊,1308
tông,堂,1306
tsua̍t,絕,1306
kip,級,1304
sak,捒,1302
ling,奶,1300
ni,奶,1300
hōo,戶,1300
tong,當,1300
suè,稅,1300
sè,稅,1300
mī,麵,1300
kuà,掛,1299
hóng,訪,1299
ìn,應,1297
kìm,禁,1294
tsa,昨,1291
tso̍h,昨,1291
khì,器,1288
tshenn,星,1288
tshinn,星,1288
tshú,取,1284
sim,芯,1279
khîn,勤,1277
phuānn,伴,1275
lîng,龍,1274
iu,猶,1273
tshuā,娶,1269
pū,婦,1268
tse,查,1268
tshò,錯,1268
tse,齋,1268
tsiu,睭,1265
phiàn,騙,1265
se̍h,踅,1262
îng,閒,1258
pe,飛,1258
pue,飛,1258
tsè,祭,1257
tsài,載,1256
thuat,脫,1255
tsiá,姐,1254
siunn,傷,1251
iu,憂,1250
iô,搖,1250
sua,沙,1250
kóo,股,1250
sio̍k,屬,1245
tseh,節,1245
tsiat,節,1245
tsueh,節,1245
to,都,1238
gún,阮,1237
seh,說,1236
sueh,說,1236
tsa̍t,實,1233
hīng,行,1233
ke,街,1223
kue,街,1223
líng,領,1221
hiâm,嫌,1220
hông,癀,1217
ke,基,1215
ká,假,1210
to̍h,著,1210
thô,迌,1209
tsàn,贊,1207
kau,溝,1206
kài,介,1204
tsik,叔,1201
kāu,厚,1200
kiô,橋,1200
thn̂g,糖,1200
kiâm,鹹,1200
muâ,麻,1200
kū,具,1199
tài,帶,1197
gio̍k,玉,1197
kiann,京,1194
tshing,稱,1194
tòng,擋,1193
tiòng,中,1192
bi̍t,密,1190
siúnn,賞,1186
suah,撒,1184
khuán,欵,1184
tshú,此,1183
óng,往,1180
hut,忽,1178
sîng,承,1177
tsiu,洲,1177
in,恩,1176
un,恩,1176
pik,迫,1175
ló,老,1172
kià,寄,1169
bē,妹,1164
muē,妹,1164
khik,刻,1154
gia̍h,攑,1154
pìnn,變,1154
jiō,尿,1150
liō,尿,1150
gōng,戇,1150
tn̂g,腸,1150
tè,塊,1147
sài,賽,1147
phóo,普,1146
pa,巴,1145
tó,島,1143
tóo,島,1143
tshó,楚,1143
nā,但,1142
khòng,抗,1142
thang,窗,1142
liông,龍,1140
uī,畫,1138
kun,君,1134
pa,𢼌,1133
tshik,策,1132
tshiūnn,上,1126
oh,僫,1121
hē,下,1117
kuè,檜,1117
kuè,膾,1117
kuè,薈,1117
tsio,招,1116
tshâ,查,1116
tshù,趣,1116
jî,兒,1115
lî,兒,1115
tsiu,州,1115
kí,幾,1115
thiann,廳,1112
tam,擔,1111
tsiânn,誠,1110
siōng,尚,1108
siōng,橡,1108
siōng,訟,1108
siōng,頌,1108
tshú,處,1107
poo,晡,1106
tiūnn,丈,1105
tshiong,充,1102
phang,芳,1101
hîng,型,1100
hông,防,1100
piánn,餅,1100
ah,鴨,1100
tshám,慘,1099
iáu,殀,1098
iáu,舀,1098
hûn,雲,1098
po̍h,薄,1096
puann,般,1095
thann,他,1094
sik,適,1090
siàu,笑,1089
sing,聲,1082
sok,束,1080
kàu,較,1079
môo,毛,1076
tsiok,祝,1074
siông,詳,1073
siū,授,1071
siùnn,相,1071
gōo,誤,1069
tsat,節,1067
guî,危,1062
khǹg,囥,1062
bóng,罔,1057
peh,八,1056
pueh,八,1056
ǹg,向,1054
hū,負,1053
ngá,雅,1052
pang,枋,1050
tshoo,粗,1050
liáu,撩,1049
liáu,瞭,1049
hīng,幸,1042
îng,營,1040
niâ,娘,1039
līng,令,1038
thìng,聽,1022
tshit,𨑨,1019
ai,哀,1016
suànn,散,1014
khuah,闊,1014
khùn,困,1013
puē,背,1013
ta,大,1012
jua̍h,熱,1011
lua̍h,熱,1011
tann,擔,1010
puê,陪,1008
sí,屎,1005
sí,弛,1005
sí,徙,1005
sí,暑,1005
sí,矢,1005
sí,豕,1005
sí,黍,1005
tiàu,吊,1000
tsām,站,1000
kioh,腳,1000
hóo,虎,1000
khòo,褲,1000
siau,銷,1000
liân,蓮,999
phō,抱,997
kì,據,997
kù,據,997
sim,參,995
liām,唸,994
thòng,痛,990
hònn,好,987
si,司,986
uē,會,984
tsìng,種,984
tian,顛,980
tî,持,976
liâm,黏,969
thiam,添,967
uì,慰,962
suat,說,961
ló,惱,960
lā,抐,960
kín,僅,958
kín,囝,958
kín,堇,958
kín,瑾,958
gua̍t,月,957
ia̍h,役,953
phò,破,952
tsè,債,950
kha,尻,950
thiu,抽,950
si,絲,950
lê,螺,950
tsiam,針,950
iâm,鹽,950
khóng,孔,943
tshē,坐,939
phing,拼,934
hiáng,享,932
tsik,即,930
kuânn,寒,929
sù,賜,929
tsú,煮,928
lē,麗,928
tau,掜,919
mē,罵,919
tshénn,醒,919
tshínn,醒,919
lâi-khì,來去,918
nah,爁,917
tsiông,從,914
kóng,管,914
tànn,擔,909
kuè,界,904
kè,界,904
piàn,遍,903
sóo-tsāi,所在,902
bián,娩,901
bián,愍,901
bián,沔,901
bián,湎,901
bián,緬,901
ang,尪,900
khioh,抾,900
pán,板,900
í,椅,900
tinn,甜,900
tsong,裝,900
ī,預,900
ū,預,900
tshí,鼠,900
tshú,鼠,900
su,軀,898
khe̍h,挈,897
tsu,書,894
phinn,篇,891
kin-á-ji̍t,今仔日,888
tân,陳,886
mih,物,884
hióng,響,883
sannh,煞,880
na,焦,879
khik,曲,878
ing,坱,876
bī,未,876
tsiò,照,876
niáu,鳥,874
tsiann,正,872
só,嫂,870
khàn,看,866
huann-hí,歡喜,859
kang,公,852
tshe,吹,851
tshue,吹,851
nn̄g,卵,850
khàm,崁,850
thng,湯,850
siáu,痟,850
su,私,850
sún,筍,850
phòng,膨,850
tsi̍h,舌,850
sî,辭,850
im,陰,850
hōng,鳳,850
pi̍k,白,849
ta̍k-ke,逐家,849
tsia,嗟,843
lá,拉,842
hué,伙,834
hé,伙,834
tó,佗,834
pió,表,834
suí,水,830
tàu,到,825
khǹg,勸,821
liâu,條,821
kàm,監,820
io̍k,欲,814
kài,概,812
sài,使,809
