hanzi,tl
大鏨,tuā-tsām
磅戕,pōng-tshiâng
壓頭仔,ah-thâu-á
砂碖,sua-lún
璇針,suān-tsiam
幼針,iù-tsiam
粗針,tshoo-tsiam
切針,tshiat-tsiam
轆管,lak-kóng
皮仔,phuê-á
金剛砂,kim-kong-sua
璇石膏,suān-tsio̍h-ko
海綿砂碖,hái-mî-sua-lún
砂紙,sua-tsuá
拍剁仔,phah-tok-a
青斗石,tshenn-táu-tsio̍h
冰種的,ping-tsíng--ê
紫色的,tsí-sik-ê
臺灣玉仔,tâi-uân-gi̍k-á
白玉仔,pe̍h-gi̍k-á
翡翠,huí-tshuì
透弄,thàu-lāng
敲仔,khà-á
敲,khà
設計,siat-kè
轆空,lak-khang
屏風,pîn-hong
深刻,tshim-khik
魚鱗片仔,hî-lân-phìnn-á
三分目,sann-hun-ba̍k
本尊,pún-tsun
巧雕,khá-tiau
薄胎的,po̍h-thai-ê
磨台,buâ-tâi
鋸片,kì-phìnn
切檯,tshiat-tâi
大破,tuā-phuà
雕刻機,tiau-khik-ki
紡金檯,pháng-kim-tâi
頭手,thâu-tshiú
晟手,tshiânn-tshiú
