"DictWordID","PojUnicode","PojUnicodeOthers","PojInput","PojInputOthers","HanLoTaibunPoj","KipUnicode","KipUnicodeOthers","KipInput","KipInputOthers","HanLoTaibunKip","HoaBun"
"70533","siong-chêng","","siong-cheng5","","商情","siong-tsîng","","siong-tsing5","","商情","商情"
"70534","siong-chêng","","siong-cheng5","","傷情","siong-tsîng","","siong-tsing5","","傷情","傷情"
"70535","siong-chhân","","siong-chhan5","","傷殘","siong-tshân","","siong-tshan5","","傷殘","傷殘"
"70536","siong-chhùi","","siong-chhui3","","傷嘴","siong-tshuì","","siong-tshui3","","傷嘴","傷口"
"70537","siong-chhùi","","siong-chhui3","","傷嘴","siong-tshuì","","siong-tshui3","","傷嘴","嘴"
"70538","siong-chhùi","","siong-chhui3","","傷嘴","siong-tshuì","","siong-tshui3","","傷嘴","瘡口"
"70539","siong-chiá","","siong-chia2","","傷者","siong-tsiá","","siong-tsia2","","傷者","傷者"
"70540","siong-chit","","siong-chit","","商職","siong-tsit","","siong-tsit","","商職","商職"
"70541","siong-chiú","","siong-chiu2","","傷酒","siong-tsiú","","siong-tsiu2","","傷酒","酗酒"
"70542","siong-choan","","siong-choan","","商專","siong-tsuan","","siong-tsuan","","商專","商專"
"70543","siong-chō͘","","siong-choo7","","襄助","siong-tsōo","","siong-tsoo7","","襄助","襄助"
"70544","siong-chûn","","siong-chun5","","商船","siong-tsûn","","siong-tsun5","","商船","商船"
"70545","siong-gāi","","siong-gai7","","傷礙","siong-gāi","","siong-gai7","","傷礙","妨害"
"70546","siong-gāi","","siong-gai7","","傷礙","siong-gāi","","siong-gai7","","傷礙","傷害"
"70547","siong-gī","","siong-gi7","","商議","siong-gī","","siong-gi7","","商議","商議"
"70548","siong-gia̍p","","siong-giap8","","商業","siong-gia̍p","","siong-giap8","","商業","商業"
"70549","siong-gia̍p-hòa","","siong-giap8-hoa3","","商業化","siong-gia̍p-huà","","siong-giap8-hua3","","商業化","商業化"
"70550","siong-gia̍p-khu","","siong-giap8-khu","","商業區","siong-gia̍p-khu","","siong-giap8-khu","","商業區","商業區"
"70551","siong-gîn","siong-gûn","siong-gin5","siong-gun5","商銀","siong-gîn","siong-gûn","siong-gin5","siong-gun5","商銀","商銀"
"70552","siong-hāi","","siong-hai7","","傷害","siong-hāi","","siong-hai7","","傷害","傷害"
"70553","siong-hāi-chōe","","siong-hai7-choe7","","傷害罪","siong-hāi-tsuē","","siong-hai7-tsue7","","傷害罪","傷害罪"
"70554","siong-hāi--tio̍h","","siong-hai7--tioh8","","傷害到","siong-hāi--tio̍h","","siong-hai7--tioh8","","傷害到","傷害到"
"70555","siong-hân","","siong-han5","","傷寒","siong-hân","","siong-han5","","傷寒","傷寒"
"70556","siong-hân","","siong-han5","","傷寒","siong-hân","","siong-han5","","傷寒","腸傷寒"
"70557","siong-hō","","siong-ho7","","商號","siong-hō","","siong-ho7","","商號","商號"
"70558","siong-hoān","","siong-hoan7","","傷患","siong-huān","","siong-huan7","","傷患","傷患"
"70559","siong-hoat","","siong-hoat","","商法","siong-huat","","siong-huat","","商法","商法"
"70560","siong-hōe","","siong-hoe7","","商會","siong-huē","","siong-hue7","","商會","商會"
"70561","siong-hong","","siong-hong","","傷風","siong-hong","","siong-hong","","傷風","傷風"
"70562","siong-hong","","siong-hong","","傷風","siong-hong","","siong-hong","","傷風","感冒"
"70563","siong-hûn","siang-hûn","siong-hun5","siang-hun5","傷痕","siong-hûn","siang-hûn","siong-hun5","siang-hun5","傷痕","傷痕"
"70564","siong-hûn","","siong-hun5","","傷跡","siong-hûn","","siong-hun5","","傷跡","傷痕"
"70565","siong-hûn-lúi-lúi","","siong-hun5-lui2-lui2","","傷痕累累","siong-hûn-luí-luí","","siong-hun5-lui2-lui2","","傷痕累累","傷痕累累"
"70566","siong-ī","","siong-i7","","商譽","siong-ī","","siong-i7","","商譽","商譽"
"70567","siong-iōng","","siong-iong7","","商用","siong-iōng","","siong-iong7","","商用","商用"
"70568","siong-jiah","siang-jiah","siong-jiah","siang-jiah","傷跡","siong-jiah","siang-jiah","siong-jiah","siang-jiah","傷跡","傷痕"
"70569","siong-jiah","siang-jiah","siong-jiah","siang-jiah","傷跡","siong-jiah","siang-jiah","siong-jiah","siang-jiah","傷跡","傷跡"
"70570","siong-jîn","","siong-jin5","","商人","siong-jîn","","siong-jin5","","商人","商人"
"70571","siong-ka","","siong-ka","","商家","siong-ka","","siong-ka","","商家","商家"
"70572","siong-kài","","siong-kai3","","商界","siong-kài","","siong-kai3","","商界","商界"
"70573","siong-kám","","siong-kam2","","傷感","siong-kám","","siong-kam2","","傷感","傷感"
"70574","siong-kám-chêng","","siong-kam2-cheng5","","傷感情","siong-kám-tsîng","","siong-kam2-tsing5","","傷感情","傷感情"
"70575","siong-káng","","siong-kang2","","商港","siong-káng","","siong-kang2","","商港","商港"
"70576","siong-kho","","siong-kho","","商科","siong-kho","","siong-kho","","商科","商科"
"70577","siong-liah","","siong-liah","","傷跡","siong-liah","","siong-liah","","傷跡","傷疤"
"70578","siong-lio̍k","","siong-liok8","","商陸","siong-lio̍k","","siong-liok8","","商陸","商陸"
"70579","siong-liông","","siong-liong5","","商量","siong-liông","","siong-liong5","","商量","商量"
"70580","siong-náu-kin","siong-náu-kun","siong-nau2-kin","siong-nau2-kun","傷腦筋","siong-náu-kin","siong-náu-kun","siong-nau2-kin","siong-nau2-kun","傷腦筋","傷腦筋"
"70581","siong-phiau","","siong-phiau","","商標","siong-phiau","","siong-phiau","","商標","商標"
"70582","siong-phiau-koân","","siong-phiau-koan5","","商標權","siong-phiau-kuân","","siong-phiau-kuan5","","商標權","商標權"
"70583","siong-phín","","siong-phin2","","商品","siong-phín","","siong-phin2","","商品","商品"
"70584","siong-phín-hòa","","siong-phin2-hoa3","","商品化","siong-phín-huà","","siong-phin2-hua3","","商品化","商品化"
"70585","siong-phín-phiau-sī","","siong-phin2-phiau-si7","","商品標示","siong-phín-phiau-sī","","siong-phin2-phiau-si7","","商品標示","商品標示"
"70586","siong-pî","","siong-pi5","","傷脾","siong-pî","","siong-pi5","","傷脾","傷胃"
"70587","siong-piau","","siong-piau","","商標","siong-piau","","siong-piau","","商標","商標"
"70588","siong-piau-koân","","siong-piau-koan5","","商標權","siong-piau-kuân","","siong-piau-kuan5","","商標權","商標權"
"70589","siong-pún","","siong-pun2","","傷本","siong-pún","","siong-pun2","","傷本","花費大"
"70590","siong-pún","","siong-pun2","","傷本","siong-pún","","siong-pun2","","傷本","費錢"
"70591","siong-pún-chîⁿ","","siong-pun2-chinn5","","傷本錢","siong-pún-tsînn","","siong-pun2-tsinn5","","傷本錢","費錢"
"70592","Siong-san","","Siong-san","","松山","Siong-san","","Siong-san","","松山","松山"
"70593","siong-sán","","siong-san2","","傷產","siong-sán","","siong-san2","","傷產","流產"
"70594","siong-sì","siong-sè","siong-si3","siong-se3","傷勢","siong-sì","siong-sè","siong-si3","siong-se3","傷勢","傷勢"
"70595","siong-siā","","siong-sia7","","商社","siong-siā","","siong-sia7","","商社","商社"
"70596","siong-sim","","siong-sim","","傷心","siong-sim","","siong-sim","","傷心","悲哀"
"70597","siong-sim","","siong-sim","","傷心","siong-sim","","siong-sim","","傷心","悲傷"
"70598","siong-sim","","siong-sim","","傷心","siong-sim","","siong-sim","","傷心","傷心"
"70599","siong-si̍t","","siong-sit8","","傷食","siong-si̍t","","siong-sit8","","傷食","存食"
"70600","siong-si̍t","","siong-sit8","","傷食","siong-si̍t","","siong-sit8","","傷食","食積"
"70601","siong-sò͘","","siong-soo3","","商數","siong-sòo","","siong-soo3","","商數","商數"
"70602","siong-sú","siang-sú","siong-su2","siang-su2","傷暑","siong-sú","siang-sú","siong-su2","siang-su2","傷暑","中暑"
"70603","siong-tâm","","siong-tam5","","商談","siong-tâm","","siong-tam5","","商談","商談"
"70604","siong-tèng","","siong-teng3","","商訂","siong-tìng","","siong-ting3","","商訂","商訂"
"70605","siong-thiàⁿ","","siong-thiann3","","傷痛","siong-thiànn","","siong-thiann3","","傷痛","傷痛"
"70606","siong-thó","","siong-tho2","","商討","siong-thó","","siong-tho2","","商討","商討"
"70607","siong-tiàm","","siong-tiam3","","商店","siong-tiàm","","siong-tiam3","","商店","商店"
"70608","siong-tián","","siong-tian2","","商展","siong-tián","","siong-tian2","","商展","商展"
"70609","siong-tiōng","","siong-tiong7","","傷重","siong-tiōng","","siong-tiong7","","傷重","危重"
"70610","siong-tiōng","","siong-tiong7","","傷重","siong-tiōng","","siong-tiong7","","傷重","要緊"
"70611","siong-tiōng","","siong-tiong7","","傷重","siong-tiōng","","siong-tiong7","","傷重","破費"
"70612","siong-tiōng","","siong-tiong7","","傷重","siong-tiōng","","siong-tiong7","","傷重","厲害的"
"70613","siong-tiōng","","siong-tiong7","","傷重","siong-tiōng","","siong-tiong7","","傷重","嚴重"
"70614","siong-tiōng","","siong-tiong7","","傷重","siong-tiōng","","siong-tiong7","","傷重","嚴重的"
"70615","siong-tiōng-iû","","siong-tiong7-iu5","","嵩重油","siong-tiōng-iû","","siong-tiong7-iu5","","嵩重油","耗油"
"70616","siong-tiōng-pēⁿ","siong-tiōng-pīⁿ","siong-tiong7-penn7","siong-tiong7-pinn7","傷重病","siong-tiōng-pēnn","siong-tiōng-pīnn","siong-tiong7-penn7","siong-tiong7-pinn7","傷重病","重病"
"70617","siong-tiûⁿ","","siong-tiunn5","","商場","siong-tiûnn","","siong-tiunn5","","商場","商場"
"70618","siong-tō͘","","siong-too7","","傷肚","siong-tōo","","siong-too7","","傷肚","傷胃"
"70619","siong-tūi","","siong-tui7","","商隊","siong-tuī","","siong-tui7","","商隊","商隊"
"70620","siong-ūi","","siong-ui7","","傷胃","siong-uī","","siong-ui7","","傷胃","傷胃"
"70621","sio-niū","","sio-niu7","","相讓","sio-niū","","sio-niu7","","相讓","相讓"
"70622","sio-óa","","sio-oa2","","相倚","sio-uá","","sio-ua2","","相倚","相近"
"70623","sio-óa","","sio-oa2","","相倚","sio-uá","","sio-ua2","","相倚","相鄰"
"70624","sio-óa","","sio-oa2","","相倚","sio-uá","","sio-ua2","","相倚","相靠"
"70625","sio-óa-khò","","sio-oa2-kho3","","相倚靠","sio-uá-khò","","sio-ua2-kho3","","相倚靠","相依"
"70626","sio-óa-khò","","sio-oa2-kho3","","相倚靠","sio-uá-khò","","sio-ua2-kho3","","相倚靠","相依為命"
"70627","sio-ōaⁿ","saⁿ-ōaⁿ","sio-oann7","sann-oann7","相換","sio-uānn","sann-uānn","sio-uann7","sann-uann7","相換","互換"
"70628","sio-ōaⁿ","saⁿ-ōaⁿ","sio-oann7","sann-oann7","相換","sio-uānn","sann-uānn","sio-uann7","sann-uann7","相換","掉換"
"70629","sio-ōaⁿ-kang","","sio-oann7-kang","","相換工","sio-uānn-kang","","sio-uann7-kang","","相換工","交換工作"
"70630","sio-ōaⁿ-kang","","sio-oann7-kang","","相換工","sio-uānn-kang","","sio-uann7-kang","","相換工","輪番"
"70631","sio-ōe","","sio-oe7","","燒話","sio-uē","","sio-ue7","","燒話","中傷"
"70632","sio-ōe","","sio-oe7","","燒話","sio-uē","","sio-ue7","","燒話","進讒言"
"70633","sio-ōe","","sio-oe7","","燒話","sio-uē","","sio-ue7","","燒話","搧火"
"70634","sio-ōe","","sio-oe7","","燒話","sio-uē","","sio-ue7","","燒話","讒言"
"70635","sio-o̍h-iūⁿ","","sio-oh8-iunn7","","相學樣","sio-o̍h-iūnn","","sio-oh8-iunn7","","相學樣","互相模仿"
"70636","sio-pái-poah","","sio-pai2-poah","","相擺撥","sio-pái-puah","","sio-pai2-puah","","相擺撥","融通"
"70637","sio-pái-thè","sio-pái-thòe","sio-pai2-the3","sio-pai2-thoe3","相擺替","sio-pái-thè","sio-pái-thuè","sio-pai2-the3","sio-pai2-thue3","相擺替","輪換"
"70638","sio-pàng-phōaⁿ","","sio-pang3-phoann7","","相放伴","sio-pàng-phuānn","","sio-pang3-phuann7","","相放伴","互助"
"70639","sio-pàng-phōaⁿ","","sio-pang3-phoann7","","相放伴","sio-pàng-phuānn","","sio-pang3-phuann7","","相放伴","互相協助"
"70640","sio-pàng-phōaⁿ","","sio-pang3-phoann7","","相放伴","sio-pàng-phuānn","","sio-pang3-phuann7","","相放伴","守望相助"
"70641","sio-pé-hōe","","sio-pe2-hoe7","","相把會","sio-pé-huē","","sio-pe2-hue7","","相把會","各讓一步"
"70642","sio-pháiⁿ-ōe","","sio-phainn2-oe7","","燒歹話","sio-pháinn-uē","","sio-phainn2-ue7","","燒歹話","進讒言"
"70643","sio-pheⁿ","sio-phiⁿ","sio-phenn","sio-phinn","相pheⁿ","sio-phenn","sio-phinn","sio-phenn","sio-phinn","相phenn","佔便宜"
"70644","sio-phō","","sio-pho7","","相抱","sio-phō","","sio-pho7","","相抱","相擁"
"70645","sio-phoa̍h-keng","","sio-phoah8-keng","","相旆肩","sio-phua̍h-king","","sio-phuah8-king","","相旆肩","勾肩搭背"
"70646","sio-phōaⁿ","","sio-phoann7","","相伴","sio-phuānn","","sio-phuann7","","相伴","相伴"
"70647","sio-phòe","sio-phè","sio-phoe3","sio-phe3","相配","sio-phuè","sio-phè","sio-phue3","sio-phe3","相配","相稱"
"70648","sio-pí","saⁿ-pí","sio-pi2","sann-pi2","相比","sio-pí","sann-pí","sio-pi2","sann-pi2","相比","比較"
"70649","sio-pí","saⁿ-pí","sio-pi2","sann-pi2","相比","sio-pí","sann-pí","sio-pi2","sann-pi2","相比","相比"
"70650","sio-pí-phēng","saⁿ-pí-phēng","sio-pi2-pheng7","sann-pi2-pheng7","相比phēng","sio-pí-phīng","sann-pí-phīng","sio-pi2-phing7","sann-pi2-phing7","相比phīng","對照"
"70651","sio-pí-phēng","saⁿ-pí-phēng","sio-pi2-pheng7","sann-pi2-pheng7","相比phēng","sio-pí-phīng","sann-pí-phīng","sio-pi2-phing7","sann-pi2-phing7","相比phīng","相較"
"70652","sio-pí-phēng","saⁿ-pí-phēng","sio-pi2-pheng7","sann-pi2-pheng7","相比phēng","sio-pí-phīng","sann-pí-phīng","sio-pi2-phing7","sann-pi2-phing7","相比phīng","比較"
"70653","sio-piáⁿ","","sio-piann2","","燒餅","sio-piánn","","sio-piann2","","燒餅","火燒"
