tl,poj,hanzi,tl_no_tone,poj_no_tone,syllable_count,source
n̂g-kú,n̂g-kú,黃櫸,ng-ku,ng-ku,2,sitbut
jîn-kí,jîn-kí,仁𣏌,jin-ki,jin-ki,2,sitbut
tsuí-kho-á,chúi-kho-á,水柯仔,tsui-kho-a,chui-kho-a,3,sitbut
tsuí-liû-kho,chúi-liû-kho,水流柯,tsui-liu-kho,chui-liu-kho,3,sitbut
tsuí-liú-kho,chúi-liú-kho,水柳柯,tsui-liu-kho,chui-liu-kho,3,sitbut
la̍t-tsí,la̍t-chí,栗子,lat-tsi,lat-chi,2,sitbut
tshiah-káu,chhiah-káu,赤校,tshiah-kau,chhiah-kau,2,sitbut
tshiah-liû,chhiah-liû,赤鱗,tshiah-liu,chhiah-liu,2,sitbut
káu-la̍t,káu-la̍t,校栗,kau-lat,kau-lat,2,sitbut
âng-phê-kua,âng-phê-koa,紅皮柯,ang-phe-kua,ang-phe-koa,3,sitbut
hé-sio-kua,hé-sio-koa,火燒柯,he-sio-kua,he-sio-koa,3,sitbut
tuā-hio̍h-tōo,tōa-hio̍h-tō͘,大葉杜,tua-hioh-too,toa-hioh-to͘,3,sitbut
tōo-á,tō͘-á,杜仔,too-a,to͘-a,2,sitbut
âng-káu-tsan,âng-káu-chan,紅校櫕,ang-kau-tsan,ang-kau-chan,3,sitbut
káu-tsan,káu-chan,校櫕,kau-tsan,kau-chan,2,sitbut
tshiah-ko,chhiah-ko,赤柯,tshiah-ko,chhiah-ko,2,sitbut
kho-á,kho-á,柯仔,kho-a,kho-a,2,sitbut
âng-bah-tōo,âng-bah-tō͘,紅肉杜,ang-bah-too,ang-bah-to͘,3,sitbut
pe̍h-káu-tsan,pe̍h-káu-chan,白校櫕,peh-kau-tsan,peh-kau-chan,3,sitbut
kho-si,kho-si,柯絲,kho-si,kho-si,2,sitbut
lîm-lî,lîm-lî,淋漓,lim-li,lim-li,2,sitbut
tshiah-phê,chhiah-phê,赤皮,tshiah-phe,chhiah-phe,2,sitbut
tsio̍h-tsu,chio̍h-chu,石櫧,tsioh-tsu,chioh-chu,2,sitbut
tshiah-kua,chhiah-koa,赤柯,tshiah-kua,chhiah-koa,2,sitbut
