tl,poj,hanzi,tl_no_tone,poj_no_tone,syllable_count,source
pinn--á-bīn,piⁿ--á-bīn,邊仔面,pinn--a-bin,piⁿ--a-bin,3,taigitv
tîm-tsìm-sik,tîm-chìm-sek,沉浸式,tim-tsim-sik,tim-chim-sek,3,taigitv
khuài-sàng,khoài-sàng,快送,khuai-sang,khoai-sang,2,taigitv
tshiū-kuà,chhiū-kòa,樹掛,tshiu-kua,chhiu-koa,2,taigitv
siû-tsuí-sann,siû-chúi-saⁿ,泅水衫,siu-tsui-sann,siu-chui-saⁿ,3,taigitv
iû-íng-sann,iû-éng-saⁿ,游泳衫,iu-ing-sann,iu-eng-saⁿ,3,taigitv
siû-tsuí-tî,siû-chúi-tî,泅水池,siu-tsui-ti,siu-chui-ti,3,taigitv
iû-íng-tî,iû-éng-tî,游泳池,iu-ing-ti,iu-eng-ti,3,taigitv
siû-tsuí-kiànn,siû-chúi-kiàⁿ,泅水鏡,siu-tsui-kiann,siu-chui-kiaⁿ,3,taigitv
iû-íng-kiànn,iû-éng-kiàⁿ,游泳鏡,iu-ing-kiann,iu-eng-kiaⁿ,3,taigitv
huī-tshenn,hūi-chheⁿ,彗星,hui-tshenn,hui-chheⁿ,2,taigitv
huī-tshinn,hūi-chhiⁿ,彗星,hui-tshinn,hui-chhiⁿ,2,taigitv
tsio̍h-hōo,chio̍h-hō͘,石滬,tsioh-hoo,chioh-ho͘,2,taigitv
hái-lo̍k-in,hái-lo̍k-in,海洛因,hai-lok-in,hai-lok-in,3,taigitv
hûn-huà-lôo,hûn-hòa-lô͘,焚化爐,hun-hua-loo,hun-hoa-lo͘,3,taigitv
gû-pênn,gû-pêⁿ,牛棚,gu-penn,gu-peⁿ,2,taigitv
gû-pînn,gû-pîⁿ,牛棚,gu-pinn,gu-piⁿ,2,taigitv
tâi-tsik-tiān,tâi-chek-tiān,台積電,tai-tsik-tian,tai-chek-tian,3,taigitv
liân-ha̍p-kok,liân-ha̍p-kok,聯合國,lian-hap-kok,lian-hap-kok,3,taigitv
bāng-âng,bāng-âng,網紅,bang-ang,bang-ang,2,taigitv
bāng-tshìng,bāng-chhèng,網衝,bang-tshing,bang-chheng,2,taigitv
guā-i̍k-kann,gōa-e̍k-kaⁿ,外役監,gua-ik-kann,goa-ek-kaⁿ,3,taigitv
pian-kíng,pian-kéng,邊境,pian-king,pian-keng,2,taigitv
sī-sîn-king,sī-sîn-keng,視神經,si-sin-king,si-sin-keng,3,taigitv
kak-mo̍oh,kak-mo̍͘h,角膜,kak-mooh,kak-mo͘h,2,taigitv
iû-kik-tuī,iû-kek-tūi,游擊隊,iu-kik-tui,iu-kek-tui,3,taigitv
tsè-thîng,chè-thêng,製程,tse-thing,che-theng,2,taigitv
óo-jîn-tsâi,ó͘-jîn-châi,挖人才,oo-jin-tsai,o͘-jin-chai,3,taigitv
óo-lîn-tsâi,ó͘-lîn-châi,挖人才,oo-lin-tsai,o͘-lin-chai,3,taigitv
tsuán-hip,choán-hip,轉翕,tsuan-hip,choan-hip,2,taigitv
hun-sik-su,hun-sek-su,分析師,hun-sik-su,hun-sek-su,3,taigitv
suann-iú,soaⁿ-iú,山友,suann-iu,soaⁿ-iu,2,taigitv
khiā-tsiúnn,khiā-chiúⁿ,徛槳,khia-tsiunn,khia-chiuⁿ,2,taigitv
hong-bīn,hong-bīn,鋒面,hong-bin,hong-bin,2,taigitv
tuā-tsuí-hōo,tōa-chúi-hō͘,大水雨,tua-tsui-hoo,toa-chui-ho͘,3,taigitv
tshui--sí,chhui--sí,摧死,tshui--si,chhui--si,2,taigitv
tsìnn-lōo,chìⁿ-lō͘,糋路,tsinn-loo,chiⁿ-lo͘,2,taigitv
pun-tō,pun-tō,分道,pun-to,pun-to,2,taigitv
pun-tō-tshuì,pun-tō-chhùi,分道喙,pun-to-tshui,pun-to-chhui,3,taigitv
sik-iú,sek-iú,室友,sik-iu,sek-iu,2,taigitv
hô-hiân,hô-hiân,和絃,ho-hian,ho-hian,2,taigitv
ua̍t-uī,oa̍t-ūi,越位,uat-ui,oat-ui,2,taigitv
ok-sái,ok-sái,ok-sái,ok-sai,ok-sai,2,taigitv
kah-uân,kah-oân,甲烷,kah-uan,kah-oan,2,taigitv
kah-sûn,kah-sûn,甲醇,kah-sun,kah-sun,2,taigitv
khàm-miâ-tsiá,khàm-miâ-chiá,崁名者,kham-mia-tsia,kham-mia-chia,3,taigitv
li̍k-miâ-tsiá,le̍k-miâ-chiá,匿名者,lik-mia-tsia,lek-mia-chia,3,taigitv
khàm-miâ,khàm-miâ,崁名,kham-mia,kham-mia,2,taigitv
li̍k-miâ,le̍k-miâ,匿名,lik-mia,lek-mia,2,taigitv
tshiu-king-luī,chhiu-keng-lūi,鬚鯨類,tshiu-king-lui,chhiu-keng-lui,3,taigitv
bo̍k-su-lîm,bo̍k-su-lîm,穆斯林,bok-su-lim,bok-su-lim,3,taigitv
hun-guā-tsîng,hun-gōa-chêng,婚外情,hun-gua-tsing,hun-goa-cheng,3,taigitv
guā-gū,gōa-gū,外遇,gua-gu,goa-gu,2,taigitv
tsú-tsia̍h,chú-chia̍h,煮食,tsu-tsiah,chu-chiah,2,taigitv
iông-ping,iông-peng,傭兵,iong-ping,iong-peng,2,taigitv
ho̍k-khik,ho̍k-khek,復刻,hok-khik,hok-khek,2,taigitv
bê-tsiòng-ia̍h,bê-chiòng-ia̍h,迷眾頁,be-tsiong-iah,be-chiong-iah,3,taigitv
khang-khuè-tiûnn,khang-khòe-tiûⁿ,工課場,khang-khue-tiunn,khang-khoe-tiuⁿ,3,taigitv
tsit-tiûnn,chit-tiûⁿ,職場,tsit-tiunn,chit-tiuⁿ,2,taigitv
sìng-so-jiáu,sèng-so-jiáu,性騷擾,sing-so-jiau,seng-so-jiau,3,taigitv
pà-lîng,pà-lêng,霸凌,pa-ling,pa-leng,2,taigitv
tshiong-tiān-thiāu,chhiong-tiān-thiāu,充電柱,tshiong-tian-thiau,chhiong-tian-thiau,3,taigitv
tsia̍t-tôo,chia̍t-tô͘,截圖,tsiat-too,chiat-to͘,2,taigitv
thiok-tsuí,thiok-chúi,蓄水,thiok-tsui,thiok-chui,2,taigitv
thiok-tsuí-lu̍t,thiok-chúi-lu̍t,蓄水率,thiok-tsui-lut,thiok-chui-lut,3,taigitv
thiok-tsuí-tî,thiok-chúi-tî,蓄水池,thiok-tsui-ti,thiok-chui-ti,3,taigitv
thiok-tsuí-liōng,thiok-chúi-liōng,蓄水量,thiok-tsui-liong,thiok-chui-liong,3,taigitv
tsûn-tóng,chûn-tóng,存檔,tsun-tong,chun-tong,2,taigitv
