tl,poj,hanzi,tl_no_tone,poj_no_tone,syllable_count,source
nn̄g-bān-gōo,nn̄g-bān-gō͘,兩萬五,nng-ban-goo,nng-ban-go͘,3,itaigi
tshuì-sī-hong,chhùi-sī-hong,喙是風,tshui-si-hong,chhui-si-hong,3,itaigi
jī-sī-tsong,jī-sī-chong,字是蹤,ji-si-tsong,ji-si-chong,3,itaigi
tok-phīnn,tok-phīⁿ,啄鼻,tok-phinn,tok-phiⁿ,2,itaigi
tshuì-táu,chhùi-táu,喙斗,tshui-tau,chhui-tau,2,itaigi
ìnn-ònn,ìⁿ-òⁿ,喑噁,inn-onn,iⁿ-oⁿ,2,itaigi
gâu-kóng-uē,gâu-kóng-ōe,𠢕講話,gau-kong-ue,gau-kong-oe,3,itaigi
tshuì-hue-lāi,chhùi-hoe-lāi,喙花利,tshui-hue-lai,chhui-hoe-lai,3,itaigi
tshuì-kháu,chhùi-kháu,喙口,tshui-khau,chhui-khau,2,itaigi
tshuì-ìng,chhùi-èng,喙應,tshui-ing,chhui-eng,2,itaigi
tshuì-ān,chhùi-ān,喙限,tshui-an,chhui-an,2,itaigi
si̍k-tshuì,se̍k-chhùi,熟喙,sik-tshui,sek-chhui,2,itaigi
tshuì-kháu-guān,chhùi-kháu-goān,喙口願,tshui-khau-guan,chhui-khau-goan,3,itaigi
gio̍k-sim,gio̍k-sim,玉參,giok-sim,giok-sim,2,itaigi
thóo-jîn-sim,thó͘-jîn-sim,土人參,thoo-jin-sim,tho͘-jin-sim,3,itaigi
thôo-thâu,thô͘-thâu,塗頭,thoo-thau,tho͘-thau,2,itaigi
thôo-lūn-á,thô͘-lūn-á,塗崙仔,thoo-lun-a,tho͘-lun-a,3,itaigi
lāi-suann-sông,lāi-soaⁿ-sông,內山倯,lai-suann-song,lai-soaⁿ-song,3,itaigi
tshân-tsng-sông,chhân-chng-sông,田庄倯,tshan-tsng-song,chhan-chng-song,3,itaigi
tsng-lí-sông,chng-lí-sông,庄裡倯,tsng-li-song,chng-li-song,3,itaigi
tsng-kha-sông,chng-kha-sông,庄跤倯,tsng-kha-song,chng-kha-song,3,itaigi
ìng-tshài-hông,èng-chhài-hông,蕹菜癀,ing-tshai-hong,eng-chhai-hong,3,itaigi
thôo-lâng,thô͘-lâng,塗礱,thoo-lang,tho͘-lang,2,itaigi
thôo-khut,thô͘-khut,塗窟,thoo-khut,tho͘-khut,2,itaigi
thôo-tāu-kū,thô͘-tāu-kū,塗豆舅,thoo-tau-ku,tho͘-tau-ku,3,itaigi
àu-uînn,àu-ûiⁿ,漚黃,au-uinn,au-uiⁿ,2,itaigi
àu-sái-sik,àu-sái-sek,漚屎色,au-sai-sik,au-sai-sek,3,itaigi
thôo-kak,thô͘-kak,塗埆,thoo-kak,tho͘-kak,2,itaigi
thôo-tsòng,thô͘-chòng,塗葬,thoo-tsong,tho͘-chong,2,itaigi
thôo-phang,thô͘-phang,塗捀,thoo-phang,tho͘-phang,2,itaigi
thôo-khòng-phang,thô͘-khòng-phang,塗壙蜂,thoo-khong-phang,tho͘-khong-phang,3,itaigi
thôo-khàng-phang,thô͘-khàng-phang,塗壙蜂,thoo-khang-phang,tho͘-khang-phang,3,itaigi
sông-sông,sông-sông,倯倯,song-song,song-song,2,itaigi
thôo-kut,thô͘-kut,塗骨,thoo-kut,tho͘-kut,2,itaigi
thôo-tshiâng,thô͘-chhiâng,塗戕,thoo-tshiang,tho͘-chhiang,2,itaigi
thóo-senn-á,thó͘-seⁿ-á,土生仔,thoo-senn-a,tho͘-seⁿ-a,3,itaigi
sông-piah-piah,sông-piah-piah,倯壁壁,song-piah-piah,song-piah-piah,3,itaigi
thôo-jióng,thô͘-jióng,塗壤,thoo-jiong,tho͘-jiong,2,itaigi
àm-tīnn,àm-tīⁿ,暗滇,am-tinn,am-tiⁿ,2,itaigi
bé-ka-tshun,bé-ka-chhun,馬鮫鰆,be-ka-tshun,be-ka-chhun,3,itaigi
tshun-hî,chhun-hî,鰆魚,tshun-hi,chhun-hi,2,itaigi
suann-thôo-tāu,soaⁿ-thô͘-tāu,山塗豆,suann-thoo-tau,soaⁿ-tho͘-tau,3,itaigi
thôo-sún,thô͘-sún,塗筍,thoo-sun,tho͘-sun,2,itaigi
thôo-bī,thô͘-bī,塗味,thoo-bi,tho͘-bi,2,itaigi
thôo-tîn,thô͘-tîn,塗藤,thoo-tin,tho͘-tin,2,itaigi
tuā-bú-lā,tōa-bú-lā,大舞抐,tua-bu-la,toa-bu-la,3,itaigi
tshú-hiông-gán,chhú-hiông-gán,雌雄眼,tshu-hiong-gan,chhu-hiong-gan,3,itaigi
siāng-tsē,siāng-chē,上濟,siang-tse,siang-che,2,itaigi
kui-puànn-poo,kui-pòaⁿ-po͘,規半晡,kui-puann-poo,kui-poaⁿ-po͘,3,itaigi
hiong-sí-phah,hiong-sí-phah,兇死拍,hiong-si-phah,hiong-si-phah,3,itaigi
tsing-kòng-phà,cheng-kòng-phà,舂摃拍,tsing-kong-pha,cheng-kong-pha,3,itaigi
tang-pe̍h-á,tang-pe̍h-á,東白仔,tang-peh-a,tang-peh-a,3,itaigi
pe̍h-līng-si,pe̍h-lēng-si,白翎鷥,peh-ling-si,peh-leng-si,3,itaigi
miâ-siann-tháu,miâ-siaⁿ-tháu,名聲敨,mia-siann-thau,mia-siaⁿ-thau,3,itaigi
uî-lôo,ûi-lô͘,圍爐,ui-loo,ui-lo͘,2,itaigi
uî-lôo-àm,ûi-lô͘-àm,圍爐暗,ui-loo-am,ui-lo͘-am,3,itaigi
pûn-ke-kui,pûn-ke-kui,歕雞胿,pun-ke-kui,pun-ke-kui,3,itaigi
puīnn-sî-gô,pūiⁿ-sî-gô,飯匙鵝,puinn-si-go,puiⁿ-si-go,3,itaigi
pn̄g-sî-gô,pn̄g-sî-gô,飯匙鵝,png-si-go,png-si-go,3,itaigi
tuā-tshia-giâ,tōa-chhia-giâ,大車夯,tua-tshia-gia,toa-chhia-gia,3,itaigi
tshiau-lâng-kê,chhiau-lâng-kê,抄人膎,tshiau-lang-ke,chhiau-lang-ke,3,itaigi
lòng-khòng-king,lòng-khòng-keng,閬閌間,long-khong-king,long-khong-keng,3,itaigi
bān-tô-hue,bān-tô-hoe,蔓桃花,ban-to-hue,ban-to-hoe,3,itaigi
lāi-hio̍h-ing,lāi-hio̍h-eng,鴟鴞鷹,lai-hioh-ing,lai-hioh-eng,3,itaigi
tuā-khoo-ê,tōa-kho͘-ê,大箍个,tua-khoo-e,toa-kho͘-e,3,itaigi
bī-hîng-kun,bī-hêng-kun,未行軍,bi-hing-kun,bi-heng-kun,3,itaigi
sing-hîng-niû,seng-hêng-niû,先行糧,sing-hing-niu,seng-heng-niu,3,itaigi
tuā--ê,tōa--ê,大个,tua--e,toa--e,2,itaigi
sann-khi-nn̄g,saⁿ-khi-nn̄g,三欺兩,sann-khi-nng,saⁿ-khi-nng,3,itaigi
nn̄g-khi-it,nn̄g-khi-it,兩欺一,nng-khi-it,nng-khi-it,3,itaigi
ta-ta-kiò,ta-ta-kiò,誻誻叫,ta-ta-kio,ta-ta-kio,3,itaigi
thôo-pô-íng,thô͘-pô-éng,塗婆湧,thoo-po-ing,tho͘-po-eng,3,itaigi
tuā-huê,tōa-hôe,大茴,tua-hue,toa-hoe,2,itaigi
tuā-huê-hiunn,tōa-hôe-hiuⁿ,大茴香,tua-hue-hiunn,toa-hoe-hiuⁿ,3,itaigi
tuā-hó-gia̍h,tōa-hó-gia̍h,大好額,tua-ho-giah,toa-ho-giah,3,itaigi
