tl,poj,hanzi,tl_no_tone,poj_no_tone,syllable_count,source
ak-tsuí,ak-chúi,沃水,ak-tsui,ak-chui,2,taihoa
a-khīng,a-khēng,椏虹,a-khing,a-kheng,2,taihoa
ak-hōo,ak-hō͘,沃雨,ak-hoo,ak-ho͘,2,taihoa
a-kīm,a-kīm,阿妗,a-kim,a-kim,2,taihoa
a-kiōng-á,a-kiōng-á,阿共仔,a-kiong-a,a-kiong-a,3,taihoa
ak-iú,ak-iú,握有,ak-iu,ak-iu,2,taihoa
a-ko,a-ko,阿哥,a-ko,a-ko,2,taihoa
a-kong,a-kong,阿公,a-kong,a-kong,2,taihoa
a-ko-sià,a-ko-sià,阿哥舍,a-ko-sia,a-ko-sia,3,taihoa
a-koo,a-ko͘,阿姑,a-koo,a-ko͘,2,taihoa
ak-puî,ak-pûi,沃肥,ak-pui,ak-pui,2,taihoa
a-kū,a-kū,阿舅,a-ku,a-ku,2,taihoa
a-kun,a-kun,亞軍,a-kun,a-kun,2,taihoa
a-lé,a-lé,啞鈴,a-le,a-le,2,taihoa
a-lí-san,a-lí-san,阿里山,a-li-san,a-li-san,3,taihoa
a-lí-sim,a-lí-sim,阿里參,a-li-sim,a-li-sim,3,taihoa
am,am,庵,am,am,1,taihoa
am,am,掩,am,am,1,taihoa
am,am,醃,am,am,1,taihoa
am,am,闇,am,am,1,taihoa
ám,ám,ám,am,am,1,taihoa
a-ḿ,a-ḿ,阿姆,a-m,a-m,2,taihoa
ám-ám,ám-ám,ám-ám,am-am,am-am,2,taihoa
ám-phe̍h,ám-phe̍h,ám-phe̍h,am-pheh,am-pheh,2,taihoa
ám-thong-thong,ám-thong-thong,ám-thong-thong,am-thong-thong,am-thong-thong,3,taihoa
àm,àm,暗,am,am,1,taihoa
àm-huann-hí,àm-hoaⁿ-hí,暗歡喜,am-huann-hi,am-hoaⁿ-hi,3,taihoa
àm-an,àm-an,暗安,am-an,am-an,2,taihoa
àm-ba̍t,àm-ba̍t,暗密,am-bat,am-bat,2,taihoa
àm-bîn-bong,àm-bîn-bong,暗眠摸,am-bin-bong,am-bin-bong,3,taihoa
àm-bo̍k-bo̍k,àm-bo̍k-bo̍k,暗漠漠,am-bok-bok,am-bok-bok,3,taihoa
àm-bong-bong,àm-bong-bong,暗摸摸,am-bong-bong,am-bong-bong,3,taihoa
àm-bong-sa,àm-bong-sa,暗摸捎,am-bong-sa,am-bong-sa,3,taihoa
àm-bôo,àm-bô͘,暗謀,am-boo,am-bo͘,2,taihoa
àm-tsa,àm-cha,暗查,am-tsa,am-cha,2,taihoa
àm-tsàu,àm-chàu,暗奏,am-tsau,am-chau,2,taihoa
àm-tshàng,àm-chhàng,暗藏,am-tshang,am-chhang,2,taihoa
àm-tshìng,àm-chhèng,暗銃,am-tshing,am-chheng,2,taihoa
àm-tshia,àm-chhia,暗車,am-tshia,am-chhia,2,taihoa
àm-tshiò,àm-chhiò,暗笑,am-tshio,am-chhio,2,taihoa
