tl,poj,hanzi,tl_no_tone,poj_no_tone,syllable_count,source
tshiùnn-kua,chhiùⁿ-koa,唱歌,tshiunn-kua,chhiuⁿ-koa,2,taijit
tshiùnn-kuân-tiāu,chhiùⁿ-koân-tiāu,唱高調,tshiunn-kuan-tiau,chhiuⁿ-koan-tiau,3,taijit
tshiùnn-liām,chhiùⁿ-liām,唱念,tshiunn-liam,chhiuⁿ-liam,2,taijit
tshiùnn-puânn,chhiùⁿ-pôaⁿ,唱盤,tshiunn-puann,chhiuⁿ-poaⁿ,2,taijit
tshiûnn,chhiûⁿ,颺,tshiunn,chhiuⁿ,1,taijit
tshiûnn,chhiûⁿ,牆,tshiunn,chhiuⁿ,1,taijit
tshiûnn-á,chhiûⁿ-á,牆仔,tshiunn-a,chhiuⁿ-a,2,taijit
tshiûnn-á-tú,chhiûⁿ-á-tú,牆仔抵,tshiunn-a-tu,chhiuⁿ-a-tu,3,taijit
tshiûnn-bî,chhiûⁿ-bî,薔薇,tshiunn-bi,chhiuⁿ-bi,2,taijit
tshiûnn-bî-hue,chhiûⁿ-bî-hoe,薔薇花,tshiunn-bi-hue,chhiuⁿ-bi-hoe,3,taijit
tshiûnn-tshik,chhiûⁿ-chhek,颺粟,tshiunn-tshik,chhiuⁿ-chhek,2,taijit
tshiûnn-ha̍k,chhiûⁿ-ha̍k,牆斛,tshiunn-hak,chhiuⁿ-hak,2,taijit
tshiûnn-hong,chhiûⁿ-hong,颺風,tshiunn-hong,chhiuⁿ-hong,2,taijit
tshiûnn-hong-kóo,chhiûⁿ-hong-kó͘,颺風鼓,tshiunn-hong-koo,chhiuⁿ-hong-ko͘,3,taijit
tshiûnn-kha,chhiûⁿ-kha,牆腳,tshiunn-kha,chhiuⁿ-kha,2,taijit
tshiûnn-khue̍h,chhiûⁿ-khoe̍h,牆挾,tshiunn-khueh,chhiuⁿ-khoeh,2,taijit
tshiûnn-ki,chhiûⁿ-ki,牆基,tshiunn-ki,chhiuⁿ-ki,2,taijit
tshiûnn-kue̍h,chhiûⁿ-koe̍h,牆節,tshiunn-kueh,chhiuⁿ-koeh,2,taijit
tshiûnn-lōo,chhiûⁿ-lō͘,牆路,tshiunn-loo,chhiuⁿ-lo͘,2,taijit
tshiûnn-piah,chhiûⁿ-piah,牆壁,tshiunn-piah,chhiuⁿ-piah,2,taijit
