tl,hanzi,frequency,poj,tl_num,poj_num
ge̍h-thô,月桃,25,ge̍h-thô,geh8tho5,geh8tho5
bo̍k-ha̍k,木斛,25,bo̍k-ha̍k,bok8hak8,bok8hak8
bo̍k-kua,木瓜,25,bo̍k-koa,bok8kua,bok8koa
ba̍k-lô,木羅,25,ba̍k-lô,bak8lo5,bak8lo5
ba̍k-hiunn,木香,25,ba̍k-hiuⁿ,bak8hiunn,bak8hiunn
pún-tsiunn,本樟,25,pún-chiuⁿ,pun2tsiunn,pun2chiunn
pún-tshinn,本菁,25,pún-chhiⁿ,pun2tshinn,pun2chhinn
phoh-á,朴仔,25,phoh-á,phoha2,phoha2
kuann-á,杆仔,25,koaⁿ-á,kuanna2,koanna2
sam-á,杉仔,25,sam-á,sama2,sama2
