hanzi,tl
貧惰骨,pân-tuānn-kut
貧惰骨,pān-tuānn-kut
連鞭,liâm-pinn
頂勻,tíng-iân
陸橋,lo̍k-kiô
麻雀,mâ-tshiok
麻雀,bâ-tshiok
麻雀子仔,mâ-tshiok-jí-á/mâ-tshiok-lí-á
麻雀子仔,bâ-tshiok-jí-á/bâ-tshiok-lí-á
鳥鼠擗仔,niáu-tshí-phiak-á/niáu-tshú-phiak-á
鳥鼠觸仔,niáu-tshí-ta̍k-á/niáu-tshú-ta̍k-á
鳥擗仔,tsiáu-phiak-á
魚鱗𤺅仔,hî-lân-tshuì-á/hû-lân-tshuì-á
喂,--ueh
報恩,pò-in
就,tiō
就,tio̍h
就,to̍h
媒人,muî-lâng
媒人公,muî-lâng-kong
媒人婆,muî-lâng-pô
媒人喙,muî-lâng-tshuì
媒人禮,muî-lâng-lé
就是,tsiū sī
就是,tiō sī
就按呢,tsū-án-ne
幾若,kuí-lō
幾若,kuí-ā
幾若工,kuí-ā kang
擗,phiak
提,thue̍h
提,e̍h
惱氣,nóo-khì
掌握,tsiáng-ak
描寫,biâu-siá
掌權,tsiáng-khuân
掌權,tsióng-kuân
握手,at-tshiú
敢若,kán-ná
敢若,ká-ná
斑馬,pan-má
斑馬線,pan-bé-suànn
敨開,tháu-khui
散會,suànn-huē
景緻,kíng-tī
朝代,tiâu-tē
椅條,í-tiâu
湖,hôo
測量,tshik-liōng
湠開,thuànn-khui
猶,iah
猶,ah
猶,á
猶,iá
猴山仔,kâu-san-á
無心情,bô-sim-tsiânn
無天理,bô thian-lí
猶毋過,iah-m̄-kò
猶毋過,ah-m̄-kò
猶毋過,á-m̄-kò
猶毋過,iá-m̄-kò
無仝,bô kâng
猶未,iah-buē/iah-bē
猶未,ah-buē/ah-bē
猶未,á-buē/á-bē
猶未,iá-buē/iá-bē
無打緊,--bô-tá-kín
無所謂,bû-sóo-uì
猶是,iah-sī
猶是,ah-sī
猶是,á-sī
猶是,iá-sī
無限,bô-hān
無偌久,bô-juā-kú
無偌久,bô-luā-kú
無啥物,bô-siánn-mi̍h
無傳,bô-thuân
牌照,pâi-tsiò
無路用,bô-lōo-iōng
無疑悟,bô-gî-gōo
牚腿,thì-thuí
猶閣,iah-koh
猶閣,ah-koh
猶閣,á-koh
猶閣,iá-koh
猶閣咧,iah-koh teh
猶閣咧,ah-koh teh
猶閣咧,á-koh teh
猶閣咧,iá-koh teh
發作,huat-tsoh
發芽,huat-gê
發酵,huat-kà
發穎,puh-ínn
程序,tîng-sū
絕氣,tse̍h-khuì
絕種,tsua̍t-tsíng
翕相,hip-siōng
翕相機,hip-siōng-ki
翕相館,hip-siōng-kuán
菝仔,pa̍t-á
菖蒲,tshiang-pôo
貿,ba̍uh
貿工,ba̍uh-kang
貴參參,kuì-sam-sam
