tl,hanzi,frequency,poj,tl_num,poj_num,tps_num,tps_num_var,tl_notone,poj_notone,tps_notone,tps_notone_var,tl_abbrev,poj_abbrev,tps_abbrev,tps_abbrev_var,taijit,is_variant
tshiâng-á,戕仔,25,chhiâng-á,tshiang5a2,chhiang5a2,ㄑㄧㄤˊㄚˋ,,tshianga,chhianga,ㄑㄧㄤㄚ,,ta,ca,ㄑㄚ,,True,False
tshiâng-tshiâng,戕戕,25,chhiâng-chhiâng,tshiang5tshiang5,chhiang5chhiang5,ㄑㄧㄤˊㄑㄧㄤˊ,,tshiangtshiang,chhiangchhiang,ㄑㄧㄤㄑㄧㄤ,,tt,cc,ㄑㄑ,,True,False
tshông-tsi̍k,戕賊,25,chhông-che̍k,tshong5tsik8,chhong5chek8,ㄘㆲˊㄐㄧㆻ̇,,tshongtsik,chhongchek,ㄘㆲㄐㄧㆻ,,tt,cc,ㄘㄐ,,True,False
hi̍k-sī,或是,25,he̍k-sī,hik8si7,hek8si7,ㄏㄧㆻ̇ㄒㄧ˫,,hiksi,heksi,ㄏㄧㆻㄒㄧ,,hs,hs,ㄏㄒ,,True,False
hi̍k-ua̍t,或曰,25,he̍k-oa̍t,hik8uat8,hek8oat8,ㄏㄧㆻ̇ㄨㄚㆵ̇,,hikuat,hekoat,ㄏㄧㆻㄨㄚㆵ,,hu,ho,ㄏㄨ,,True,False
khat-khat,戛戛,25,khat-khat,khat4khat4,khat4khat4,ㄎㄚㆵㄎㄚㆵ,,khatkhat,khatkhat,ㄎㄚㆵㄎㄚㆵ,,kk,kk,ㄎㄎ,,True,True
khiat-khiat,戛戛,25,khiat-khiat,khiat4khiat4,khiat4khiat4,ㄎㄧㄚㆵㄎㄧㄚㆵ,,khiatkhiat,khiatkhiat,ㄎㄧㄚㆵㄎㄧㄚㆵ,,kk,kk,ㄎㄎ,,True,False
khat-tsuí,戛水,25,khat-chúi,khat4tsui2,khat4chui2,ㄎㄚㆵㄗㄨㄧˋ,,khattsui,khatchui,ㄎㄚㆵㄗㄨㄧ,,kt,kc,ㄎㄗ,,True,True
khat-hué,戛火,25,khat-hóe,khat4hue2,khat4hoe2,ㄎㄚㆵㄏㄨㆤˋ,,khathue,khathoe,ㄎㄚㆵㄏㄨㆤ,,kh,kh,ㄎㄏ,,True,True
khiat-hé,戛火,25,khiat-hé,khiat4he2,khiat4he2,ㄎㄧㄚㆵㄏㆤˋ,,khiathe,khiathe,ㄎㄧㄚㆵㄏㆤ,,kh,kh,ㄎㄏ,,True,False
khat-bê,戛糜,25,khat-bê,khat4be5,khat4be5,ㄎㄚㆵㆠㆤˊ,,khatbe,khatbe,ㄎㄚㆵㆠㆤ,,kb,kb,ㄎㆠ,,True,True
khia̍t-tê,戛蹄,25,khia̍t-tê,khiat8te5,khiat8te5,ㄎㄧㄚㆵ̇ㄉㆤˊ,,khiatte,khiatte,ㄎㄧㄚㆵㄉㆤ,,kt,kt,ㄎㄉ,,True,False
tíng-á,戥仔,25,téng-á,ting2a2,teng2a2,ㄉㄧㄥˋㄚˋ,,tinga,tenga,ㄉㄧㄥㄚ,,ta,ta,ㄉㄚ,,True,False
tíng-a̍h,戥匣,25,téng-a̍h,ting2ah8,teng2ah8,ㄉㄧㄥˋㄚㆷ̇,,tingah,tengah,ㄉㄧㄥㄚㆷ,,ta,ta,ㄉㄚ,,True,False
tíng-tíng,戥戥,25,téng-téng,ting2ting2,teng2teng2,ㄉㄧㄥˋㄉㄧㄥˋ,,tingting,tengteng,ㄉㄧㄥㄉㄧㄥ,,tt,tt,ㄉㄉ,,True,False
tíng-kuáinn,戥桿,25,téng-koáiⁿ,ting2kuainn2,teng2koainn2,ㄉㄧㄥˋㄍㄨㆮˋ,,tingkuainn,tengkoainn,ㄉㄧㄥㄍㄨㆮ,,tk,tk,ㄉㄍ,,True,False
tíng-gûn,戥銀,25,téng-gûn,ting2gun5,teng2gun5,ㄉㄧㄥˋㆣㄨㄣˊ,,tinggun,tenggun,ㄉㄧㄥㆣㄨㄣ,,tg,tg,ㄉㆣ,,True,False
tsa̍h-to,截刀,25,cha̍h-to,tsah8to1,chah8to1,ㄗㄚㆷ̇ㄉㄛ,,tsahto,chahto,ㄗㄚㆷㄉㄛ,,tt,ct,ㄗㄉ,,True,True
tsa̍h-kù,截句,25,cha̍h-kù,tsah8ku3,chah8ku3,ㄗㄚㆷ̇ㄍㄨ˪,,tsahku,chahku,ㄗㄚㆷㄍㄨ,,tk,ck,ㄗㄍ,,True,True
tsue̍h-kù,截句,25,choe̍h-kù,tsueh8ku3,choeh8ku3,ㄗㄨㆤㆷ̇ㄍㄨ˪,,tsuehku,choehku,ㄗㄨㆤㆷㄍㄨ,,tk,ck,ㄗㄍ,,True,False
tsa̍h-bé,截尾,25,cha̍h-bé,tsah8be2,chah8be2,ㄗㄚㆷ̇ㆠㆤˋ,,tsahbe,chahbe,ㄗㄚㆷㆠㆤ,,tb,cb,ㄗㆠ,,True,True
tsia̍t-tsia̍t,截截,25,chia̍t-chia̍t,tsiat8tsiat8,chiat8chiat8,ㄐㄧㄚㆵ̇ㄐㄧㄚㆵ̇,,tsiattsiat,chiatchiat,ㄐㄧㄚㆵㄐㄧㄚㆵ,,tt,cc,ㄐㄐ,,True,False
tsue̍h-tsue̍h,截截,25,choe̍h-choe̍h,tsueh8tsueh8,choeh8choeh8,ㄗㄨㆤㆷ̇ㄗㄨㆤㆷ̇,,tsuehtsueh,choehchoeh,ㄗㄨㆤㆷㄗㄨㆤㆷ,,tt,cc,ㄗㄗ,,True,False
tsa̍h-tn̄g,截斷,25,cha̍h-tn̄g,tsah8tng7,chah8tng7,ㄗㄚㆷ̇ㄉㆭ˫,,tsahtng,chahtng,ㄗㄚㆷㄉㆭ,,tt,ct,ㄗㄉ,,True,True
tsia̍t-tn̄g,截斷,25,chia̍t-tn̄g,tsiat8tng7,chiat8tng7,ㄐㄧㄚㆵ̇ㄉㆭ˫,,tsiattng,chiattng,ㄐㄧㄚㆵㄉㆭ,,tt,ct,ㄐㄉ,,True,False
tsue̍h-tn̄g,截斷,25,choe̍h-tn̄g,tsueh8tng7,choeh8tng7,ㄗㄨㆤㆷ̇ㄉㆭ˫,,tsuehtng,choehtng,ㄗㄨㆤㆷㄉㆭ,,tt,ct,ㄗㄉ,,True,False
tsa̍h-í,截椅,25,cha̍h-í,tsah8i2,chah8i2,ㄗㄚㆷ̇ㄧˋ,,tsahi,chahi,ㄗㄚㆷㄧ,,ti,ci,ㄗㄧ,,True,True
tsa̍h-kóo,截股,25,cha̍h-kó͘,tsah8koo2,chah8koo2,ㄗㄚㆷ̇ㄍㆦˋ,,tsahkoo,chahkoo,ㄗㄚㆷㄍㆦ,,tk,ck,ㄗㄍ,,True,True
tsa̍h-tsháu,截草,25,cha̍h-chháu,tsah8tshau2,chah8chhau2,ㄗㄚㆷ̇ㄘㄠˋ,,tsahtshau,chahchhau,ㄗㄚㆷㄘㄠ,,tt,cc,ㄗㄘ,,True,True
tsia̍t-tôo,截途,25,chia̍t-tô͘,tsiat8too5,chiat8too5,ㄐㄧㄚㆵ̇ㄉㆦˊ,,tsiattoo,chiattoo,ㄐㄧㄚㆵㄉㆦ,,tt,ct,ㄐㄉ,,True,False
tsue̍h-kù,截鋸,25,choe̍h-kù,tsueh8ku3,choeh8ku3,ㄗㄨㆤㆷ̇ㄍㄨ˪,,tsuehku,choehku,ㄗㄨㆤㆷㄍㄨ,,tk,ck,ㄗㄍ,,True,False
tsiàn-luān,戰亂,25,chiàn-loān,tsian3luan7,chian3loan7,ㄐㄧㄢ˪ㄌㄨㄢ˫,,tsianluan,chianloan,ㄐㄧㄢㄌㄨㄢ,,tl,cl,ㄐㄌ,,True,False
tsiàn-ping,戰兵,25,chiàn-peng,tsian3ping1,chian3peng1,ㄐㄧㄢ˪ㄅㄧㄥ,,tsianping,chianpeng,ㄐㄧㄢㄅㄧㄥ,,tp,cp,ㄐㄅ,,True,False
tsiàn-tsheh,戰冊,25,chiàn-chheh,tsian3tsheh4,chian3chheh4,ㄐㄧㄢ˪ㄘㆤㆷ,,tsiantsheh,chianchheh,ㄐㄧㄢㄘㆤㆷ,,tt,cc,ㄐㄘ,,True,False
tsiàn-kong,戰功,25,chiàn-kong,tsian3kong1,chian3kong1,ㄐㄧㄢ˪ㄍㆲ,,tsiankong,chiankong,ㄐㄧㄢㄍㆲ,,tk,ck,ㄐㄍ,,True,False
tsiàn-sìng,戰勝,25,chiàn-sèng,tsian3sing3,chian3seng3,ㄐㄧㄢ˪ㄒㄧㄥ˪,,tsiansing,chianseng,ㄐㄧㄢㄒㄧㄥ,,ts,cs,ㄐㄒ,,True,False
tsiàn-kóo,戰古,25,chiàn-kó͘,tsian3koo2,chian3koo2,ㄐㄧㄢ˪ㄍㆦˋ,,tsiankoo,chiankoo,ㄐㄧㄢㄍㆦ,,tk,ck,ㄐㄍ,,True,False
tsiàn-kok,戰國,25,chiàn-kok,tsian3kok4,chian3kok4,ㄐㄧㄢ˪ㄍㆦㆻ,,tsiankok,chiankok,ㄐㄧㄢㄍㆦㆻ,,tk,ck,ㄐㄍ,,True,False
tsiàn-khinn,戰坑,25,chiàn-khiⁿ,tsian3khinn1,chian3khinn1,ㄐㄧㄢ˪ㄎㆪ,,tsiankhinn,chiankhinn,ㄐㄧㄢㄎㆪ,,tk,ck,ㄐㄎ,,True,False
tsiàn-pò,戰報,25,chiàn-pò,tsian3po3,chian3po3,ㄐㄧㄢ˪ㄅㄛ˪,,tsianpo,chianpo,ㄐㄧㄢㄅㄛ,,tp,cp,ㄐㄅ,,True,False
