"DictWordID","PojUnicode","PojUnicodeOthers","PojInput","PojInputOthers","HanLoTaibunPoj","KaisoehHanLoPoj","LekuHanLoPoj","KipUnicode","KipUnicodeOthers","KipInput","KipInputOthers","HanLoTaibunKip","KaisoehHanLoKip","LekuHanLoKip","PageNumber","GoanchhehPoochhiongChuliau"
"17771","ha̍k-á-thâng","","hak8-a2-thang5","","礐仔蟲","屎蟲。","","ha̍k-á-thâng","","hak8-a2-thang5","","礐仔蟲","屎蟲。","","B0525",""
"17772","ha̍k-bū","","hak8-bu7","","學務","(日)","","ha̍k-bū","","hak8-bu7","","學務","(日)","","B0526",""
"17773","ha̍k-būn","","hak8-bun7","","學問","學業ê累積。","∼∼ 真博。","ha̍k-būn","","hak8-bun7","","學問","學業ê累積。","∼∼ 真博。","B0526",""
"17774","ha̍k-chè","","hak8-che3","","學制","(日)","","ha̍k-tsè","","hak8-tse3","","學制","(日)","","B0526",""
"17775","ha̍k-chèng","","hak8-cheng3","","學政","秀才等ê考試官。","","ha̍k-tsìng","","hak8-tsing3","","學政","秀才等ê考試官。","","B0526",""
"17776","ha̍k-chhân","","hak8-chhan5","","學田","學校ê基本財產ê田。","","ha̍k-tshân","","hak8-tshan5","","學田","學校ê基本財產ê田。","","B0525",""
"17777","ha̍k-chhián","","hak8-chhian2","","學淺","學問淺薄。","∼∼ 才疏。","ha̍k-tshián","","hak8-tshian2","","學淺","學問淺薄。","∼∼ 才疏。","B0526",""
"17778","ha̍k-chiá","","hak8-chia2","","學者","(日)","","ha̍k-tsiá","","hak8-tsia2","","學者","(日)","","B0526",""
"17779","ha̍k-cho͘","","hak8-choo","","學租","儒學、書院等ê財產收入ê總稱。","","ha̍k-tsoo","","hak8-tsoo","","學租","儒學、書院等ê財產收入ê總稱。","","B0526",""
"17780","ha̍k-chu","","hak8-chu","","學資","學費。","hō͘人出 ∼∼。","ha̍k-tsu","","hak8-tsu","","學資","學費。","hōo人出 ∼∼。","B0526",""
"17781","ha̍k-gē","","hak8-ge7","","學藝","(日)","","ha̍k-gē","","hak8-ge7","","學藝","(日)","","B0525",""
"17782","ha̍k-gia̍p","","hak8-giap8","","學業","(日)","","ha̍k-gia̍p","","hak8-giap8","","學業","(日)","","B0525",""
"17783","ha̍k-hāu","","hak8-hau7","","學校","(日)","","ha̍k-hāu","","hak8-hau7","","學校","(日)","","B0526",""
"17784","ha̍k-hāu-tiúⁿ","","hak8-hau7-tiunn2","","學校長","(日)","","ha̍k-hāu-tiúnn","","hak8-hau7-tiunn2","","學校長","(日)","","B0526",""
"17785","ha̍k-hiàn","","hak8-hian3","","學憲","秀才等ê考試官。","","ha̍k-hiàn","","hak8-hian3","","學憲","秀才等ê考試官。","","B0526",""
"17786","ha̍k-hoat","","hak8-hoat","","學法","學習魔法、法術。","上(chiūⁿ)山 ∼∼。","ha̍k-huat","","hak8-huat","","學法","學習魔法、法術。","上(tsiūnn)山 ∼∼。","B0526",""
"17787","ha̍k-hū","","hak8-hu7","","學父","(文)學生ê老父。","","ha̍k-hū","","hak8-hu7","","學父","(文)學生ê老父。","","B0526",""
"17788","ha̍k-hùi","","hak8-hui3","","學費","(日)","","ha̍k-huì","","hak8-hui3","","學費","(日)","","B0526",""
"17789","ha̍k-īⁿ","","hak8-inn7","","學院","秀才等ê考試官上班ê所在。","","ha̍k-īnn","","hak8-inn7","","學院","秀才等ê考試官上班ê所在。","","B0525",""
"17790","ha̍k-iú","","hak8-iu2","","學友","校友。","","ha̍k-iú","","hak8-iu2","","學友","校友。","","B0525",""
"17791","ha̍k-kài","","hak8-kai3","","學界","(日)","","ha̍k-kài","","hak8-kai3","","學界","(日)","","B0525",""
