tl,hanzi,frequency,poj,tl_num,poj_num,tl_notone,poj_notone,tl_abbrev,poj_abbrev
tôo,陶,11,tô͘,too5,too5,too,too,,
kik,隔,11,kek,kik4,kek4,kik,kek,,
ún,隕,11,ún,un2,un2,un,un,,
tsún,隼,11,chún,tsun2,chun2,tsun,chun,,
siang-liân,雙連,11,siang-liân,siang1lian5,siang1lian5,sianglian,sianglian,sl,sl
bûn,雯,11,bûn,bun5,bun5,bun,bun,,
luî-kong,雷公,11,lûi-kong,lui5kong1,lui5kong1,luikong,luikong,lk,lk
bí,靡,11,bí,bi2,bi2,bi,bi,,
thâu-thiànn,頭疼,11,thâu-thiàⁿ,thau5thiann3,thau5thiann3,thauthiann,thauthiann,tt,tt
hong-pue-sua,風飛沙,11,hong-poe-soa,hong1pue1sua1,hong1poe1soa1,hongpuesua,hongpoesoa,hps,hps
tsia̍h-mi̍h,食物,11,chia̍h-mi̍h,tsiah8mih8,chiah8mih8,tsiahmih,chiahmih,tm,cm
huān,飯,11,hoān,huan7,hoan7,huan,hoan,,
î,餘,11,î,i5,i5,i,i,,
tôo,駝,11,tô͘,too5,too5,too,too,,
kî,騏,11,kî,ki5,ki5,ki,ki,,
tôo,骰,11,tô͘,too5,too5,too,too,,
hî-tshì,魚刺,11,hî-chhì,hi5tshi3,hi5chhi3,hitshi,hichhi,ht,hc
hî-tshì,魚翅,11,hî-chhì,hi5tshi3,hi5chhi3,hitshi,hichhi,ht,hc
tsún,鱒,11,chún,tsun2,chun2,tsun,chun,,
liâu,鷯,11,liâu,liau5,liau5,liau,liau,,
kiâm-tsuí,鹹水,11,kiâm-chúi,kiam5tsui2,kiam5chui2,kiamtsui,kiamchui,kt,kc
kiâm-muâi,鹹糜,11,kiâm-moâi,kiam5muai5,kiam5moai5,kiammuai,kiammoai,km,km
au,𥕥,11,au,au1,au1,au,au,,
tsi̍t-puànn,一半,10,chi̍t-pòaⁿ,tsit8puann3,chit8poann3,tsitpuann,chitpoann,tp,cp
tsi̍t-sì-kuè,一四界,10,chi̍t-sì-kòe,tsit8si3kue3,chit8si3koe3,tsitsikue,chitsikoe,tsk,csk
tsi̍t-sì-kè,一四界,10,chi̍t-sì-kè,tsit8si3ke3,chit8si3ke3,tsitsike,chitsike,tsk,csk
it-puann,一般,10,it-poaⁿ,it4puann1,it4poann1,itpuann,itpoann,ip,ip
tshit-jī-á,七字仔,10,chhit-jī-á,tshit4ji7a2,chhit4ji7a2,tshitjia,chhitjia,tja,cja
tiūnn-lâng,丈人,10,tiūⁿ-lâng,tiunn7lang5,tiunn7lang5,tiunnlang,tiunnlang,tl,tl
tiūnn-ḿ,丈姆,10,tiūⁿ-ḿ,tiunn7m2,tiunn7m2,tiunnm,tiunnm,tm,tm
sam-pat,三八,10,sam-pat,sam1pat4,sam1pat4,sampat,sampat,sp,sp
sam-tsân,三層,10,sam-chân,sam1tsan5,sam1chan5,samtsan,samchan,st,sc
sam-tsân-bah,三層肉,10,sam-chân-bah,sam1tsan5bah4,sam1chan5bah4,samtsanbah,samchanbah,stb,scb
sam-san-kok-ông,三山國王,10,sam-san-kok-ông,sam1san1kok4ong5,sam1san1kok4ong5,samsankokong,samsankokong,ssko,ssko
sann-kak-king,三角肩,10,saⁿ-kak-keng,sann1kak4king1,sann1kak4keng1,sannkakking,sannkakkeng,skk,skk
sann-tîng-poo,三重埔,10,saⁿ-têng-po͘,sann1ting5poo1,sann1teng5poo1,sanntingpoo,sanntengpoo,stp,stp
tsiūnn-pak,上北,10,chiūⁿ-pak,tsiunn7pak4,chiunn7pak4,tsiunnpak,chiunnpak,tp,cp
tsiūnn-tâi,上台,10,chiūⁿ-tâi,tsiunn7tai5,chiunn7tai5,tsiunntai,chiunntai,tt,ct
siāng-bué,上尾,10,siāng-bóe,siang7bue2,siang7boe2,siangbue,siangboe,sb,sb
siōng-bé,上尾,10,siōng-bé,siong7be2,siong7be2,siongbe,siongbe,sb,sb
siōng-tè,上帝,10,siōng-tè,siong7te3,siong7te3,siongte,siongte,st,st
siōng-bô,上無,10,siōng-bô,siong7bo5,siong7bo5,siongbo,siongbo,sb,sb
siōng-pan,上班,10,siōng-pan,siong7pan1,siong7pan1,siongpan,siongpan,sp,sp
siōng-khò,上課,10,siōng-khò,siong7kho3,siong7kho3,siongkho,siongkho,sk,sk
tsiūnn-tshia,上車,10,chiūⁿ-chhia,tsiunn7tshia1,chiunn7chhia1,tsiunntshia,chiunnchhia,tt,cc
ē-tué,下底,10,ē-tóe,e7tue2,e7toe2,etue,etoe,et,et
ē-té,下底,10,ē-té,e7te2,e7te2,ete,ete,et,et
e-tsái,下早,10,e-chái,e1tsai2,e1chai2,etsai,echai,et,ec
e-tàu,下晝,10,e-tàu,e1tau3,e1tau3,etau,etau,et,et
ē-tàu,下晝,10,ē-tàu,e7tau3,e7tau3,etau,etau,et,et
e-àm,下暗,10,e-àm,e1am3,e1am3,eam,eam,ea,ea
hā-suí-thng,下水湯,10,hā-súi-thng,ha7sui2thng1,ha7sui2thng1,hasuithng,hasuithng,hst,hst
ē-káng,下港,10,ē-káng,e7kang2,e7kang2,ekang,ekang,ek,ek
ē-bīn,下面,10,ē-bīn,e7bin7,e7bin7,ebin,ebin,eb,eb
put-sam-put-sù,不三不四,10,put-sam-put-sù,put4sam1put4su3,put4sam1put4su3,putsamputsu,putsamputsu,psps,psps
put-tsún,不准,10,put-chún,put4tsun2,put4chun2,puttsun,putchun,pt,pc
put-lī,不利,10,put-lī,put4li7,put4li7,putli,putli,pl,pl
put-hàu,不孝,10,put-hàu,put4hau3,put4hau3,puthau,puthau,ph,ph
put-hīng,不幸,10,put-hēng,put4hing7,put4heng7,puthing,putheng,ph,ph
put-sú-kuí,不死鬼,10,put-sú-kúi,put4su2kui2,put4su2kui2,putsukui,putsukui,psk,psk
put-pí,不比,10,put-pí,put4pi2,put4pi2,putpi,putpi,pp,pp
put-kuán,不管,10,put-koán,put4kuan2,put4koan2,putkuan,putkoan,pk,pk
put-kò,不過,10,put-kò,put4ko3,put4ko3,putko,putko,pk,pk
tshiánn-bān,且慢,10,chhiáⁿ-bān,tshiann2ban7,chhiann2ban7,tshiannban,chhiannban,tb,cb
sè-sū,世事,10,sè-sū,se3su7,se3su7,sesu,sesu,ss,ss
sè-tāi,世代,10,sè-tāi,se3tai7,se3tai7,setai,setai,st,st
sè-kan-lâng,世間人,10,sè-kan-lâng,se3kan1lang5,se3kan1lang5,sekanlang,sekanlang,skl,skl
tiong-lâng,中人,10,tiong-lâng,tiong1lang5,tiong1lang5,tionglang,tionglang,tl,tl
tiong-li̍k,中壢,10,tiong-le̍k,tiong1lik8,tiong1lek8,tionglik,tionglek,tl,tl
tiong-iang,中央,10,tiong-iang,tiong1iang1,tiong1iang1,tiongiang,tiongiang,ti,ti
tiong-sim,中心,10,tiong-sim,tiong1sim1,tiong1sim1,tiongsim,tiongsim,ts,ts
tiong-tsáinn,中指,10,tiong-cháiⁿ,tiong1tsainn2,tiong1chainn2,tiongtsainn,tiongchainn,tt,tc
tiong-bûn,中文,10,tiong-bûn,tiong1bun5,tiong1bun5,tiongbun,tiongbun,tb,tb
tiong-tshiu,中秋,10,tiong-chhiu,tiong1tshiu1,tiong1chhiu1,tiongtshiu,tiongchhiu,tt,tc
tiong-li̍p,中立,10,tiong-li̍p,tiong1lip8,tiong1lip8,tionglip,tionglip,tl,tl
tiong-pōo,中部,10,tiong-pō͘,tiong1poo7,tiong1poo7,tiongpoo,tiongpoo,tp,tp
tshǹg-á,串仔,10,chhǹg-á,tshng3a2,chhng3a2,tshnga,chhnga,ta,ca
tsú-jīm,主任,10,chú-jīm,tsu2jim7,chu2jim7,tsujim,chujim,tj,cj
tsú-tōng,主動,10,chú-tōng,tsu2tong7,chu2tong7,tsutong,chutong,tt,ct
tsú-tō,主導,10,chú-tō,tsu2to7,chu2to7,tsuto,chuto,tt,ct
tsú-tiunn,主張,10,chú-tiuⁿ,tsu2tiunn1,chu2tiunn1,tsutiunn,chutiunn,tt,ct
tsú-tshî,主持,10,chú-chhî,tsu2tshi5,chu2chhi5,tsutshi,chuchhi,tt,cc
tsú-liû,主流,10,chú-liû,tsu2liu5,chu2liu5,tsuliu,chuliu,tl,cl
tsú-kuán,主管,10,chú-koán,tsu2kuan2,chu2koan2,tsukuan,chukoan,tk,ck
