tl,hanzi
âng-káu-tsan,紅九層
âng-kâu,紅猴
âng-kāu-khak,紅厚殼
âng-kuê,紅鮭
âng-kue-iû,紅雞油
âng-ke-sái-tîn,紅雞屎籐
âng-kha-tsá,紅腳早
âng-kha-tshng-á,紅尻川仔
âng-kha-tsiáu,紅腳鳥
âng-kha-tsu̍t,紅腳朮
âng-kha-huán,紅腳反
âng-khak,紅麴
âng-kha-kuè,紅腳疥
âng-kha-oo-tsiam,紅腳烏尖
âng-kha-tuā-hue,紅腳大花
âng-kháu,紅口
âng-kháu-sik,紅口色
âng-kháu-tîn,紅口藤
âng-khuè,紅契
âng-khī,紅柿
âng-ku,紅車
âng-kì,紅痣
âng-kì-kì,
âng-kiat,紅橘
âng-kim-kue,紅金瓜
âng-kiô,紅茄
âng-kiō,紅轎
âng-kiok-á,紅菊仔
âng-kuàn,紅罐
âng-ko-tshiah-tshi̍h,紅膏赤蠘
âng-kue,紅瓜
âng-kuè,紅檜
âng-kue-hî,紅瓜魚
âng-kue-piō,紅瓜鰾
âng-kóng-á-tsînn,紅廣仔錢
âng-kóng-á-tāu,紅廣仔豆
âng-kóng-sai,紅管獅
âng-kòng,紅貢
âng-kòng-tshái,紅貢彩
âng-kòng-ê,紅貢鞋
âng-kòng-kòng,紅絳絳
âng-kòng-tuān,紅貢緞
âng-kong-báu,紅公卯
âng-kong-tāu,紅公豆
âng-koo,紅菇
âng-koo-hî,紅姑魚
âng-ku,紅龜
âng-ku-kué,紅龜粿
âng-kun,紅帥
âng-kun,紅筋
âng-kun-á-tsháu,紅根仔草
âng-kun-tshuā-bóo,
âng-kun-ting,紅筋疔
âng-kut-tshat-phīnn-tsháu,紅骨擦鼻草
âng-kut-tshìn-pn̄g-tîn,紅骨凊飯籐
âng-kut-tsuâ,紅骨蛇
âng-la̍k-kak,紅六角
âng-lâm-hue,紅藍花
âng-lê,紅螺
âng-li̍k-kap,紅綠蛤
âng-li̍k-kuê,紅綠鮭
âng-lîng,紅綾
âng-lī,紅痢
âng-liân,紅聯
âng-lîn,紅綾
âng-lin-á-tsháu,紅奶仔草
âng-lin-tsháu,紅奶草
âng-lio̍k,
âng-lô-phè,紅羅帕
âng-mn̂g,紅毛
âng-mn̂g-tsháu,紅毛草
âng-mn̂g-huan,紅毛番
âng-mn̂g-kok,紅毛國
âng-mn̂g-lâng,紅毛人
âng-mn̂g-lâu,紅毛樓
âng-mn̂g-uē,紅毛話
âng-mn̂g-pô,紅毛婆
âng-mn̂g-siânn,紅毛城
âng-mn̂g-thôo,紅毛土
âng-muî,紅梅
âng-niû-á-hî,紅娘仔魚
âng-ó,紅襖
âng-uân-tshì-sim,紅丸刺參
âng-ông,紅帥
âng-ōo,紅芋
âng-pâi,紅牌
âng-pan,紅斑
âng-pau,紅包
âng-pau-tshiū,紅包樹
âng-pe̍h,紅白
âng-ping,紅兵
âng-phà-phà,紅焰焰
âng-phànn-kut-siau,紅冇骨硝
âng-phàu,紅炮
âng-phê-kho,紅皮柯
âng-phiàn,紅片
âng-phīnn,紅鼻
âng-pi-muâ,紅蓖麻
âng-pó-tsio̍h,紅寶石
âng-puánn,
âng-sai-kong,紅司公
âng-sam,紅杉
âng-sam-tshit-tsháu,紅三七草
âng-se,紅紗
âng-sai-iûnn,紅西洋
âng-sik,紅色
âng-se-ting,紅紗燈
âng-si,紅絲
âng-sian,紅銑
âng-siân,紅蟬
âng-siān-hî,紅鱔魚
âng-sian-tsuân,紅銑泉
âng-sian-tsuí,紅銑水
âng-si-tshng,紅絲瘡
âng-si-liû,紅絲瘤
âng-sim,紅心
âng-sim-á,紅心仔
âng-sim-bué,紅心尾
âng-sim-tuā-phànn,紅心大冇
âng-sio,紅燒
âng-sió-tāu,紅小豆
âng-si̍p-jī-huē,紅十字會
âng-si-suànn,紅絲線
âng-si-ting,紅絲疔
âng-siù-uê,紅繡鞋
âng-sua,紅鯊
âng-suànn,紅線
âng-sū,紅仕
âng-tāi,
âng-tām,紅淡
âng-tām-pí,紅淡比
âng-tâng,紅銅
âng-tâng-tsînn,紅銅錢
âng-tâng-phìnn,紅銅片
âng-tâng-tê-kóo,
âng-táu-á,紅斗仔
âng-tāu,紅豆
âng-tāu-bê,紅豆糜
âng-tāu-khòo,紅豆蔻
âng-tāu-ping,紅豆冰
âng-tāu-pn̄g,紅豆飯
âng-tué,紅底
âng-tê,紅茶
âng-tôo-pi,紅荼篦
âng-tik,紅竹
âng-tik-á-tshài,紅竹仔菜
âng-tik-tsat,紅竹節
âng-tíng,紅頂
âng-ting-á,紅燈仔
âng-ting-khiā-u,
âng-thâu,紅頭
âng-thâu-á,紅頭仔
âng-thâu-á-tsûn,紅頭仔船
âng-thâu-tsha̍t,紅頭賊
âng-thâu-huat-kuann,紅頭法官
âng-thâu-inn--á,紅頭嬰--仔
âng-thâu-pòo,紅頭布
âng-thâu-sai,紅頭獅
âng-thâu-sai,紅頭司
âng-thâu-sai-kong,紅頭司公
âng-thiap,紅帖
âng-thih-kah,紅鐵甲
âng-thinn,紅天
âng-thô,紅桃
âng-thôo,紅土
âng-tiânn,紅呈
âng-tim-tim,紅沉沉
âng-tîn-á-tsháu,紅籐仔草
âng-tiù-tiù,
âng-tiû,紅綢
âng-tuā-tsià,紅大蔗
âng-tuā-phànn,紅大冇
âng-tuann,紅單
âng-tōo-kuan,紅杜鵑
âng-ú,紅羽
ang-á,尪仔
ang-á-ba̍k,尪仔目
ang-á-bīn,尪仔面
ang-á-bóo,夫仔某
ang-á-jîn,尪仔仁
ang-á-kè,尪仔架
ang-á-kiō,尪仔轎
