tl,hanzi,frequency,poj
tuānn,段,1482,tōaⁿ
kat,結,1482,kat
tsù,註,1482,chù
gîn,銀,1481,gîn
gûn,銀,1481,gûn
bê,迷,1479,bê
phuànn,判,1477,phòaⁿ
iânn,贏,1473,iâⁿ
khì,企,1468,khì
tshat,察,1467,chhat
síng,省,1462,séng
tām,淡,1461,tām
siōng,象,1461,siōng
gián,研,1458,gián
tsân,層,1456,chân
bāng,夢,1454,bāng
tshiánn,且,1452,chhiáⁿ
jú,愈,1450,jú
lú,愈,1450,lú
khí,齒,1450,khí
iū,又,1449,iū
tshái,彩,1449,chhái
iânn,營,1441,iâⁿ
tāng,動,1440,tāng
liān,練,1435,liān
