曹,tsô
梁,niû
莖,huâinn
莧,hīng
處,tshù
許,hí
郭,kueh
媒,muê
寓,ú
晬,tsè
腔,tshiunn
菠,pue
萄,tô
鄉,hiunn
鈗,uínn
陽,iûnn
勤,khîn
嗣,sû
楝,līng
楹,ênn
預,ī
慮,lī
樑,niû
範,huān
蓮,liân
課,khuè
鄭,tēnn
鋤,tî
噤,khiūnn
親,tshenn
謀,môo
頭,thôo
頭,thôo
鴦,iunn
嬰,enn
嶼,sī
戴,tè
糙,tshò
舉,kí
螿,tsiunn
謝,siā
顎,kok
羅,lô
蹬,tenn
鯧,tshiunn
鑢,lē
驚,kenn
蠶,tshâm
蠶,tshâm
八,peh
刀,tor
上,tsiōnn
上,tshiōnn
女,lú
子,tsú
巾,kin
中,tiong
予,hōo
五,gōo
井,tsénn
反,píng
斤,kin
日,ji̍t
日,li̍t
月,gue̍h
毛,moo
毛,mn̂g
火,hué
去,khì
可,khór
奶,ni
平,pênn
未,buē
母,biór
汁,tsiap
犯,huān
生,tshenn
生,senn
皮,phuê
光,kng
匠,tshiōnn
囝,kiánn
回,huê
地,tē
好,hór
字,jī
次,tshù
羊,iônn
考,khór
耳,hīnn
自,tsū
血,hueh
佇,tī
你,lí
卵,nn̄g
吠,puī
吹,tshue
坑,khenn
夾,ngeh
尾,bué
抓,jiàu
更,kenn
步,pōo
災,tse
肚,tōo
芋,ōo
阮,guán
阮,gún
事,sū
兩,nióo
初,tshe
卷,kńg
奇,khia
妹,muē
姓,sènn
底,té
庚,kenn
抱,phōr
拌,puānn
拔,pue̍h
河,hôr
炊,tshue
爭,tsenn
羌,kionn
芟,sing
近,kīn
迒,hānn
長,tiónn
門,mn̂g
雨,hōo
青,tshenn
保,pór
剉,tshòr
厚,kāu
契,khè
度,tōo
星,tshenn
柄,pènn
洋,iônn
洗,sé
炱,te
疥,kè
相,siònn
研,gíng
穿,tshīng
穿,tshng
耎,juán
胚,phue
虹,khīng
飛,pue
香,hionn
倍,puē
倒,tór
倒,tòr
哺,pōo
哽,kénn
娘,niôo
島,tór
師,su
恩,un
恩,in
恩,un
恩,in
挨,e
挼,juê
捋,lua̍h
捏,tēnn
桃,thôr
桌,torh
狹,e̍h
病,pēnn
索,sorh
缺,khueh
脆,tshè
脈,me̍h
舀,iónn
草,tshór
荒,hng
討,thór
退,thè
配,phuè
針,tsiam
除,tî
除,tî
做,tsòr
唱,tshiòr
唱,tshiònn
啄,tok
問,mn̄g
婆,pôr
張,tionn
捥,ńg
捲,kńg
推,the
掩,ng
旋,tsn̄g
梅,muâi
欲,beh
清,tshing
犁,lê
章,tsionn
笠,le̍h
粕,phorh
細,sè
莢,ngeh
蚵,ôr
蛆,tshu
袋,tē
被,phuē
貨,huè
貫,kǹg
跂,kué
軟,nńg
逐,jiok
雪,seh
魚,hî
報,pòr
場,tiônn
帽,bōr
掌,tsiónn
掰,pué
揣,tshuē
晾,nê
替,thè
棗,tsór
棚,pênn
焙,puē
無,bôr
煮,tsú
畫,uē
短,té
硬,ngē
稅,suè
筋,kin
絕,tse̍h
脹,tiònn
腔,khionn
舒,tshu
著,tio̍rh
著,to̍rh
街,ke
象,tshiōnn
貺,hīng
量,niôo
量,niōo
飯,pn̄g
黃,n̂g
黍,sé
傳,thn̂g
傷,sionn
園,hn̂g
塊,tè
嫂,sór
想,siōnn
損,sńg
搝,khiú
搝,giú
搣,me
搶,tshiónn
會,ē
楗,kīng
歲,huè
溪,khe
溶,iônn
睨,gîn
矮,é
節,tseh
經,kenn
號,hōr
遇,gū
過,kuè
鉎,sian
頓,tǹg
鼠,tshú
像,tshiōnn
僫,orh
劃,ue̍h
墓,bōng
摸,bong
暝,mê
槍,tshionn
漲,tiònn
算,sǹg
管,kńg
箸,tī
粿,kué
綴,tuè
膎,kê
語,gú
說,sueh
趖,sôr
踅,se̍h
遠,hn̄g
酸,sng
銀,gîn
鼻,phīnn
齊,tsê
齊,tsiâu
廠,tshiónn
慼,tsheh
撨,tshiâu
槳,tsiónn
槽,tsôr
樟,tsionn
樣,iōnn
漿,tsionn
熥,thn̄g
瞌,kheh
箠,tshuê
箱,sionn
罵,mē
褒,por
諍,tsènn
豬,ti
賞,siónn
賠,puê
靠,khòr
鞋,ê
養,iónn
餓,gōr
學,o̍rh
據,kì
磚,tsng
磨,bōr
篙,kor
糕,kor
縣,kuān
褪,thǹg
蹄,tê
醒,tshénn
鋸,kù
髻,kuè
濟,tsē
燥,sòr
牆,tshiônn
瞪,tènn
糜,muâi
薄,po̍rh
薑,kionn
薯,tsû
螺,lê
謝,tsiā
還,hîng
鍋,ue
斷,tn̄g
糧,niôo
軁,nǹg
轉,tńg
醬,tsiònn
鎖,sór
雙,siang
雞,ke
題,tê
颺,tshiônn
鵝,gôr
簿,phōo
羹,kenn
關,kuainn
勸,khǹg
寶,pór
癢,tsiōnn
襪,bue̍h
髓,tshué
鱖,kuè
讓,niōo
躡,neh
鑽,tsǹg
䖙,the
䘼,ńg
𧮙,tshorh
𠕇,tīng
𣻸,siônn
苧,tē
稈,kuáinn
丈,tiōnn
方,png
全,tsn̂g
危,huî
后,hiōr
后,hiōr
灰,hue
吳,gôo
車,ki
阮,ńg
乳,jú
乳,lú
呵,or
尚,siōnn
居,ku
帚,tshiú
性,sènn
斧,póo
昏,hng
果,kué
芹,khîn
迌,thôr
厚,hōo
後,hiōr
後,hiōr
恨,hīn
指,tsíng
牲,senn
玻,por
相,sionn
屐,kia̍h
徐,tshî
殊,sû
矩,kí
釘,ting
參,som
參,som
帳,tiònn
掃,sòr
曹,tsôr
梁,niôo
莖,huâinn
莧,hīng
處,tshù
許,hú
郭,kueh
媒,hm̂
媒,muâi
寓,ú
晬,tsè
腔,tshionn
菠,pue
萄,tôr
鄉,hionn
鈗,ńg
陽,iônn
勤,khîn
嗣,sû
楝,līng
楹,ênn
預,ī
慮,lī
樑,niôo
範,huān
蓮,liân
課,khuè
鄭,tēnn
鋤,tî
噤,khiōnn
親,tshenn
謀,bôo
謀,biôr
頭,thiôr
頭,thiôr
