tl,hanzi,frequency,poj,tl_num,poj_num,tps_num,tps_num_var,tl_notone,poj_notone,tps_notone,tps_notone_var,tl_abbrev,poj_abbrev,tps_abbrev,tps_abbrev_var,sitbut,is_variant
phang-kuì,攀桂,25,phang-kùi,phang1kui3,phang1kui3,ㄆㄤㄍㄨㄧ˪,,phangkui,phangkui,ㄆㄤㄍㄨㄧ,,pk,pk,ㄆㄍ,,True,False
táu-iū,斗柚,25,táu-iū,tau2iu7,tau2iu7,ㄉㄠˋㄧㄨ˫,,tauiu,tauiu,ㄉㄠㄧㄨ,,ti,ti,ㄉㄧ,,True,False
táu-lo̍k,斗鹿,25,táu-lo̍k,tau2lok8,tau2lok8,ㄉㄠˋㄌㆦㆻ̇,,taulok,taulok,ㄉㄠㄌㆦㆻ,,tl,tl,ㄉㄌ,,True,False
tsá-iū,早柚,25,chá-iū,tsa2iu7,cha2iu7,ㄗㄚˋㄧㄨ˫,,tsaiu,chaiu,ㄗㄚㄧㄨ,,ti,ci,ㄗㄧ,,True,False
bān-iū,晚柚,25,bān-iū,ban7iu7,ban7iu7,ㆠㄢ˫ㄧㄨ˫,,baniu,baniu,ㆠㄢㄧㄨ,,bi,bi,ㆠㄧ,,True,False
ge̍h-thô,月桃,25,ge̍h-thô,geh8tho5,geh8tho5,ㆣㆤㆷ̇ㄊㄛˊ,,gehtho,gehtho,ㆣㆤㆷㄊㄛ,,gt,gt,ㆣㄊ,,True,False
bo̍k-ha̍k,木斛,25,bo̍k-ha̍k,bok8hak8,bok8hak8,ㆠㆦㆻ̇ㄏㄚㆻ̇,,bokhak,bokhak,ㆠㆦㆻㄏㄚㆻ,,bh,bh,ㆠㄏ,,True,False
bo̍k-kua,木瓜,25,bo̍k-koa,bok8kua1,bok8koa1,ㆠㆦㆻ̇ㄍㄨㄚ,,bokkua,bokkoa,ㆠㆦㆻㄍㄨㄚ,,bk,bk,ㆠㄍ,,True,False
ba̍k-lô,木羅,25,ba̍k-lô,bak8lo5,bak8lo5,ㆠㄚㆻ̇ㄌㄛˊ,,baklo,baklo,ㆠㄚㆻㄌㄛ,,bl,bl,ㆠㄌ,,True,False
ba̍k-hiunn,木香,25,ba̍k-hiuⁿ,bak8hiunn1,bak8hiunn1,ㆠㄚㆻ̇ㄏㄧㆫ,,bakhiunn,bakhiunn,ㆠㄚㆻㄏㄧㆫ,,bh,bh,ㆠㄏ,,True,False
pún-tsiunn,本樟,25,pún-chiuⁿ,pun2tsiunn1,pun2chiunn1,ㄅㄨㄣˋㄐㄧㆫ,,puntsiunn,punchiunn,ㄅㄨㄣㄐㄧㆫ,,pt,pc,ㄅㄐ,,True,False
