tl,hanzi,frequency,poj,tl_num,poj_num
nńg-iám,軟掩,25,nńg-iám,nng2iam2,nng2iam2
nńg-poo,軟晡,25,nńg-po͘,nng2poo1,nng2poo1
nńg-thui,軟梯,25,nńg-thui,nng2thui1,nng2thui1
nńg-bó,軟母,25,nńg-bó,nng2bo2,nng2bo2
nńg-khuì,軟氣,25,nńg-khùi,nng2khui3,nng2khui3
nńg-tsuí,軟水,25,nńg-chúi,nng2tsui2,nng2chui2
nńg-tsiánn,軟汫,25,nńg-chiáⁿ,nng2tsiann2,nng2chiann2
nńg-sńg,軟爽,25,nńg-sńg,nng2sng2,nng2sng2
nńg-phìnn,軟片,25,nńg-phìⁿ,nng2phinn3,nng2phinn3
nńg-gê,軟牙,25,nńg-gê,nng2ge5,nng2ge5
nńg-kâu,軟猴,25,nńg-kâu,nng2kau5,nng2kau5
nńg-lio̍h,軟略,25,nńg-lio̍h,nng2lioh8,nng2lioh8
nńg-sng,軟痠,25,nńg-sng,nng2sng1,nng2sng1
nńg-kìm,軟禁,25,nńg-kìm,nng2kim3,nng2kim3
nńg-pit,軟筆,25,nńg-pit,nng2pit4,nng2pit4
nńg-thn̂g,軟糖,25,nńg-thn̂g,nng2thng5,nng2thng5
nńg-suànn,軟線,25,nńg-sòaⁿ,nng2suann3,nng2soann3
nńg-tóo,軟肚,25,nńg-tó͘,nng2too2,nng2too2
nńg-puî,軟肥,25,nńg-pûi,nng2pui5,nng2pui5
nńg-kha,軟腳,25,nńg-kha,nng2kha1,nng2kha1
nńg-ko,軟膏,25,nńg-ko,nng2ko1,nng2ko1
nńg-lo̍h,軟落,25,nńg-lo̍h,nng2loh8,nng2loh8
nńg-kiunn,軟薑,25,nńg-kiuⁿ,nng2kiunn1,nng2kiunn1
nńg-khî,軟蜞,25,nńg-khî,nng2khi5,nng2khi5
nńg-kak,軟角,25,nńg-kak,nng2kak4,nng2kak4
