hanzi,tl,frequency,poj
角球,khòo-nah,25,khò͘-nah
角膜,kak-mo̍oh,25,kak-mo̍͘h
觱卡,pi-khah,25,pi-khah
讀取,tho̍k-tshí,25,tho̍k-chhí
讀取,tho̍k-tshú,25,tho̍k-chhú
豁免,hat-bián,25,hat-bián
豆包,tāu-pau,25,tāu-pau
豆枝,tāu-ki,25,tāu-ki
豆皮,tāu-phuê,25,tāu-phôe
豆皮,tāu-phê,25,tāu-phê
豆雞,tāu-ke,25,tāu-ke
豆雞,tāu-kue,25,tāu-koe
貼圖,tah-tôo,25,tah-tô͘
贊助,tsàn-tsōo,25,chàn-chō͘
赤砂,tshiah-sua,25,chhiah-soa
走壘,tsáu-luí,25,cháu-lúi
超馬,tshiau-má,25,chhiau-má
越位,ua̍t-uī,25,oa̍t-ūi
趨冰,tshu-ping,25,chhu-peng
趨壘,tshu-luí,25,chhu-lúi
趨枋,tshu-pang,25,chhu-pang
趨水,tshu-tsuí,25,chhu-chúi
跑者,pháu-tsiá,25,pháu-chiá
跑酷,pháu-khok,25,pháu-khok
跤球,kha-kiû,25,kha-kiû
跨年,khuà-nî,25,khòa-nî
跨欄,khuà-lân,25,khòa-lân
跳床,thiàu-tshn̂g,25,thiàu-chhn̂g
跳水,thiàu-tsuí,25,thiàu-chúi
跳遠,thiàu-hn̄g,25,thiàu-hn̄g
跳馬,thiàu-bé,25,thiàu-bé
踏壘,ta̍h-luí,25,ta̍h-lúi
踢拳,that-kûn,25,that-kûn
蹋壘,lap-luí,25,lap-lúi
軍刀,kun-to,25,kun-to
軍棋,kun-kî,25,kun-kî
軍閥,kun-hua̍t,25,kun-hoa̍t
軟糖,nńg-thn̂g,25,nńg-thn̂g
