tl,hanzi,frequency,poj,tl_num,poj_num
sio-tshiàng,相唱,25,sio-chhiàng,siotshiang3,siochhiang3
sio-kàn,相姦,25,sio-kàn,siokan3,siokan3
sio-tuà,相帶,25,sio-tòa,siotua3,siotoa3
sio-tshé,相扯,25,sio-chhé,siotshe2,siochhe2
sio-ke̍h,相扴,25,sio-ke̍h,siokeh8,siokeh8
sio-bat,相捌,25,sio-bat,siobat,siobat
sio-pat,相捌,25,sio-pat,siopat,siopat
sann-tshē,相揣,25,saⁿ-chhē,sanntshe7,sannchhe7
sio-tshuē,相揣,25,sio-chhōe,siotshue7,siochhoe7
sann-puann,相搬,25,saⁿ-poaⁿ,sannpuann,sannpoann
siòng-khing,相框,25,siòng-kheng,siong3khing,siong3kheng
sio-pōng,相碰,25,sio-pōng,siopong7,siopong7
sio-kha̍p,相磕,25,sio-kha̍p,siokhap8,siokhap8
sio-tán,相等,25,sio-tán,siotan2,siotan2
sio-tuè,相綴,25,sio-tòe,siotue3,siotoe3
siong-kìnn,相見,25,siong-kìⁿ,siongkinn3,siongkinn3
sio-tak,相觸,25,sio-tak,siotak,siotak
sio-tâm,相談,25,sio-tâm,siotam5,siotam5
siong-tâm,相談,25,siong-tâm,siongtam5,siongtam5
siong-hông,相逢,25,siong-hông,sionghong5,sionghong5
sann-sái,相駛,25,saⁿ-sái,sannsai2,sannsai2
phàn-á,盼仔,25,phàn-á,phan3a2,phan3a2
síng-kiám,省減,25,séng-kiám,sing2kiam2,seng2kiam2
bâi-pit,眉筆,25,bâi-pit,bai5pit,bai5pit
khuànn-hóng,看仿,25,khòaⁿ-hóng,khuann3hong2,khoann3hong2
khuànn-siánn,看啥,25,khòaⁿ-siáⁿ,khuann3siann2,khoann3siann2
khuànn-suí,看媠,25,khòaⁿ-súi,khuann3sui2,khoann3sui2
khuànn-ū,看有,25,khòaⁿ-ū,khuann3u7,khoann3u7
kha̋ng-páng,看板,25,khăng-páng,khangpang2,khang9pang2
khàn-pán,看板,25,khàn-pán,khan3pan2,khan3pan2
khuànn-khang,看空,25,khòaⁿ-khang,khuann3khang,khoann3khang
khuànn-lo̍h,看落,25,khòaⁿ-lo̍h,khuann3loh8,khoann3loh8
khuànn-māi,看覓,25,khòaⁿ-māi,khuann3mai7,khoann3mai7
khàn-hōo,看護,25,khàn-hō͘,khan3hoo7,khan3hoo7
khuànn-khí,看起,25,khòaⁿ-khí,khuann3khi2,khoann3khi2
khuànn-kuè,看過,25,khòaⁿ-kòe,khuann3kue3,khoann3koe3
khuànn-khui,看開,25,khòaⁿ-khui,khuann3khui,khoann3khui
tsin-kú,真久,25,chin-kú,tsinku2,chinku2
tsìn-kú,真久,25,chìn-kú,tsin3ku2,chin3ku2
tsin-lāi,真利,25,chin-lāi,tsinlai7,chinlai7
tsin-hai,真咍,25,chin-hai,tsinhai,chinhai
tsin-hó,真好,25,chin-hó,tsinho2,chinho2
tsin-suí,真媠,25,chin-súi,tsinsui2,chinsui2
tsin-thiám,真忝,25,chin-thiám,tsinthiam2,chinthiam2
tsin-tsiànn,真正,25,chin-chiàⁿ,tsintsiann3,chinchiann3
tsin-pháinn,真歹,25,chin-pháiⁿ,tsinphainn2,chinphainn2
tsin-tsuē,真濟,25,chin-chōe,tsintsue7,chinchoe7
tsin-tsē,真濟,25,chin-chē,tsintse7,chinche7
tsin-iāng,真煬,25,chin-iāng,tsiniang7,chiniang7
tsin-hàm,真譀,25,chin-hàm,tsinham3,chinham3
tsin-tsán,真讚,25,chin-chán,tsintsan2,chinchan2
tsin-lò,真躼,25,chin-lò,tsinlo3,chinlo3
tsin-gâu,真𠢕,25,chin-gâu,tsingau5,chingau5
tsin-siān,真𤺪,25,chin-siān,tsinsian7,chinsian7
bîn-bāng,眠夢,25,bîn-bāng,bin5bang7,bin5bang7
bîn-náu,眠腦,25,bîn-náu,bin5nau2,bin5nau2
tshuh-ba̍k,眵目,25,chhuh-ba̍k,tshuhbak8,chhuhbak8
tshuh-tshuh,眵眵,25,chhuh-chhuh,tshuhtshuh,chhuhchhuh
gán-sûn,眼巡,25,gán-sûn,gan2sun5,gan2sun5
gán-liâm,眼簾,25,gán-liâm,gan2liam5,gan2liam5
ka-tsuē,瞌睡,25,ka-chōe,katsue7,kachoe7
muâ-khàm,瞞崁,25,môa-khàm,mua5kham3,moa5kham3
muâ-phiàn,瞞騙,25,môa-phiàn,mua5phian3,moa5phian3
kí-tīn,矩陣,25,kí-tīn,ki2tin7,ki2tin7
kú-tīn,矩陣,25,kú-tīn,ku2tin7,ku2tin7
té-kûn,短裙,25,té-kûn,te2kun5,te2kun5
té-sìn,短訊,25,té-sìn,te2sin3,te2sin3
té-tsuā,短途,25,té-chōa,te2tsua7,te2choa7
té-tôo,短途,25,té-tô͘,te2too5,te2too5
té-tsuā,短逝,25,té-chōa,te2tsua7,te2choa7
tsio̍h-tshiāng,石像,25,chio̍h-chhiāng,tsioh8tshiang7,chioh8chhiang7
tsio̍h-ba̍k,石墨,25,chio̍h-ba̍k,tsioh8bak8,chioh8bak8
si̍k-kong,石岡,25,se̍k-kong,sik8kong,sek8kong
tsio̍h-kong,石岡,25,chio̍h-kong,tsioh8kong,chioh8kong
tsio̍h-pan,石斑,25,chio̍h-pan,tsioh8pan,chioh8pan
tsio̍h-thui,石梯,25,chio̍h-thui,tsioh8thui,chioh8thui
tsio̍h-hōo,石滬,25,chio̍h-hō͘,tsioh8hoo7,chioh8hoo7
tsio̍h-ta,石礁,25,chio̍h-ta,tsioh8ta,chioh8ta
