hanzi,tl,frequency,poj,tl_num,poj_num,tl_notone,poj_notone,tl_abbrev,poj_abbrev,kungge
沖仔,tshong-á,25,chhong-á,tshonga2,chhonga2,tshonga,chhonga,ta,ca,True
油桶,iû-tháng,25,iû-tháng,iu5thang2,iu5thang2,iuthang,iuthang,it,it,True
油燈,iû-ting,25,iû-teng,iu5ting,iu5teng,iuting,iuteng,it,it,True
洋漆,iûnn-tshat,25,iûⁿ-chhat,iunn5tshat,iunn5chhat,iunntshat,iunnchhat,it,ic,True
洞簫,tōng-siau,25,tōng-siau,tong7siau,tong7siau,tongsiau,tongsiau,ts,ts,True
浮花,phû-hue,25,phû-hoe,phu5hue,phu5hoe,phuhue,phuhoe,ph,ph,True
涼傘,niû-suànn,25,niû-sòaⁿ,niu5suann3,niu5soann3,niusuann,niusoann,ns,ns,True
淋搪,lâm-thn̄g,25,lâm-thn̄g,lam5thng7,lam5thng7,lamthng,lamthng,lt,lt,True
深刻,tshim-khik,25,chhim-khek,tshimkhik,chhimkhek,tshimkhik,chhimkhek,tk,ck,True
湯匙,thng-sî,25,thng-sî,thngsi5,thngsi5,thngsi,thngsi,ts,ts,True
滾桶,kún-tháng,25,kún-tháng,kun2thang2,kun2thang2,kunthang,kunthang,kt,kt,True
滾花,kún-hue,25,kún-hoe,kun2hue,kun2hoe,kunhue,kunhoe,kh,kh,True
滾邊,kún-pinn,25,kún-piⁿ,kun2pinn,kun2pinn,kunpinn,kunpinn,kp,kp,True
漆畫,tshat-uē,25,chhat-ōe,tshatue7,chhatoe7,tshatue,chhatoe,tu,co,True
漆盤,tshat-puânn,25,chhat-pôaⁿ,tshatpuann5,chhatpoann5,tshatpuann,chhatpoann,tp,cp,True
漆碗,tshat-uánn,25,chhat-óaⁿ,tshatuann2,chhatoann2,tshatuann,chhatoann,tu,co,True
漆筅,tshat-tshíng,25,chhat-chhéng,tshattshing2,chhatchheng2,tshattshing,chhatchheng,tt,cc,True
灌漿,kuàn-tsiunn,25,koàn-chiuⁿ,kuan3tsiunn,koan3chiunn,kuantsiunn,koanchiunn,kt,kc,True
火喙,hué-tshuì,25,hóe-chhùi,hue2tshui3,hoe2chhui3,huetshui,hoechhui,ht,hc,True
火炭,hué-thuànn,25,hóe-thòaⁿ,hue2thuann3,hoe2thoann3,huethuann,hoethoann,ht,ht,True
火焰,hué-iām,25,hóe-iām,hue2iam7,hoe2iam7,hueiam,hoeiam,hi,hi,True
火爐,hué-lôo,25,hóe-lô͘,hue2loo5,hoe2loo5,hueloo,hoeloo,hl,hl,True
火籠,hué-lang,25,hóe-lang,hue2lang,hoe2lang,huelang,hoelang,hl,hl,True
火銃,hué-tshìng,25,hóe-chhèng,hue2tshing3,hoe2chheng3,huetshing,hoechheng,ht,hc,True
炊仔,tshue-á,25,chhoe-á,tshuea2,chhoea2,tshuea,chhoea,ta,ca,True
炭枋,thuànn-pang,25,thòaⁿ-pang,thuann3pang,thoann3pang,thuannpang,thoannpang,tp,tp,True
烏枋,oo-pang,25,o͘-pang,oopang,oopang,oopang,oopang,op,op,True
烏漆,oo-tshat,25,o͘-chhat,ootshat,oochhat,ootshat,oochhat,ot,oc,True
烘爐,hang-lôo,25,hang-lô͘,hangloo5,hangloo5,hangloo,hangloo,hl,hl,True
煎匙,tsian-sî,25,chian-sî,tsiansi5,chiansi5,tsiansi,chiansi,ts,cs,True
煏蔥,piak-tshong,25,piak-chhong,piaktshong,piakchhong,piaktshong,piakchhong,pt,pc,True
熟皮,si̍k-phuê,25,se̍k-phôe,sik8phue5,sek8phoe5,sikphue,sekphoe,sp,sp,True
燭台,tsik-tâi,25,chek-tâi,tsiktai5,chektai5,tsiktai,chektai,tt,ct,True
牌匾,pâi-pián,25,pâi-pián,pai5pian2,pai5pian2,paipian,paipian,pp,pp,True
牛樟,gû-tsiunn,25,gû-chiuⁿ,gu5tsiunn,gu5chiunn,gutsiunn,guchiunn,gt,gc,True
牛角,gû-kak,25,gû-kak,gu5kak,gu5kak,gukak,gukak,gk,gk,True
牡丹,bóo-tan,25,bó͘-tan,boo2tan,boo2tan,bootan,bootan,bt,bt,True
