tl,hanzi,frequency,poj,tl_num,poj_num,tl_notone,poj_notone,tl_abbrev,poj_abbrev,taijit,is_variant
kuan-ka,官家,25,koan-ka,kuan1ka1,koan1ka1,kuanka,koanka,kk,kk,True,False
kuann-ka,官家,25,koaⁿ-ka,kuann1ka1,koann1ka1,kuannka,koannka,kk,kk,True,False
kuann-hú,官府,25,koaⁿ-hú,kuann1hu2,koann1hu2,kuannhu,koannhu,kh,kh,True,False
kuann-khòo,官庫,25,koaⁿ-khò͘,kuann1khoo3,koann1khoo3,kuannkhoo,koannkhoo,kk,kk,True,False
kuan-kài,官廨,25,koan-kài,kuan1kai3,koan1kai3,kuankai,koankai,kk,kk,True,False
kuann-thiann,官廳,25,koaⁿ-thiaⁿ,kuann1thiann1,koann1thiann1,kuannthiann,koannthiann,kt,kt,True,False
kuann-hì,官戲,25,koaⁿ-hì,kuann1hi3,koann1hi3,kuannhi,koannhi,kh,kh,True,False
kuann-pâng,官房,25,koaⁿ-pâng,kuann1pang5,koann1pang5,kuannpang,koannpang,kp,kp,True,False
kuann-táu,官斗,25,koaⁿ-táu,kuann1tau2,koann1tau2,kuanntau,koanntau,kt,kt,True,False
kuann-tuàn,官斷,25,koaⁿ-toàn,kuann1tuan3,koann1toan3,kuanntuan,koanntoan,kt,kt,True,False
kuann-tshinn,官星,25,koaⁿ-chhiⁿ,kuann1tshinn1,koann1chhinn1,kuanntshinn,koannchhinn,kt,kc,True,False
kuann-ho̍k,官服,25,koaⁿ-ho̍k,kuann1hok8,koann1hok8,kuannhok,koannhok,kh,kh,True,False
kuann-tsâi,官材,25,koaⁿ-châi,kuann1tsai5,koann1chai5,kuanntsai,koannchai,kt,kc,True,False
kuann-kuì,官桂,25,koaⁿ-kùi,kuann1kui3,koann1kui3,kuannkui,koannkui,kk,kk,True,False
kuann-kuân,官權,25,koaⁿ-koân,kuann1kuan5,koann1koan5,kuannkuan,koannkoan,kk,kk,True,False
kuann-bîn,官民,25,koaⁿ-bîn,kuann1bin5,koann1bin5,kuannbin,koannbin,kb,kb,True,False
kuann-huat,官法,25,koaⁿ-hoat,kuann1huat4,koann1hoat4,kuannhuat,koannhoat,kh,kh,True,False
kuann-phài,官派,25,koaⁿ-phài,kuann1phai3,koann1phai3,kuannphai,koannphai,kp,kp,True,False
kuann-tōo,官渡,25,koaⁿ-tō͘,kuann1too7,koann1too7,kuanntoo,koanntoo,kt,kt,True,False
kuann-iàn,官燕,25,koaⁿ-iàn,kuann1ian3,koann1ian3,kuannian,koannian,ki,ki,True,False
kuann-tsiok,官爵,25,koaⁿ-chiok,kuann1tsiok4,koann1chiok4,kuanntsiok,koannchiok,kt,kc,True,False
kuann-pán,官版,25,koaⁿ-pán,kuann1pan2,koann1pan2,kuannpan,koannpan,kp,kp,True,False
