tl,hanzi
uî-si,遺書
tshò-ngōo,錯誤
siò,鞘
thâu-moo,頭毛
thâu-mn̂g-ngeh-á,頭毛鋏仔
tha̍h-tú-á,頭拄仔
ah-bú,鴨母
ah-bú-tshuì,鴨母喙
ah-bú-tê,鴨母蹄
lîng-be̍h,龍脈
lîng-kut,龍骨
gîng-gíng,龍眼
gîng-gíng-kuann,龍眼乾
liông-tsûn,龍船
ah-tsiáng,鴨掌
lîng-hōng,龍鳳
liông-hê,龍蝦
hennh,嚇
hennh-kiann,嚇驚
tshǹg,擤
ìnn-bú-á,嬰母仔
peh--khui,擘開
ní-póo,彌補
ìng-kai,應該
ìng-kai-jiân,應該然
ìng-kai-liân,應該然
tshǹg-phīnn,擤鼻
hì-ki̍k,戲劇
tòng,檔
kiong-si,殭屍
tòng-àn,檔案
muê,糜
tsóng-ba̍uh,總貿
muâi-pn̄g,糜飯
siann-bōng,聲望
po̍h-hô,薄荷
kiunn-bú,薑母
kiunn-bú-ah,薑母鴨
khui-sún,虧損
khóo-á-te,觳仔炱
bî-tshai,謎猜
tshíng-kha-ke,蹌跤雞
tshíng-kha-kue,蹌跤雞
lìn,輾
hâinn,還
lìn-tńg,輾轉
páinn,擺
tn̄g-lin,斷奶
iau-ti,擽呧
tn̄g-tsiáng,斷掌
phok-phok,擴擴
nà,爁
nà-ji̍t,爁日
nà-li̍t,爁日
pun-nn̂g,檳榔
tsit-guân,職員
tsit-kuân,職權
giô-pe,蟯桮
siān-âng-á,蟮蟲仔
siān-lâng-á,蟮蟲仔
siān-tâng-á,蟮蟲仔
sîn-âng-á,蟮蟲仔
hiau-than,藃蟶
tsiau-that,蹧躂
lî,離
ke-bú,雞母
kue-bú,雞母
ke-bú-phuê,雞母皮
kue-bú-phê,雞母皮
ke-bú-thâng,雞母蟲
kue-bú-thâng,雞母蟲
iānn-hong,颺風
iānn-tshik,颺粟
láng-kuân,攏權
pān,瓣
ngāi,礙
ngāi-ba̍k,礙目
po̍k-tsah,爆炸
ngāi-gio̍h,礙虐
sih-nà,爍爁
sinnh-nà,爍爁
nî,簾
puànn-ki-kah,簸箕甲
jióng,嚷
kìng-tsing,競爭
kìng-kò,警告
kìng-kài,警戒
gī-guân,議員
kak-gōo,覺悟
kìng-pò,警報
kìng-tshat,警察
kìng-tshat-kio̍k,警察局
sik-khiau,釋迦
sik-kia,釋迦
bīn-thâu,麵頭
kiâm-muâi,鹹糜
hia-pai,囂俳
nuā-thôo-muâi,爛塗糜
lòo-tsuí,露水
khiàn-tsik,譴責
hōo-tsiò,護照
--loh,囉
kuân,權
kuân-li̍k,權力
kuân-lī,權利
kuân-ui,權威
kuân-hān,權限
lìng,躘
kiann tshenn-hūn,驚生份
kiann tshinn-hūn,驚生份
thé-biān,體面
