tl,hanzi
tsǹg,鑽
the,䖙
ńg,䘼
tshorh,𧮙
tīng,𠕇
siônn,𣻸
tē,苧
kuáinn,稈
tiōnn,丈
png,方
tsn̂g,全
huî,危
hiōr,后
hiōr,后
hue,灰
gôo,吳
ki,車
ńg,阮
jú,乳
lú,乳
or,呵
siōnn,尚
ku,居
tshiú,帚
sènn,性
póo,斧
hng,昏
kué,果
khîn,芹
thôr,迌
hōo,厚
hiōr,後
hiōr,後
hīn,恨
tsíng,指
senn,牲
por,玻
sionn,相
kia̍h,屐
tshî,徐
sû,殊
kí,矩
ting,釘
som,參
som,參
tiònn,帳
sòr,掃
tsôr,曹
niôo,梁
huâinn,莖
hīng,莧
tshù,處
hú,許
kueh,郭
hm̂,媒
muâi,媒
ú,寓
tsè,晬
tshionn,腔
pue,菠
tôr,萄
hionn,鄉
ńg,鈗
iônn,陽
khîn,勤
sû,嗣
līng,楝
ênn,楹
ī,預
lī,慮
niôo,樑
huān,範
liân,蓮
khuè,課
tēnn,鄭
tî,鋤
khiōnn,噤
tshenn,親
