hanzi,tl
ma-su-kha-phóng,ma-su-kha-phóng
咖哩,ka-lí
抹匙,buah-sî
果汁機,kó-tsiap-ki
熱量,jia̍t-liōng
熱量,lia̍t-liōng
脂肪,tsi-hong
碳水化合物,thuànn-tsuí huà-ha̍p-bu̍t
醣類,thn̂g-luī
鈉含量,nà-hâm-liōng
麩質,hu-tsit
葉黃素,ia̍p-hông-sòo
杏仁凍,hīng-jîn-tàng
杏仁凍,hīng-lîn-tàng
tsioo-kóo-lè-tòo,tsioo-kóo-lè-tòo
杏仁粉,hīng-jîn-hún
杏仁粉,hīng-lîn-hún
I-tá-lih 冰淇淋,I-tá-lih ping-kî-lîm
馬花糋,bé-hue-tsìnn
西洋萵仔菜,se-iûnn ue-á-tshài
西洋萵仔菜,se-iûnn e-á-tshài
八角,peh-kak
八角,pueh-kak
艾,hiānn
蕨貓,kueh-niau
蕨貓,keh-niau
菇類麵,koo-luī-mī
菇類湯,koo-luī-thng
菇類醬,koo-luī-tsiùnn
粿仔,kué/ké-á
粿仔,ké-á
咖啡因,ka-pi-in
回沖,huê-tshiong
回沖,hê-tshiong
金萱茶,kim-suan-tê
二七仔,jī-tshit-á
二七仔,lī-tshit-á
鐵觀音,thih-kuan-im
可可仔,khoo-khóo-ah
紅醬,âng-tsiùnn
青醬,tshenn-tsiùnn
青醬,tshinn-tsiùnn
鹹酥雞,kiâm-soo-ke
鹹酥雞,kiâm-soo-kue
王梨蝦球,ông-lâi hê-kiû
菜頭簽餅,tshài-thâu-tshiam-piánn
烘焙,hang-puē
烘焙,hang-pē
果子乾,kué-tsí-kuann
果子乾,ké-tsí-kuann
素肉,sòo-bah
全麥,tsuân-be̍h
炊飯,tshue-pn̄g
炊飯,tshe-pn̄g
果膠,kó-ka
色素,sik-sòo
酥皮,soo-phuê
酥皮,soo-phê
𠕇仁,tīng-jîn
𠕇仁,tīng-lîn
腰果,io-kó
烏麥,oo-be̍h
豆包,tāu-pau
印度烘餅,Ìn-tōo hang-piánn
ma-sá-lah,ma-sá-lah
調味料,tiâu-bī-liāu
鍋貼,ko-tah
火龍果,hué-liông-kó
火龍果,hé-lîng-kó
藍莓,nâ-m̂
哈密瓜,ha-bi̍t-kue
網仔瓜,bāng-á-kue
洋芳瓜,iûnn-phang-kue
me-lóng,me-lóng
猴頭果,kâu-thâu-kó
梅仔,muê-á
梅仔,m̂-á
洋刺波 ,iûnn-tshì-pho
無花果,bû-hua-kó
山竹,suann-tik
仙楂,sian-tsa
豆皮,tāu-phuê
豆皮,tāu-phê
豆枝,tāu-ki
百頁豆腐,pah-ia̍h tāu-hū
火腿,hué-thuí
火腿,hé-thuí
há-muh,há-muh
美國煙腸,Bí-kok ian-tshiâng
hóo-tok,hóo-tok
德國煙腸,Tik-kok ian-tshiâng
沙拉,sa-la
總匯,tsóng-huē
餅𩛩,piánn-kauh
馬鈴薯泥,má-lîng-tsî-nî
馬鈴薯泥,má-lîng-tsû-nî
煎包,tsian-pau
水煎包,tsuí-tsian-pau
oo-mú 卵,oo-mú-nn̄g
班尼迪克卵,pan-nî-ti̍k-khik-nn̄g
半熟卵,puànn-si̍k-nn̄g
粿仔卵餅,kué-á-nn̄g-piánn
粿仔卵餅,ké-á-nn̄g-piánn
粉漿卵餅,hún-tsiunn-nn̄g-piánn
卵白霜,nn̄g-pe̍h-song
khu-lì-mù tshì-sù,khu-lì-mù tshì-sù
khu-lì-mù tshì-sìr,khu-lì-mù tshì-sìr
沙沙醬,sa-sa-tsiùnn
佛卡夏,hoo-khá-tshiah
橐袋仔餅,lak-tē-á-piánn
熱壓俗麭,jia̍t-ap sio̍k-pháng
熱壓俗麭,lia̍t-ap sio̍k-pháng
涼麵,liâng-mī
冷麵,líng-mī
西洋燜飯,se-iûnn būn-pn̄g
西班牙燜飯,Se-pan-gâ būn-pn̄g
I-tá-lih 燜飯,I-tá-lih būn-pn̄g
酸薟湯,sng-hiam-thng
湯餃,thng-kiáu
烘雞,hang-ke
烘雞,hang-kue
sia̍k-siú-khah,sia̍k-siú-khah
氣糋鍋,khì-tsìnn-ko
微波爐,bî-pho-lôo
電磁爐,tiān-tsû-lôo
gá-suh 爐,gá-suh-lôo
保鮮膜,pó-sian-mo̍oh
烘箱紙,hang-siunn-tsuá
烘箱,hang-siunn
鋁箔紙,lī-po̍h-tsuá
鋁箔紙,lū-po̍h-tsuá
軟剾匙,nńg-khau-sî
網仔篩,bāng-á-thai
拍卵器,phah-nn̄g-khì
調理棒,tiâu-lí-pāng
生酮飲食,sing-tông ím-si̍t
低醣飲食,kē-thn̂g ím-si̍t
飽和脂肪,pá-hô tsi-hong
反式脂肪,huán-sik tsi-hong
益生菌,ik-sing-khún
優格,iu-keh
優格奶,iu-keh-ling
翻糖,huan-thn̂g
phián-khè-khò,phián-khè-khò
uá-hòo,uá-hòo
牛奶酥,gû-ling-soo
牛奶酥,gû-ni-soo
khú-khih餅,khú-khih-piánn
提拉米蘇,thī-lā-mī-sú
芋泥,ōo-nî
牛奶凍,gû-ling-tàng
牛奶凍,gû-ni-tàng
檸檬塔,lê-bóng-thah
磅雞卵糕,pōng-ke-nn̄g-ko
磅雞卵糕,pōng-kue-nn̄g-ko
si-hong雞卵糕,si-hong ke-nn̄g-ko
si-hong雞卵糕,si-hong kue-nn̄g-ko
Pa-sú-khù tshì-sìr 雞卵糕,Pa-sú-khù tshì-sìr ke-nn̄g-ko
Pa-sú-khù tshì-sìr 雞卵糕,Pa-sú-khù tshì-sìr kue-nn̄g-ko
Pa-sú-khù tshì-sù 雞卵糕,Pa-sú-khù tshì-sù ke-nn̄g-ko
Pa-sú-khù tshì-sù 雞卵糕,Pa-sú-khù tshì-sù kue-nn̄g-ko
厚 tshì-sìr,kāu tshì-sìr
厚 tshì-sù,kāu tshì-sù
薄 tshì-sìr,po̍h tshì-sìr
薄 tshì-sù,po̍h tshì-sù
敆餡餅,kap-ānn-piánn
hah-sìr 酥,hah-sìr-soo
hah-suh 酥,hah-suh-soo
hah-sìr 條,hah-sìr-tiâu
hah-suh 條,hah-suh-tiâu
軟餅,nńg-piánn
可麗露,khó-lē-lōo
牛奶霜,gû-ling-song
牛奶霜,gû-ni-song
牛奶泡 ,gû-ling-phàu
牛奶泡 ,gû-ni-phàu
霜淇淋,sng-kî-lîm
虎皮雞卵糕,hóo-phuê ke-nn̄g-ko
虎皮雞卵糕,hóo-phê kue-nn̄g-ko
瑞士捲,Suī-sū-kńg
鮮奶捲,tshinn-ling-kńg
鮮奶捲,tshinn-ni-kńg
生tsioo-kóo-lè-tòo,tshenn-tsioo-kóo-lè-tòo
生tsioo-kóo-lè-tòo,tshinn-tsioo-kóo-lè-tòo
牛奶膏,gû-ling-ko
