tl,hanzi,frequency,poj
kue,瓜,1700,koe
bo̍k,木,1697,bo̍k
muá,滿,1688,móa
siù,秀,1682,siù
tshái,採,1681,chhái
lia̍t,列,1678,lia̍t
tîng,重,1677,têng
kuān,縣,1675,koān
tsing,爭,1674,cheng
té,短,1674,té
tsia,遮,1669,chia
hāu,候,1663,hāu
hiàn,獻,1663,hiàn
khàu,哭,1662,khàu
hing,興,1656,heng
liâu,寮,1650,liâu
puânn,盤,1650,pôaⁿ
tsioh,借,1646,chioh
tiāu,調,1645,tiāu
tia̍p,揲,1641,tia̍p
láu,老,1640,láu
sù,四,1639,sù
tshn̂g,床,1634,chhn̂g
tsì,至,1634,chì
tshīng,穿,1626,chhēng
siànn,聖,1624,siàⁿ
sàn,散,1623,sàn
hiám,險,1623,hiám
tánn,打,1617,táⁿ
ló,咾,1612,ló
hng,方,1611,hng
tsoh,作,1609,choh
tsa̍p,雜,1608,cha̍p
buē,未,1607,bōe
biō,廟,1600,biō
tap,答,1599,tap
tsūn,陣,1595,chūn
khuân,環,1578,khoân
tē,袋,1578,tē
lâm,男,1573,lâm
si̍k,熟,1569,se̍k
tuà,帶,1565,tòa
tsun,尊,1562,chun
kí,己,1560,kí
kian,堅,1553,kian
kin,根,1550,kin
hē,係,1541,hē
hān,限,1536,hān
sì,勢,1535,sì
niá,領,1526,niá
bīng,命,1524,bēng
lo̍k,錄,1522,lo̍k
tsiong,章,1521,chiong
lān,難,1520,lān
tsióng,獎,1514,chióng
thè,替,1511,thè
pá,飽,1511,pá
huānn,岸,1508,hōaⁿ
tsió,少,1505,chió
tsûn,存,1501,chûn
tsong,宗,1500,chong
bú,武,1500,bú
ta̍t,值,1491,ta̍t
khan,刊,1488,khan
iûnn,洋,1488,iûⁿ
hioh,歇,1485,hioh
koo,孤,1483,ko͘
tuānn,段,1482,tōaⁿ
kat,結,1482,kat
tsù,註,1482,chù
gîn,銀,1481,gîn
bê,迷,1479,bê
phuànn,判,1477,phòaⁿ
iânn,贏,1473,iâⁿ
síng,省,1462,séng
tsân,層,1456,chân
bāng,夢,1454,bāng
tshiánn,且,1452,chhiáⁿ
jú,愈,1450,jú
lú,愈,1450,lú
khí,齒,1450,khí
iū,又,1449,iū
tshái,彩,1449,chhái
iânn,營,1441,iâⁿ
tāng,動,1440,tāng
liān,練,1435,liān
náu,腦,1434,náu
ta̍t,達,1418,ta̍t
piau,標,1416,piau
lē,例,1413,lē
lu̍t,律,1407,lu̍t
káu,九,1406,káu
hû,符,1402,hû
tong,東,1401,tong
pâi,牌,1400,pâi
kâu,猴,1400,kâu
kué,粿,1400,kóe
ké,粿,1400,ké
kio̍k,劇,1395,kio̍k
lân,難,1394,lân
ún,穩,1393,ún
ap,壓,1390,ap
pun,分,1388,pun
lo̍k,落,1381,lo̍k
tan,單,1379,tan
ua̍t,越,1371,oa̍t
kiám,減,1370,kiám
hām,陷,1369,hām
sik,室,1367,sek
tsik,責,1364,chek
tióng,長,1360,tióng
tsè,際,1358,chè
i̍k,譯,1354,e̍k
hûn,魂,1354,hûn
o,呵,1353,o
siú,首,1351,siú
siū,壽,1350,siū
khoo,呼,1344,kho͘
hu̍t,佛,1340,hu̍t
hoo,呼,1337,ho͘
sûn,純,1335,sûn
siú,守,1333,siú
tuè,綴,1323,tòe
tē,弟,1315,tē
pio,標,1315,pio
iûnn,羊,1308,iûⁿ
tông,堂,1306,tông
tsua̍t,絕,1306,choa̍t
kip,級,1304,kip
ling,奶,1300,leng
ni,奶,1300,ni
hōo,戶,1300,hō͘
tong,當,1300,tong
suè,稅,1300,sòe
mī,麵,1300,mī
kuà,掛,1299,kòa
hóng,訪,1299,hóng
ìn,應,1297,ìn
kìm,禁,1294,kìm
khì,器,1288,khì
tshenn,星,1288,chheⁿ
tshú,取,1284,chhú
khîn,勤,1277,khîn
phuānn,伴,1275,phōaⁿ
lîng,龍,1274,lêng
tshuā,娶,1269,chhōa
pū,婦,1268,pū
tshò,錯,1268,chhò
phiàn,騙,1265,phiàn
se̍h,踅,1262,se̍h
îng,閒,1258,êng
pue,飛,1258,poe
tsè,祭,1257,chè
tsài,載,1256,chài
tsiá,姐,1254,chiá
siunn,傷,1251,siuⁿ
iô,搖,1250,iô
sua,沙,1250,soa
kóo,股,1250,kó͘
tseh,節,1245,cheh
tsiat,節,1245,chiat
to,都,1238,to
gún,阮,1237,gún
sueh,說,1236,soeh
tsa̍t,實,1233,cha̍t
hīng,行,1233,hēng
ke,街,1223,ke
hiâm,嫌,1220,hiâm
to̍h,著,1210,to̍h
kau,溝,1206,kau
kài,介,1204,kài
tsik,叔,1201,chek
kāu,厚,1200,kāu
kiô,橋,1200,kiô
thn̂g,糖,1200,thn̂g
kiâm,鹹,1200,kiâm
muâ,麻,1200,môa
tài,帶,1197,tài
gio̍k,玉,1197,gio̍k
tshing,稱,1194,chheng
tòng,擋,1193,tòng
tiòng,中,1192,tiòng
bi̍t,密,1190,bi̍t
siúnn,賞,1186,siúⁿ
suah,撒,1184,soah
óng,往,1180,óng
sîng,承,1177,sêng
tsiu,洲,1177,chiu
in,恩,1176,in
pik,迫,1175,pek
kià,寄,1169,kià
bē,妹,1164,bē
muē,妹,1164,mōe
khik,刻,1154,khek
pìnn,變,1154,pìⁿ
jiō,尿,1150,jiō
liō,尿,1150,liō
gōng,戇,1150,gōng
sài,賽,1147,sài
phóo,普,1146,phó͘
pa,巴,1145,pa
tshó,楚,1143,chhó
nā,但,1142,nā
liông,龍,1140,liông
kun,君,1134,kun
tshik,策,1132,chhek
hē,下,1117,hē
tsio,招,1116,chio
tshâ,查,1116,chhâ
jî,兒,1115,jî
thiann,廳,1112,thiaⁿ
tsiânn,誠,1110,chiâⁿ
poo,晡,1106,po͘
tshiong,充,1102,chhiong
phang,芳,1101,phang
hîng,型,1100,hêng
hông,防,1100,hông
piánn,餅,1100,piáⁿ
ah,鴨,1100,ah
tshám,慘,1099,chhám
hûn,雲,1098,hûn
po̍h,薄,1096,po̍h
sik,適,1090,sek
siàu,笑,1089,siàu
sok,束,1080,sok
môo,毛,1076,mô͘
tsiok,祝,1074,chiok
siùnn,相,1071,siùⁿ
gōo,誤,1069,gō͘
tsat,節,1067,chat
bóng,罔,1057,bóng
peh,八,1056,peh
ǹg,向,1054,ǹg
hū,負,1053,hū
ngá,雅,1052,ngá
pang,枋,1050,pang
tshoo,粗,1050,chho͘
hīng,幸,1042,hēng
niâ,娘,1039,niâ
līng,令,1038,lēng
ai,哀,1016,ai
suànn,散,1014,sòaⁿ
khuah,闊,1014,khoah
khùn,困,1013,khùn
puē,背,1013,pōe
jua̍h,熱,1011,joa̍h
lua̍h,熱,1011,loa̍h
tann,擔,1010,taⁿ
puê,陪,1008,pôe
tiàu,吊,1000,tiàu
tsām,站,1000,chām
kioh,腳,1000,kioh
hóo,虎,1000,hó͘
khòo,褲,1000,khò͘
siau,銷,1000,siau
liân,蓮,999,liân
phō,抱,997,phō
kì,據,997,kì
sim,參,995,sim
liām,唸,994,liām
hònn,好,987,hòⁿ
si,司,986,si
tsìng,種,984,chèng
tian,顛,980,tian
tî,持,976,tî
liâm,黏,969,liâm
suat,說,961,soat
ló,惱,960,ló
tsè,債,950,chè
thiu,抽,950,thiu
si,絲,950,si
lê,螺,950,lê
tsiam,針,950,chiam
iâm,鹽,950,iâm
khóng,孔,943,khóng
kuânn,寒,929,kôaⁿ
mē,罵,919,mē
tshénn,醒,919,chhéⁿ
tsiông,從,914,chiông
kóng,管,914,kóng
tànn,擔,909,tàⁿ
kè,界,904,kè
piàn,遍,903,piàn
ang,尪,900,ang
pán,板,900,pán
í,椅,900,í
tinn,甜,900,tiⁿ
tsong,裝,900,chong
tshí,鼠,900,chhí
su,軀,898,su
tsu,書,894,chu
phinn,篇,891,phiⁿ
tân,陳,886,tân
khik,曲,878,khek
tsiò,照,876,chiò
tsiann,正,872,chiaⁿ
só,嫂,870,só
kang,公,852,kang
tshue,吹,851,chhoe
nn̄g,卵,850,nn̄g
khàm,崁,850,khàm
thng,湯,850,thng
siáu,痟,850,siáu
su,私,850,su
tsi̍h,舌,850,chi̍h
sî,辭,850,sî
im,陰,850,im
hōng,鳳,850,hōng
hué,伙,834,hóe
pió,表,834,pió
khǹg,勸,821,khǹg
liâu,條,821,liâu
kàm,監,820,kàm
kài,概,812,kài
suàn,算,808,soàn
tan,丹,800,tan
tshiúnn,廠,800,chhiúⁿ
sàu,掃,800,sàu
pòo,播,800,pò͘
bôo,模,800,bô͘
gê,牙,800,gê
uánn,碗,800,óaⁿ
puî,肥,800,pûi
thâng,蟲,800,thâng
lo̍k,鹿,800,lo̍k
tshù,處,790,chhù
khíng,肯,788,khéng
hué,悔,782,hóe
sńg,耍,779,sńg
tīng,碇,777,tēng
lak,落,767,lak
sit,息,765,sit
pian,邊,764,pian
tsê,齊,754,chê
iu,優,750,iu
uan,冤,750,oan
ping,冰,750,peng
khòo,庫,750,khò͘
thiah,拆,750,thiah
tsáinn,指,750,cháiⁿ
tsâi,材,750,châi
thô,桃,750,thô
tsai,災,750,chai
lu̍t,率,750,lu̍t
ngē,硬,750,ngē
tsik,積,750,chek
io,腰,750,io
uē,衛,750,ōe
sue,衰,750,soe
tâm,談,750,tâm
niau,貓,750,niau
tui,追,750,tui
