hanzi,tl,frequency
輾龍啾,liàn-lîng-tshiu,16
退火爐,thuè-hué-lôo,16
透明漆,thàu-bîng-tshat,16
釐仔甲,li-á-khah,16
金剛砂,kim-kong-sua,16
金槓槌,kim-kòng-thuî,16
金牌模,kim-pâi-bôo,16
金箔仔,kim-po̍h-á,16
金錢雲,kim-tsînn-hûn,16
釘仔槌,tìng-á-thûi,16
鈕仔砧,liú-á-tiam,16
鉛字架,iân-jī-kè,16
鉛枋仔,iân-pang-á,16
鉛筆仔,iân-pit-á,16
鉸刀花,ka-to-hue,16
銀箔仔,gîn-po̍h-á,16
銅抿仔,tâng-bín-á,16
鋏玻璃,giap-po-lê,16
錢袋仔,tsînn-tē-á,16
鍊帶鋸,lián-tuà-kì,16
鏡箱仔,kiànn-siunn-á,16
鐮刈仔,liâm-li̍k-á,16
鐵仔支,thih-á-ki,16
鐵仔棒,thih-á-pāng,16
鐵冬青,thih-tang-tshenn,16
鐵剪仔,thih-tsián-á,16
鐵鎚仔,thih-thuî-á,16
鑢橋枋,lē-kiô-pang,16
鑿仔檯,tsha̍k-á-tâi,16
雕刻刀,tiau-khik-to,16
雕刻機,tiau-khik-ki,16
雞卵面,ke-nn̄g-bīn,16
雞屎雲,ke-sái-hûn,16
離心機,li-sim-ki,16
電塗燈,tiān-thôo-ting,16
電熱爐,tiān-jia̍t-lôo,16
電風龜,tiān-hong-ku,16
青斗石,tshenn-táu-tsio̍h,16
鞋拔仔,ê-pue̍h-á,16
順手體,sūn-tshiú-thé,16
風車花,hong-tshia-hue,16
食生漆,tsia̍h-tshenn-tshat,16
飯攕仔,pn̄g-tshiám-á,16
魚仔盤,hî-á-puânn,16
魚籠仔,hî-láng-á,16
魚鱗甲,hî-lân-kah,16
魚鱗紋,hî-lân-bûn,16
鯉魚嘴,tāi-hî-tshuî,16
鯊魚刀,sua-hî-to,16
鹽筒仔,iâm-tâng-á,16
黃塗底,n̂g-thôo-té,16
黃塗粉,n̂g-thôo-hún,16
黃豆粉,n̂g-tāu-hún,16
黏美金,liâm-bí-kim,16
黑墨畫,oo-ba̍k-uē,16
鼓仔燈,kóo-á-ting,16
龍椅手,liông-í-tshiú,16
龍眼葉,lîng-gíng-hio̍h,16
龜甲紋,ku-kah-bûn,16
布袋,pòo-tē,15
hì-tah開關,hì-tah khai-kuan,12
khe金倒槽,khe-kim-tò-tsô,12
phue體kue枋,phue-thé kue-pang,12
一分丁線,tsi̍t-hun-ting-suànn,12
七分鑿仔,tshit-hun-tsha̍k-á,12
三分鑿仔,sann-hun-tsha̍k-á,12
三角刀仔,sann-kak-to-á,12
乾漆茶盤,kan-tshat tê-puânn,12
五分鑿仔,gōo-hun-tsha̍k-á,12
便當篋仔,piān-tong-kheh-á,12
修光鑿仔,siu-kng-tsha̍k-á,12
做四條線,tsò-sì-tiâu-suànn,12
做密的,tsò-ba̍t--ê,12
兩分丁線,nn̄g-hun-ting-suànn,12
兩分鑿仔,nn̄g-hun-tsha̍k-á,12
冰種的,ping-tsíng--ê,12
分半鑿仔,hun-puànn-tsha̍k-á,12
切線模仔,tshiat-suànn-bôo-á,12
南京剾仔,lâm-kiann-khau-á,12
印仔手指,ìn-á-tshiú-tsí,12
厚葉柃木,kāu-hio̍h-lîng-bo̍k,12
原料槽仔,guân-liāu-tsô-á,12
吊鏡片仔,tiò-kiànn-phìnn-á,12
四叉鋏仔,sì-tshe-giap-á,12
四耳提壺,sì-hīnn thê-ôo,12
塑膠桮刀,sok-ka-pue-to,12
壽字燭台,siū-jī tsik-tâi,12
大葉楠仔,tuā-hio̍h-lâm-á,12
奶母車仔,ling-bó-tshia-á,12
安金箔仔,an-kim-po̍h-á,12
寸二桮仔,tshùn-jī-pue-a,12
尖喙剪仔,tsiam-tshuì-tsián-á,12
屏風神椅,pîn-hong sîn-í,12
工作桌仔,kang-tsok-toh-á,12
